ligand_inchikey,ligand_smiles,drug_names,project_entity_ids,target_chembl_id,gene_symbol,uniprot_accession,target_name,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,pocket_consensus_class,best_method_match_p2rank_rank,best_method_match_fpocket_rank,evidence_compute_route,target_compute_class_zh,class_specific_compute_bundle_zh,wetlab_priority,conplex_score,conplex_rank_within_target,conplex_rank_within_ligand_46,conplex_percentile_within_target,conplex_percentile_within_ligand_46,drugclip_predicted_pocket_cosine_mean,drugclip_predicted_pocket_sixfold_std,drugclip_rank_within_target,drugclip_rank_within_ligand_44,drugclip_percentile_within_target,drugclip_percentile_within_ligand_44,drugclip_formal_eligible,dta_target_percentile_disagreement,dta_ligand_percentile_disagreement,dta_target_top10pct_concordant,dta_bidirectional_top10pct_concordant,sequence_only_fragment_exploratory_top5pct,shortlist_route
BYBLEWFAAKGYCD-UHFFFAOYSA-N,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,miconazole,UNII:7NNO0D7S5M,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.13082096,28.0,3.0,0.9624478,0.95555556,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
GMRQFYUYWCNGIN-NKMMMXOESA-N,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,calcitriol,UNII:FXC9231JVH,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12937361,29.0,32.0,0.961057,0.3111111,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
QYSXJUFSXHHAJI-YRZJJWOYSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,cholecalciferol,UNII:1C6V77QF41,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12626818,30.0,21.0,0.9596662,0.5555556,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
LUKZNWIVRBCLON-GXOBDPJESA-N,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,ciclesonide,UNII:S59502J185,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12623319,31.0,8.0,0.9582754,0.84444445,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
WXCXUHSOUPDCQV-UHFFFAOYSA-N,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,enzalutamide,UNII:93T0T9GKNU,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12541647,32.0,33.0,0.95688456,0.28888887,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
ASOADIZOVZTJSR-UHFFFAOYSA-N,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,opicapone,UNII:Y5929UIJ5N,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.124036886,33.0,4.0,0.95549375,0.93333334,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
FIKPXCOQUIZNHB-WDEREUQCSA-N,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,repotrectinib,UNII:08O3FQ4UNP,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12382149,34.0,31.0,0.95410293,0.3333333,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
RBTBFTRPCNLSDE-UHFFFAOYSA-N,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,methylene blue,UNII:T42P99266K,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.122219786,35.0,8.0,0.9527121,0.84444445,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
OURRXQUGYQRVML-AREMUKBSSA-N,Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1,netarsudil,UNII:W6I5QDT7QI,CHEMBL1846,RYR1,P21817,Ryanodine receptor 1,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,1,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,C6_STRUCTURE_FIRST_NO_EXACT_MODEL,,,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.12203111,36.0,2.0,0.9513213,0.9777778,,,,,,,False,,,False,False,True,CONPLEX_TARGET_TOP5PCT_FRAGMENT_EXPLORATORY
UQCNKQCJZOAFTQ-ISWURRPUSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,oxymorphone,UNII:9VXA968E0C,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.2728057,43.0,13.0,0.94158554,0.73333335,0.26338753,0.048492316,43.0,4.0,0.94158554,0.9302325,True,0.0,0.19689918,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
BQJCRHHNABKAKU-KBQPJGBKSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,morphine,UNII:76I7G6D29C,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.24058498,62.0,13.0,0.91515994,0.73333335,0.20863767,0.07240387,61.0,4.0,0.91655076,0.9302325,True,0.0013908148,0.19689918,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
MRBDMNSDAVCSSF-UHFFFAOYSA-N,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,phentolamine,UNII:Z468598HBV,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.22655927,70.0,8.0,0.90403336,0.84444445,0.19158004,0.1456306,67.0,6.0,0.90820587,0.88372093,True,0.004172504,0.03927648,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
XQSPYNMVSIKCOC-NTSWFWBYSA-N,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,emtricitabine,UNII:G70B4ETF4S,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.4485552,5.0,9.0,0.99443674,0.82222223,0.434702,0.0939636,10.0,1.0,0.9874826,1.0,True,0.0069541335,0.17777777,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
SDUQYLNIPVEERB-QPPQHZFASA-N,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,gemcitabine,UNII:B76N6SBZ8R,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.3177716,20.0,4.0,0.9735744,0.93333334,0.5160179,0.10346897,4.0,1.0,0.99582756,1.0,True,0.022253156,0.06666666,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
UEJJHQNACJXSKW-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,thalidomide,UNII:4Z8R6ORS6L,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.28006223,38.0,5.0,0.9485396,0.9111111,0.3542236,0.054997675,21.0,1.0,0.9721836,1.0,True,0.02364397,0.08888888,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
WVLOADHCBXTIJK-YNHQPCIGSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,hydrocodone;hydromorphone,UNII:6YKS4Y3WQ7;UNII:Q812464R06,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.2848081,33.0,16.0,0.95549375,0.6666666,0.22720587,0.050501555,54.0,4.0,0.9262865,0.9302325,True,0.02920723,0.2635659,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
OUBCNLGXQFSTLU-UHFFFAOYSA-N,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],nitisinone,UNII:K5BN214699,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.3126853,22.0,10.0,0.9707928,0.8,0.2563859,0.062424608,48.0,4.0,0.9346314,0.9302325,True,0.036161363,0.13023251,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
UVSMNLNDYGZFPF-UHFFFAOYSA-N,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,pomalidomide,UNII:D2UX06XLB5,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.24686977,53.0,4.0,0.92767733,0.93333334,0.35828343,0.06926622,19.0,1.0,0.9749652,1.0,True,0.04728788,0.06666666,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
NDCUAPJVLWFHHB-UHNVWZDZSA-N,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,UNII:7352665165,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.28891903,30.0,5.0,0.9596662,0.9111111,0.17934684,0.079231836,69.0,3.0,0.9054242,0.95348835,True,0.054242015,0.042377234,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
IQFYYKKMVGJFEH-CSMHCCOUSA-N,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,telbivudine,UNII:2OC4HKD3SF,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.26733634,45.0,5.0,0.9388039,0.9111111,0.55918795,0.098117754,1.0,1.0,1.0,1.0,True,0.06119609,0.08888888,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
HBOMLICNUCNMMY-XLPZGREQSA-N,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,zidovudine,UNII:4B9XT59T7S,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.25816017,48.0,6.0,0.9346314,0.8888889,0.5234726,0.108122826,3.0,1.0,0.9972184,1.0,True,0.06258696,0.111111104,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
VUDZSIYXZUYWSC-DBRKOABJSA-N,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,cedazuridine,UNII:39IS23Q1EW,CHEMBL1874,SLC12A1,Q13621,Solute carrier family 12 member 1,Transporter,TRANSPORTER_MEMBRANE_FUNCTIONAL,T5_SPARSE_OR_NONE,0,0,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,9.0,93.0,R2_DUAL_POCKET_CONTROL_ACQUISITION,转运体,内向/外向状态和底物通道口袋ensemble；历史对照校准；Boltz-2；膜环境MD,W3_CONTROL_OR_STRUCTURE_ACQUISITION,0.25099906,50.0,7.0,0.9318498,0.8666667,0.5523871,0.0668684,2.0,1.0,0.9986092,1.0,True,0.06675941,0.13333333,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCN[C@H]1CCc2nc(N)sc2C1,pramipexole,UNII:83619PEU5T,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.34359878,39.0,4.0,0.9471488,0.93333334,0.1624808,0.079142995,34.0,20.0,0.95410293,0.55813956,True,0.0069541335,0.37519377,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
CSKDFZIMJXRJGH-VWLPUNTISA-N,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,tecovirimat,UNII:F925RR824R,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.26467752,70.0,21.0,0.90403336,0.5555556,0.14907195,0.058420904,44.0,11.0,0.9401947,0.76744187,True,0.036161363,0.21188629,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
AEXFXNFMSAAELR-RXVVDRJESA-N,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,brensocatib,UNII:25CG88L0BB,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.28689635,62.0,9.0,0.91515994,0.82222223,0.1699956,0.10417231,29.0,7.0,0.961057,0.8604651,True,0.045897067,0.038242877,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
PJMPHNIQZUBGLI-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,fentanyl,UNII:UF599785JZ,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.3511739,33.0,5.0,0.95549375,0.9111111,0.11423519,0.07130642,71.0,12.0,0.90264255,0.74418604,True,0.0528512,0.16692507,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
VPPJLAIAVCUEMN-GFCCVEGCSA-N,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,lacosamide,UNII:563KS2PQY5,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.28142947,64.0,7.0,0.9123783,0.8666667,0.21805315,0.07444212,15.0,2.0,0.98052853,0.9767442,True,0.06815022,0.1100775,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
OHRURASPPZQGQM-GCCNXGTGSA-N,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,romidepsin,UNII:CX3T89XQBK,CHEMBL1914276,KCNJ2,P63252,Inward rectifier potassium channel 2,Ion channel,ION_CHANNEL_FUNCTIONAL,T5_SPARSE_OR_NONE,0,4,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,21.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,离子通道,开放/关闭/失活状态和孔道口袋ensemble；Boltz-2；膜内离子通道MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.26431003,71.0,1.0,0.90264255,1.0,0.2500602,0.08102086,13.0,2.0,0.98331016,0.9767442,True,0.080667615,0.023255825,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
AHJRHEGDXFFMBM-UHFFFAOYSA-N,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,palbociclib,UNII:G9ZF61LE7G,CHEMBL1938222,PIKFYVE,Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,74,111,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,157.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.31741673,20.0,17.0,0.9735744,0.64444447,0.44462374,0.025467375,11.0,1.0,0.9860918,1.0,True,0.012517393,0.35555553,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
UCFGDBYHRUNTLO-QHCPKHFHSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,topotecan,UNII:7M7YKX2N15,CHEMBL1938222,PIKFYVE,Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,74,111,P1_P2RANK_FPOCKET_SAME_SITE,C1_DUAL_METHOD_SAME_SITE,1.0,157.0,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,0.3043623,28.0,3.0,0.9624478,0.95555556,0.44863096,0.11218162,10.0,1.0,0.9874826,1.0,True,0.025034785,0.04444444,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
