arm,variant,seed,panel,scope,pairs,positive,negative,prevalence,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
kdki_inactive,regression,20260922,ACTIVITY_EC50,raw_source_assay_disjoint,8644,5962,2682,0.6897269782508099,0.6651609209807778,0.8049886431445367,0.2502371781832545,0.7619293712316968,0.7418651459241865,0.5152870991797166,0.43495001727975696,0.6027648001094725,87,0.896551724137931,1.299864660088607,433,0.9030023094688222,1.309217035063485,865,0.8797687861271676,1.2755319334591138
kdki_inactive,regression,20260922,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109,61020,21089,0.7431584844535922,0.692850389382365,0.8534628178490272,0.21346761234618228,0.8104629231329208,0.8027859718125205,0.5432215847124093,0.43495001727975696,0.6534911806873388,822,0.9306569343065694,1.252299413618127,4106,0.9188991719434974,1.2364780745511081,8211,0.9096334185848253,1.2240100027299479
kdki_inactive,regression,20260922,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521,0,521,0.0,,,0.580498264343686,0.0,,0.8061420345489443,0.43495001727975696,0.7104353651282826,6,0.0,,27,0.0,,53,0.0,
kdki_inactive,regression,20260922,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488,324,164,0.6639344262295082,0.8654866757000903,0.9011512172632175,0.12924509401008244,0.8609467455621301,0.8981481481481481,0.2865853658536585,0.43495001727975696,0.6211970413378516,5,1.0,1.5061728395061729,25,0.92,1.3856790123456793,49,0.9183673469387755,1.3832199546485262
kdki_inactive,regression,20260922,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994,508,486,0.5110663983903421,0.6887779073912057,0.7143719862692279,0.2591288527759072,0.587183308494784,0.7755905511811023,0.5699588477366255,0.43495001727975696,0.5973597037450409,10,1.0,1.9566929133858266,50,0.96,1.8784251968503936,100,0.83,1.624055118110236
kdki_inactive,regression,20260922,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188,166,22,0.8829787234042553,0.7691675794085433,0.9566758650726209,0.14977443369274446,0.9387755102040817,0.8313253012048193,0.4090909090909091,0.43495001727975696,0.7297035564688292,2,1.0,1.1325301204819278,10,1.0,1.1325301204819278,19,1.0,1.1325301204819278
kdki_inactive,regression,20260922,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930,934,996,0.48393782383419687,0.686067073432918,0.6887111402809591,0.28033430565438594,0.5541818181818182,0.815845824411135,0.6154618473895582,0.43495001727975696,0.6349069078100623,20,1.0,2.0663811563169165,97,0.8969072164948454,1.8533521711296057,193,0.8341968911917098,1.7237687366167023
kdki_inactive,regression,20260922,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362,0,362,0.0,,,0.5872989099990503,0.0,,0.8397790055248618,0.43495001727975696,0.7256576176938596,4,0.0,,19,0.0,,37,0.0,
kdki_inactive,assay,20260922,AFFINITY_KD_KI,raw_source_assay_disjoint,3485,2448,1037,0.7024390243902439,0.6747966182615766,0.8362029151225114,0.2671882836906768,0.8064687168610817,0.6213235294117647,0.351976856316297,0.45441600799156656,0.5136875523064537,35,0.9428571428571428,1.3422619047619049,175,0.9428571428571428,1.3422619047619049,349,0.9312320916905444,1.3257123527539
kdki_inactive,assay,20260922,ACTIVITY_IC50,raw_source_assay_disjoint,70620,53437,17183,0.7566836590201076,0.6852972843556375,0.8571334183101518,0.2115453231281716,0.8195603757141474,0.7919231992813968,0.5422219635686434,0.45441600799156656,0.6611216189592963,707,0.9165487977369166,1.2112707692456735,3531,0.9102237326536392,1.2029118401107848,7062,0.90583404134806,1.197110616239684
