system_id,cluster,native_contact_ap,native_distance_mae
3f28__1__1.A__1.F_1.G,c218,0.4629000545290752,1.4257725477218628
1fc0__1__1.B__1.E,c33,0.7085039201556136,0.928110659122467
5dnl__1__4.A_4.B_4.C__4.G_4.H_4.I,c89,0.6315466818149025,0.7412024140357971
3fpe__1__1.A__1.C,c2604,0.36318949087548547,1.63047456741333
5dnl__1__4.C_5.B_8.C__8.J_8.K_8.L,c89,0.6010550042902504,0.7710915207862854
4dyn__2__1.B__1.D,c822,0.2980663085055616,2.736987352371216
5el9__1__11.A_17.A_8.A__11.B_11.C_11.D,c89,0.6681101388339336,0.7403451800346375
6cpq__1__1.A__1.E_1.F_1.I,c31,0.45396546454041514,1.403884768486023
5el9__1__12.A_14.A_18.A__18.B_18.C_18.D,c89,0.6885533188425781,0.7222097516059875
1f1b__1__1.C_3.C__1.G,c103,0.3529096746442473,1.5888524055480957
2f3d__1__1.A_2.A__2.B_2.C_2.D_2.E_2.F,c141,0.7395897328889707,0.7384047508239746
4fgz__2__1.B__1.G,c5754,0.20531236848384388,2.3153438568115234
2foo__1__1.A__1.B,c2776,0.36708760620327413,2.8075647354125977
4f5p__1__1.A__1.E_1.H,c31,0.2817846214126487,1.886012315750122
5el9__1__12.A_16.A_3.A__3.B_3.C_3.D,c89,0.6711573821156583,0.7292311787605286
5dnl__1__5.A_5.B_5.C__5.G_5.H_5.I,c89,0.6365906878877148,0.7360928654670715
5el9__1__14.A_2.A_22.A__14.B_14.C_14.D,c89,0.6562863417040975,0.731197714805603
5el9__1__15.A_24.A_4.A__15.B_15.C_15.D,c89,0.6797416963939266,0.7412322759628296
5el9__1__13.A_20.A_9.A__20.B_20.C_20.D,c89,0.6565923603846616,0.741815447807312
3f2c__1__1.A__1.D_1.I,c3785,0.5526005553359541,1.0414143800735474
1frp__1__1.A_1.B__1.C_1.D,c141,0.5592768109574049,1.184722900390625
2f3d__1__3.A_4.A__3.B_3.C_3.D_3.E_3.F,c141,0.7385467087386968,0.7499493956565857
5dnl__1__6.A_6.B_7.A__6.D_6.E_6.F,c89,0.6092013543273733,0.8018133044242859
2f3d__1__3.A_4.A__4.B_4.C_4.D_4.E_4.F,c141,0.7563255489223055,0.7203000783920288
5dnl__1__6.A_6.B_6.C__6.G_6.H_6.I,c89,0.6291147377665944,0.7688295245170593
5dnl__1__5.A_5.B_8.A__5.D_5.E_5.F,c89,0.5766083789425668,0.7962421774864197
5dnl__1__5.A_7.A_7.B__7.D_7.E_7.F,c89,0.59143824217242,0.7861185669898987
5el9__1__16.A_21.A_3.A__16.B_16.C_16.D,c89,0.6946580693714779,0.7071722149848938
1frp__1__1.A_1.B__1.F_1.G,c141,0.6206844404374351,1.027713418006897
5el9__1__15.A_4.A_9.A__4.B_4.C_4.D,c89,0.6520493874420066,0.7422438263893127
3fpe__1__1.B__1.D,c2604,0.41363180210111367,1.3847635984420776
2fop__1__1.A__1.B,c2776,0.2311407274808185,2.8288187980651855
5el9__1__17.A_24.A_6.A__24.B_24.C_24.D,c89,0.6797676900111478,0.7407063841819763
5el9__1__18.A_22.A_7.A__22.B_22.C_22.D,c89,0.6586617266626027,0.7543118000030518
5el9__1__19.A_21.A_8.A__21.B_21.C_21.D,c89,0.6743100891363967,0.7394647002220154
3fma__2__1.B__1.G,c2953,0.30129751652152054,2.1831932067871094
2eqa__1__1.A__1.B_1.C,c1652,0.5809717103799426,0.8426514863967896
5dnx__1__1.A_1.B_1.C__1.G_1.H_1.I,c89,0.6641209491495933,0.8344818353652954
5dnl__1__6.A_8.A_8.B__8.D_8.E_8.F,c89,0.6005726275389068,0.8024386763572693
4f39__1__2.A__2.B,c7,0.6971874513470827,0.9019252061843872
5el9__1__2.A_24.A_6.A__6.B_6.C_6.D,c89,0.6661577474033952,0.7594764828681946
5el9__1__20.A_23.A_5.A__23.B_23.C_23.D,c89,0.6643950401110734,0.7546160221099854
3fma__4__1.D__1.I,c2953,0.3300311153175441,1.9229698181152344
6fc1__1__1.A__1.E,c326,0.6906015651809516,1.428794026374817
5dnl__1__7.A_7.B_7.C__7.G_7.H_7.I,c89,0.6188507675627396,0.7436429858207703
5dnl__1__8.A_8.B_8.C__8.G_8.H_8.I,c89,0.6262487336552377,0.7536969184875488
5el9__1__20.A_7.A_9.A__9.B_9.C_9.D,c89,0.6680649390279995,0.7383547425270081
5el9__1__23.A_3.A_5.A__5.B_5.C_5.D,c89,0.6515327511649532,0.7522228360176086
5el9__1__22.A_4.A_7.A__7.B_7.C_7.D,c89,0.6803702667240846,0.7409604787826538
5equ__2__1.B__1.J,c224,0.35748011532518126,2.2154622077941895
4f39__1__1.A__1.B,c7,0.7130253676532791,0.897551417350769
3gb4__1__1.A__1.F,c164,0.6452913904215535,0.8538300395011902
5fns__1__1.A__1.B,c315,0.3664061223586503,1.8079866170883179
5elw__1__1.A_13.A_23.A__13.B_13.C_13.D,c89,0.7506810126737623,0.7260758876800537
6fz2__1__1.A__1.C,c118,0.4380337795616386,1.54547917842865
5elw__1__1.A_11.A_13.A__1.B_1.C_1.D,c89,0.7400182796290227,0.710993766784668
5equ__4__1.D__1.P,c224,0.46011259601718724,1.8607209920883179
1gc5__1__1.A__1.B,c1264,0.3329239281451146,1.1834882497787476
5equ__3__1.C__1.M,c224,0.3622312650211984,2.271955966949463
