排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
455,二级复核,跨大领域老药新用,Obeticholic Acid,其他,Other,KCND3,心律失常,cardiac arrhythmia,心血管,42.46016913965768,0.37217388,41,0.5522394699107118,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,否
456,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,PRKCB,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,42.37863243787859,0.4841654,25,0.3607813527946042,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
457,二级复核,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,FGFR2,乳腺癌,breast carcinoma,实体瘤,42.30514868524808,0.48220226,89,0.7171426615665811,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,是,是
458,二级复核,跨大领域老药新用,Hydrocortisone Butyrate,内分泌/代谢,Endocrinology/Metabolic,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,42.269652,0.3986354,18,0.803548887170282,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
459,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,CHEK2,乳腺癌,breast carcinoma,实体瘤,42.21379922737742,0.44129124,73,0.7090462826982556,激酶生化/细胞,中高,上市后文献有新靶点线索,5,5,是,否
460,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,42.0128118,0.22170311,64,0.8577261614555013,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,否,否
461,二级复核,跨大领域老药新用,Abacavir Sulfate,感染性疾病,Infectious Disease,CDK4,乳腺癌,breast cancer,实体瘤,42.003258384050454,0.21740045,28,0.6307216615133534,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
462,二级复核,同领域新靶点/新病种探索,Selinexor,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,41.88819919093706,0.30741486,6,0.7055780321897952,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
463,二级复核,跨大领域老药新用,Nevirapine,感染性疾病,Infectious Disease,CCND1,乳腺癌,breast cancer,实体瘤,41.76788828205069,0.4534936,58,0.663919419942994,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
464,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,FGFR2,乳腺癌,breast carcinoma,实体瘤,41.43506388524808,0.3778433,83,0.7171426615665811,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,是,否
465,二级复核,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK3,乳腺癌,breast carcinoma,实体瘤,41.1266207393351,0.36610645,42,0.2833327291556342,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
466,二级复核,同领域新靶点/新病种探索,Netupitant,肿瘤,Oncology,CDK6,乳腺癌,breast carcinoma,实体瘤,41.03860490892586,0.3351373,20,0.6103198922485568,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
467,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,41.0,0.54742885,4,0.803548887170282,酶/表观遗传生化,中高,上市后文献有新靶点线索,1,1,是,否
468,二级复核,同领域新靶点/新病种探索,Bicalutamide,肿瘤,Oncology,BMPR1A,乳腺癌,breast carcinoma,实体瘤,40.560889069911205,0.54905325,16,0.2915950697738313,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
469,二级复核,同领域新靶点/新病种探索,Selinexor,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,40.40712993333334,0.31586707,5,0.8245011238749937,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,是,否
470,二级复核,同领域同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,40.337134138106364,0.4755741,43,0.6434226431750978,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,是,是
471,二级复核,跨大领域老药新用,Difluprednate,内分泌/代谢,Endocrinology/Metabolic,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,40.2695056,0.35577512,9,0.803548887170282,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
472,二级复核,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,40.215879590242,0.45640904,26,0.6777833062329777,酶/表观遗传生化,高,PubMed pair审计未见明确报道,0,0,是,是
473,二级复核,跨大领域老药新用,Fludarabine Phosphate,肿瘤,Oncology,SCN5A,心律失常,cardiac arrhythmia,心血管,40.16287428575999,0.4243632,45,0.7863374052930366,离子通道功能,high,PubMed pair审计未见明确报道,0,0,否,否
474,二级复核,跨大领域老药新用,Doravirine,未知,,ESR2,乳腺癌,breast carcinoma,实体瘤,40.06305345529092,0.5588249,4,0.4916912646795965,核受体/转录因子 reporter,high,PubMed pair审计未见明确报道,0,0,否,否
475,二级复核,同领域新靶点/新病种探索,Netupitant,肿瘤,Oncology,AKT1,乳腺癌,breast carcinoma,实体瘤,40.058713392884606,0.30701417,60,0.6250986130170937,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
476,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,CDK6,乳腺癌,breast carcinoma,实体瘤,39.809570775592526,0.24451514,13,0.6103198922485568,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,否,否
477,二级复核,跨领域但同靶点家族扩展,Trifarotene,肿瘤,Oncology,NR3C1,银屑病,psoriasis,皮肤/免疫,39.7345325429359,0.45786697,8,0.6089218048712254,核受体/转录因子 reporter,中高,PubMed pair审计未见明确报道,0,0,否,是
478,二级复核,同领域新靶点/新病种探索,Fulvestrant,肿瘤,Oncology,KCND3,心律失常,cardiac arrhythmia,心血管,39.42538807299101,0.68933356,7,0.5522394699107118,离子通道功能,高,PubMed pair审计未见明确报道,0,0,是,否
479,二级复核,跨大领域老药新用,Ketoconazole,未知,,MTOR,银屑病,psoriasis,皮肤/免疫,39.38958504422119,0.2049843,36,0.0514215278913125,激酶生化/细胞,中,上市后文献有新靶点线索,5,5,否,否
480,二级复核,同领域新靶点/新病种探索,Trospium Chloride,神经/精神,Neurology/Psychiatry,GABRA1,双相障碍,bipolar disorder,免疫/炎症,39.330122603895205,0.50845593,29,0.4146721157286756,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,是,否
481,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,TOP2A,小细胞肺癌,small cell lung carcinoma,实体瘤,39.20815416269915,0.46063435,56,0.5797874590829253,酶/表观遗传生化,中高,上市后文献有新靶点线索,1,1,是,否
482,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,AKT1,乳腺癌,breast carcinoma,实体瘤,39.184559192884606,0.22399658,60,0.6250986130170937,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,否,否
483,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,MAP2K1,黑色素瘤,melanoma,实体瘤,39.099605607401244,0.23544537,38,0.7309105929215368,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
484,二级复核,跨领域但同靶点家族扩展,Obeticholic Acid,其他,Other,ESR2,乳腺癌,breast carcinoma,实体瘤,39.04567945529092,0.4996277,6,0.4916912646795965,核受体/转录因子 reporter,中高,PubMed pair审计未见明确报道,0,0,否,是
485,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,BMPR1A,乳腺癌,breast carcinoma,实体瘤,38.87799573657787,0.463938,46,0.2915950697738313,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
486,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,JAK3,乳腺癌,breast carcinoma,实体瘤,38.847421739335104,0.4458379,69,0.2833327291556342,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
487,二级复核,跨大领域老药新用,Acyclovir,感染性疾病,Infectious Disease,FGFR4,乳腺癌,breast carcinoma,实体瘤,38.71161490396365,0.20729196,14,0.5498365972131993,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
488,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,MAP2K2,乳腺癌,breast carcinoma,实体瘤,38.66667251136566,0.44119787,26,0.284923196060696,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
489,二级复核,跨大领域老药新用,Abacavir Sulfate,感染性疾病,Infectious Disease,CDK6,乳腺癌,breast carcinoma,实体瘤,38.544218575592524,0.21740045,29,0.6103198922485568,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,否,否
490,二级复核,同领域新靶点/新病种探索,Netupitant,肿瘤,Oncology,CDK4,乳腺癌,breast cancer,实体瘤,38.497644717383785,0.3351373,19,0.6307216615133534,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,是,否
491,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,BMPR1A,乳腺癌,breast carcinoma,实体瘤,38.383134003244535,0.45333382,5,0.2915950697738313,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
492,二级复核,跨大领域老药新用,Mifepristone,内分泌/代谢,Endocrinology/Metabolic,RAF1,银屑病,psoriasis,皮肤/免疫,38.26365621371577,0.44029492,43,0.0022174791281082,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
493,二级复核,跨大领域老药新用,Ledipasvir,感染性疾病,Infectious Disease,RAF1,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,38.17389892147068,0.2826641,95,0.4584995965098081,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,否,否
494,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,AKT2,乳腺癌,breast cancer,实体瘤,38.0859494676277,0.22549902,56,0.5731553422649348,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,否,否
495,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,CDK6,乳腺癌,breast carcinoma,实体瘤,38.0493042422592,0.463938,49,0.6103198922485568,激酶生化/细胞,high,上市后文献有新靶点线索,8,8,是,否
496,二级复核,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,TOP2A,小细胞肺癌,small cell lung carcinoma,实体瘤,38.047404029365815,0.24290399,21,0.5797874590829253,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,否,否
497,二级复核,同领域新靶点/新病种探索,Dexmethylphenidate Hydrochloride,神经/精神,Neurology/Psychiatry,GABRA1,双相障碍,bipolar disorder,免疫/炎症,38.0221250038952,0.47197148,13,0.4146721157286756,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,是,否
498,二级复核,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,NTRK2,乳腺癌,breast carcinoma,实体瘤,37.99943197830001,0.4365579,78,0.3093361471837043,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
499,二级复核,跨大领域老药新用,Netupitant,肿瘤,Oncology,GRIA2,癫痫,epilepsy,神经/精神,37.9467433464208,0.31007883,53,0.6137658346557394,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,否,否
500,二级复核,跨大领域老药新用,Acyclovir,感染性疾病,Infectious Disease,TYK2,银屑病,psoriasis,皮肤/免疫,37.81384007650741,0.21205647,5,0.7222757693262555,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
501,二级复核,同领域同靶点家族扩展,Entrectinib,肿瘤,Oncology,IGF1R,肝细胞癌,hepatocellular carcinoma,实体瘤,37.72059873880392,0.3309019,6,0.2049708180209151,酶/表观遗传生化,中高,上市后文献有新靶点线索,4,2,是,是
502,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,NTRK2,乳腺癌,breast carcinoma,实体瘤,37.533775178300004,0.42657954,37,0.3093361471837043,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
503,二级复核,同领域同靶点家族扩展,Ribociclib Succinate,肿瘤,Oncology,LYN,乳腺癌,breast cancer,实体瘤,36.96114314108978,0.48132643,10,0.4370033959002865,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,是,是
504,二级复核,跨大领域老药新用,Brincidofovir,感染性疾病,Infectious Disease,SLC6A1,精神分裂症,schizophrenia,神经/精神,36.796846574410985,0.46790177,8,0.2797672877515993,转运体摄取/外排,high,PubMed pair审计未见明确报道,0,0,否,否
505,二级复核,跨领域但同靶点家族扩展,Nitisinone,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,36.6495254714397,0.3322682,97,0.6434226431750978,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,是
506,二级复核,跨大领域老药新用,Mifepristone,内分泌/代谢,Endocrinology/Metabolic,PTGS1,黑色素瘤,melanoma,实体瘤,36.63622649448754,0.5056671,16,0.117165621977224,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
507,二级复核,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,PDGFRB,乳腺癌,breast cancer,实体瘤,36.63089713024608,0.64310324,6,0.4280398724553814,酶/表观遗传生化,高,PubMed pair审计未见明确报道,0,0,是,是
