model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
all_inactive_consensus,fixed112_frozen_evidence,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL1974,ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,FLT3,CHEMBL1974,0.8975646,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL2148,ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,JAK3,CHEMBL2148,0.8054433,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL3522,ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,CYP17A1,CHEMBL3522,0.8579321,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BFPYWIDHMRZLRN-SLHNCBLASA-N__CHEMBL279,BFPYWIDHMRZLRN-SLHNCBLASA-N,ethinyl estradiol,KDR,CHEMBL279,0.867176,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BLIJXOOIHRSQRB-PXYINDEMSA-N__CHEMBL202,BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,DHFR,CHEMBL202,0.8851347,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BLIJXOOIHRSQRB-PXYINDEMSA-N__CHEMBL286,BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,REN,CHEMBL286,0.7953662,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BLIJXOOIHRSQRB-PXYINDEMSA-N__CHEMBL3116,BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,CDK9,CHEMBL3116,0.93007773,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BLIJXOOIHRSQRB-PXYINDEMSA-N__CHEMBL3535,BLIJXOOIHRSQRB-PXYINDEMSA-N,darolutamide,PDE9A,CHEMBL3535,0.90167946,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BPKAHTKRCLCHEA-UBFJEZKGSA-N__CHEMBL1871,BPKAHTKRCLCHEA-UBFJEZKGSA-N,paricalcitol,AR,CHEMBL1871,0.876441,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,BPZSYCZIITTYBL-YJYMSZOUSA-N,arformoterol,CTSC,CHEMBL2252,0.6125869,True,True,False,False,False
