panel,scope,direction,model,seed,ap,auroc,reciprocal_rank,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,queries,queries_at_20
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260921,0.463487720425573,0.6307701645788361,0.4998329156223893,0.3157894736842105,0.12825814536340852,0.3157894736842105,0.2789473684210526,0.5101817042606517,0.4433400319277097,0.2394736842105263,0.8586779448621554,0.5650034962094345,0.15833333333333333,0.746031746031746,0.5745439977000953,38,6
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260922,0.5066542056823855,0.6571018388952932,0.5596020353915091,0.39473684210526316,0.19520676691729322,0.39473684210526316,0.2578947368421053,0.5363408521303258,0.4750279361841999,0.2263157894736842,0.8086466165413534,0.5841640547643142,0.11666666666666665,0.7063492063492064,0.47391243662590626,38,6
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,kdki_inactive,20260923,0.4767772737291181,0.6151380355080323,0.5393990025568973,0.42105263157894735,0.15545112781954887,0.42105263157894735,0.29473684210526313,0.5175751879699249,0.4585389639681022,0.2421052631578947,0.8226817042606517,0.5666902769178543,0.15833333333333333,0.746031746031746,0.5702065852139675,38,6
ACTIVITY_IC50,old_train_pair_unseen,drug_to_target,old_production,0,0.6438809636386571,0.7606413216126838,0.7083640044166359,0.5789473684210527,0.3324248120300752,0.5789473684210527,0.3631578947368421,0.7038533834586466,0.6652251600589868,0.2473684210526316,0.862406015037594,0.7125786795512816,0.15833333333333333,0.8539682539682539,0.6364670224093198,38,6
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,20260921,0.887641272583346,0.8646680804598669,0.940404875130811,0.910427807486631,0.07078281752853645,0.910427807486631,0.8687165775401069,0.27178307423538983,0.9026966664998368,0.8272727272727272,0.4544502621695179,0.9097382255310964,0.8376991150442478,0.5308429056153428,0.9316918447799615,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,20260922,0.8874855456513184,0.8648567380941398,0.9388395607922189,0.9037433155080213,0.07030835877654902,0.9037433155080213,0.8684491978609626,0.2724495801571236,0.9025151105127311,0.825668449197861,0.45194227778555185,0.9086589080250022,0.8394690265486726,0.5385769740624257,0.9347346246381552,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,all_inactive,20260923,0.8904532195279615,0.8648568761662301,0.9428511102424146,0.9131016042780749,0.07484485776060684,0.9131016042780749,0.86524064171123,0.2750375061850181,0.9042114655185006,0.8250000000000001,0.4559197143823091,0.9115686788169284,0.8402654867256637,0.5386483043989964,0.935511071685054,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,20260921,0.7561008695338404,0.6318914907757399,0.8219571250121682,0.7379679144385026,0.05030977031551912,0.7379679144385026,0.7232620320855615,0.20637366521573305,0.7408230980965615,0.7105614973262032,0.37860391906536567,0.7638221445593312,0.736283185840708,0.4587049193616296,0.793597865644454,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,20260922,0.752721263243763,0.6328710322828498,0.815808183509349,0.7245989304812834,0.049873290838423526,0.7245989304812834,0.7171122994652406,0.20636216755704812,0.735555892505179,0.7045454545454546,0.3769509376605675,0.7575662953011688,0.7295575221238938,0.45615233309685566,0.7881759385816689,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,kdki_inactive,20260923,0.7496617380130574,0.6313940853969511,0.8128310728636055,0.7245989304812834,0.0463439977053776,0.7245989304812834,0.7179144385026738,0.2046894080844619,0.7316869130806597,0.7026737967914439,0.37872595852446045,0.7527665657023117,0.7271681415929204,0.4585165830755331,0.7817395318503526,748,565
ACTIVITY_IC50,old_train_pair_unseen,target_to_drug,old_production,0,0.7642781976279367,0.6405178580845081,0.822133693412444,0.7406417112299465,0.04916427841383384,0.7406417112299465,0.7312834224598931,0.21038108183116372,0.7487592846374056,0.7133689839572193,0.3777847169308196,0.7669981798361383,0.7392035398230088,0.4585632205357474,0.7943740824634665,748,565
AFFINITY_KD_KI,all,drug_to_target,all_inactive,20260921,0.5265805017493803,0.7433108638606761,0.6744235853712978,0.5555555555555556,0.08972451667535047,0.5555555555555556,0.48518518518518516,0.3781354377669523,0.5443594989304289,0.4222222222222222,0.580840863751787,0.5781875261743382,0.21333333333333335,0.4577331207987696,0.418696961219754,54,30
AFFINITY_KD_KI,all,drug_to_target,all_inactive,20260922,0.5809783677093792,0.8015938721232888,0.7448049239715906,0.6666666666666666,0.10208761668348026,0.6666666666666666,0.5481481481481482,0.4198632969121444,0.6183090616490835,0.43703703703703706,0.5978736580206525,0.6246463506458211,0.24166666666666667,0.4901138931475574,0.4672152246053564,54,30
