direction,query,pairs,positive,negative,random_ap,random_p5
target_to_drug,SEQ:7c1523d7d6bd86df82bb78f6bc72691ee4cfa9ad4bb95aabc4dc3e64d1bf831b,28,6,22,0.29946794028738105,0.21428571428571427
target_to_drug,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,52,29,23,0.5883767009298798,0.5576923076923077
target_to_drug,SEQ:7c44a5c602ed3747f888e66d3e0d1e9f5f7ad40194536c4cf2fd76611124e520,20,16,4,0.8273446279699336,0.8
target_to_drug,SEQ:7c626d67b7728183c647d3ec913c34061573b652086f8b9b634c7cfd9be034a0,22,1,21,0.16776423864623977,0.045454545454545456
target_to_drug,SEQ:7de81bcead1914a2202f8fd8a33220f32f5d9980c423ace70248697260f2789a,20,1,19,0.17988698285718413,0.05
target_to_drug,SEQ:7e89c129d963de94ba33ff625333bd69b921f00a68615457d918a2ed599318c1,21,1,20,0.17358850975060613,0.047619047619047616
target_to_drug,SEQ:7ed09d28a62627dfe08250e3b011ba5bc2f1faa6112a4a0cfd82b7ab9d5196ca,19,1,18,0.18672313984966749,0.05263157894736842
target_to_drug,SEQ:7f1f4116d6e914218c8fb5941efe670b856085d636b76dae4968530b6c6c31fd,26,5,21,0.2845274062161784,0.19230769230769232
target_to_drug,SEQ:7f3d679eff5a0b39202fe2696e4b76106c26dd5b3df9d615e208dbdf4bc35724,20,15,5,0.7841807849624168,0.75
target_to_drug,SEQ:7f69aba6b465001d13b7bd7589de4d14647de313773b2cdfa0446b095330ee08,151,125,26,0.8330924009154616,0.8278145695364238
target_to_drug,SEQ:7f99a3866638d052e67847fd928f4271427440a3b7622ff21e0269fe5f0e1e03,52,41,11,0.8031366830534208,0.7884615384615384
target_to_drug,SEQ:7ff04ddccf949e11263e780f4fb3492ae973c50c851a4df836fb5d6e323a318a,90,56,34,0.639551485704975,0.6222222222222222
target_to_drug,SEQ:80662fd4ba93c571a522d273b5ad78b688b7e8733925685af0dd3f176c9f498d,23,2,21,0.20043502318739853,0.08695652173913043
target_to_drug,SEQ:808152c23dd7903f79cd211e69be307502872a8319329ebfdb49ad3c6d25ad55,26,1,25,0.14824691216211713,0.038461538461538464
target_to_drug,SEQ:809c105e2a6e885c842e5d098845d69476d417336b2a21c12259fdcbc240cb32,38,17,21,0.4955803287903288,0.4473684210526316
target_to_drug,SEQ:838bd1d1720a9be02d2317ebabf1fb9b69d86beede4cec20226586bf3f0b6ea9,13,1,12,0.24462567347182734,0.07692307692307693
target_to_drug,SEQ:84f03c7918b76c7e07d3b922a5793387567de20fd8792bd18d405d3f61dee66c,27,7,20,0.34163694453709637,0.25925925925925924
target_to_drug,SEQ:850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,10,3,7,0.4500308641975308,0.3
target_to_drug,SEQ:85fad6da5ffc4994b0d436d2c3ae4aed9f17e8df624e4613b2acdcbe2aafc00d,11,1,10,0.2745343040797586,0.09090909090909091
target_to_drug,SEQ:8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5,34,30,4,0.8934695543331388,0.8823529411764706
target_to_drug,SEQ:86474905e2d1f55fde60c48c187f901d56f9e9fdd998cfbe2c648a843b6e9aab,23,2,21,0.20043502318739853,0.08695652173913043
target_to_drug,SEQ:8668509c1c5a38917d30a46f023eded94584a129e7dac90b7e80fd4e56d943ac,22,3,19,0.24702478734659788,0.13636363636363635
target_to_drug,SEQ:87208f7d25d760d405971be60e739e07826b41f96550fef7b3e4b593f208c082,20,1,19,0.17988698285718413,0.05
