query,entity,head_a,head_b,n,spearman
drug_id,CPZBLNMUGSZIPR-NVXWUHKLSA-N,nesso,nesso_pic50,37,0.25225225225225223
drug_id,CPZBLNMUGSZIPR-NVXWUHKLSA-N,biomaster,biomaster_reverse,37,0.9084874348032242
drug_id,CSKDFZIMJXRJGH-VWLPUNTISA-N,nesso,nesso_pic50,37,0.49407302038880985
drug_id,CSKDFZIMJXRJGH-VWLPUNTISA-N,biomaster,biomaster_reverse,37,0.9957325746799429
drug_id,CSOBIBXVIYAXFM-BYNJWEBRSA-N,nesso,nesso_pic50,37,0.4006638217164532
drug_id,CSOBIBXVIYAXFM-BYNJWEBRSA-N,biomaster,biomaster_reverse,37,0.980085348506401
drug_id,CTRLABGOLIVAIY-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.28757705073494544
drug_id,CTRLABGOLIVAIY-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9945471787577049
drug_id,CUHVIMMYOGQXCV-NSHDSACASA-N,nesso,nesso_pic50,37,-0.019914651493598858
drug_id,CUHVIMMYOGQXCV-NSHDSACASA-N,biomaster,biomaster_reverse,37,0.950687529634898
drug_id,CUIHSIWYWATEQL-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.3269321953532479
drug_id,CUIHSIWYWATEQL-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9701280227596016
drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.6458036984352773
drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.5644855381697487
drug_id,CXOFVDLJLONNDW-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.04433380749170222
drug_id,CXOFVDLJLONNDW-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9642010431484115
drug_id,CXOXHMZGEKVPMT-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.19890943575154096
drug_id,CXOXHMZGEKVPMT-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9713134186818396
drug_id,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,nesso,nesso_pic50,37,0.46965386439070644
drug_id,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,biomaster,biomaster_reverse,37,0.9883831199620672
drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.5028449502133712
drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.7202465623518254
drug_id,CYQFCXCEBYINGO-IAGOWNOFSA-N,nesso,nesso_pic50,37,0.6104788999525841
drug_id,CYQFCXCEBYINGO-IAGOWNOFSA-N,biomaster,biomaster_reverse,37,0.987908961593172
drug_id,CZFFBEXEKNGXKS-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.1597913703176861
drug_id,CZFFBEXEKNGXKS-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9836415362731151
drug_id,CZGVOBIGEBDYTP-VSGBNLITSA-N,nesso,nesso_pic50,37,-0.34613560929350395
drug_id,CZGVOBIGEBDYTP-VSGBNLITSA-N,biomaster,biomaster_reverse,37,0.009246088193456613
drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.1254148885727833
drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9651493598862019
drug_id,DBEPLOCGEIEOCV-WSBQPABSSA-N,nesso,nesso_pic50,37,0.35775248933143666
drug_id,DBEPLOCGEIEOCV-WSBQPABSSA-N,biomaster,biomaster_reverse,37,0.18587008060692267
drug_id,DBGIVFWFUFKIQN-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.2780938833570412
drug_id,DBGIVFWFUFKIQN-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.8935514461830251
drug_id,DCCSDBARQIPTGU-HSZRJFAPSA-N,nesso,nesso_pic50,37,0.39449976292081557
drug_id,DCCSDBARQIPTGU-HSZRJFAPSA-N,biomaster,biomaster_reverse,37,0.9717875770507348
drug_id,DCOPUUMXTXDBNB-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.07894736842105263
drug_id,DCOPUUMXTXDBNB-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9909909909909909
drug_id,DDFOUSQFMYRUQK-RCDICMHDSA-N,nesso,nesso_pic50,37,0.46396396396396394
drug_id,DDFOUSQFMYRUQK-RCDICMHDSA-N,biomaster,biomaster_reverse,37,0.9888572783309624
drug_id,DDLIGBOFAVUZHB-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.4796111901375059
drug_id,DDLIGBOFAVUZHB-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9646752015173067
drug_id,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,nesso,nesso_pic50,37,0.45732574679943094
drug_id,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,biomaster,biomaster_reverse,37,0.9587482219061166
drug_id,DEVSOMFAQLZNKR-RJRFIUFISA-N,nesso,nesso_pic50,37,0.25770507349454713
drug_id,DEVSOMFAQLZNKR-RJRFIUFISA-N,biomaster,biomaster_reverse,37,0.9528212422949264
drug_id,DHHVAGZRUROJKS-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.18871503082029395
drug_id,DHHVAGZRUROJKS-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.8864390706495968
drug_id,DHMTURDWPRKSOA-RUZDIDTESA-N,nesso,nesso_pic50,37,0.5267899478425794
drug_id,DHMTURDWPRKSOA-RUZDIDTESA-N,biomaster,biomaster_reverse,37,0.9020862968231388
drug_id,DHSUYTOATWAVLW-WFVMDLQDSA-N,nesso,nesso_pic50,37,-0.5825035561877667
