pair_id,drug_names,gene_symbol,raw_activity_rows,raw_high_confidence_direct_target_annotation,novelty_reaudit_status
VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,terazosin,NTRK3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1856,vibegron,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL206,desoximetasone,ESR1,3,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL5838,betrixaban,ERBB3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL235,bazedoxifene,PPARG,2,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL2527,rucaparib,CHEK2,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,enasidenib,BRAF,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,sotalol,ALDH2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,ozanimod,EZH2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,desoximetasone,PRKCB,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,lisinopril,NR3C2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL242,amlodipine,ESR2,3,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL241,tofacitinib,PDE3A,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,arformoterol,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,bazedoxifene,THRB,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,rimegepant,JAK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XPOQHMRABVBWPR-ZDUSSCGKSA-N__CHEMBL2034,efavirenz,NR3C1,3,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,glycopyrronium,CYP26A1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,indacaterol,JAK1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,varenicline,ESRRG,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,balsalazide;mesalamine,XDH,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,elvitegravir,ERBB2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ivabradine,FGFR2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1856,nalmefene,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,anastrozole,ALK,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,cilastatin,PPARG,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,CYP26A1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2695,aripiprazole;aripiprazole lauroxil,PTK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,rasagiline,GBA1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,sufentanil,F12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL4282,ivosidenib,AKT1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,pregabalin,ENPEP,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
