pair_id,drug_names,gene_symbol
CXOXHMZGEKVPMT-UHFFFAOYSA-N__CHEMBL4523510,clobazam,CYP46A1
FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,pramipexole,CA2
KPYSYYIEGFHWSV-UHFFFAOYSA-N__CHEMBL4523510,baclofen,CYP46A1
SFLSHLFXELFNJZ-QMMMGPOBSA-N__CHEMBL2252,droxidopa;norepinephrine,CTSC
TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,metoclopramide,CA4
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4005,pomalidomide,PIK3CA
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,labetalol,CA1
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL279,relugolix,KDR
LTXREWYXXSTFRX-QGZVFWFLSA-N__CHEMBL1827,linagliptin,PDE5A
AAOVKJBEBIDNHE-UHFFFAOYSA-N__CHEMBL4523510,diazepam,CYP46A1
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,lenalidomide,PRKCB
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,rasagiline,ACE
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,pitavastatin,MME
FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL2722,umeclidinium,CYP11B2
KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,lofexidine,GSK3A
JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,xanomeline,CA4
IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL2063,colchicine,UGCG
DMNOVGJWPASQDL-OAQYLSRUSA-N__CHEMBL2722,oliceridine,CYP11B2
FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL3535,rolapitant,PDE9A
ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,afatinib,REN
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,glimepiride,MME
LDCRTTXIJACKKU-ONEGZZNKSA-N__CHEMBL402,dimethyl fumarate,HMGCR
BMKDZUISNHGIBY-ZETCQYMHSA-N__CHEMBL4073,dexrazoxane,MMP7
VDANGULDQQJODZ-UHFFFAOYSA-N__CHEMBL220,chloroprocaine,ACHE
FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,panobinostat,PARP2
ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,nicardipine,FAAH
INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,guanfacine,ROCK2
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,rilpivirine,MAPK9
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL3535,avanafil,PDE9A
FTALBRSUTCGOEG-UHFFFAOYSA-N__CHEMBL2039,riluzole,MAOB
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,ribociclib,REN
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,enasidenib,GSK3B
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,etravirine,TYMS
RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,dolutegravir,MAPK9
NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,larotrectinib,FKBP1A
QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,tipiracil,TYMS
BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL3310,cobimetinib,HDAC11
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,etonogestrel,VDR
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,binimetinib,HDAC1
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL4898,sonidegib,NTRK2
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,labetalol,ACE
OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,mebendazole,HCK
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,ubrogepant,JAK3
QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL3522,pilocarpine,CYP17A1
FGQFOYHRJSUHMR-UHFFFAOYSA-N__CHEMBL2063,lesinurad,UGCG
NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,albuterol,CTSC
GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,methocarbamol,CA7
VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,asenapine,MAOB
WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL288,avanafil,PDE4D
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL3553,rilpivirine,TYK2
UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL215,epinephrine,ALOX5
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,bictegravir,MAPK8
YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,esketamine,GSK3B
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,binimetinib,DHFR
XPOQHMRABVBWPR-ZDUSSCGKSA-N__CHEMBL1871,efavirenz,AR
USUZGMWDZDXMDG-CYBMUJFWSA-N__CHEMBL2063,osilodrostat,UGCG
ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL4588,imipenem,MMP8
UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL283,macimorelin,MMP3
MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,roflumilast,ACHE
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,glasdegib,FAAH
QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,gepirone,GSK3B
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2007,ranolazine,PDGFRA
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,enasidenib,LCK
SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,duvelisib,PARP2
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,ubrogepant,METAP2
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL220,remimazolam,ACHE
PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,silodosin,CSF1R
CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL2722,palonosetron,CYP11B2
PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,mirabegron,MME
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL3729,bempedoic acid,CA4
IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,vaborbactam,FKBP1A
MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2023,deutetrabenazine,COMT
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,lubiprostone,FKBP1A
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL258,sonidegib,LCK
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,ranolazine,CA7
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,rilpivirine,MAPK8
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,dasabuvir,NR3C1
IKENVDNFQMCRTR-UHFFFAOYSA-N__CHEMBL1966,conivaptan,DHODH
NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,indapamide,ACE
PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,tasimelteon,NR3C1
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,vibegron,ROCK2
NNJVILVZKWQKPM-UHFFFAOYSA-N__CHEMBL1994,lidocaine,NR3C2
JFOZKMSJYSPYLN-QHCPKHFHSA-N__CHEMBL1952,lifitegrast,TYMS
DMNOVGJWPASQDL-OAQYLSRUSA-N__CHEMBL1908,oliceridine,CYP11B1
WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,nalmefene,VDR
CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL2243,remimazolam,FAAH
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3310,lenalidomide,HDAC11
ZEUITGRIYCTCEM-KRWDZBQOSA-N__CHEMBL220,duloxetine,ACHE
XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL3234,eltrombopag,HCK
BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL205,morphine,CA2
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,bictegravir,PARP2
BMKDZUISNHGIBY-ZETCQYMHSA-N__CHEMBL4588,dexrazoxane,MMP8
WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1994,nalmefene,NR3C2
