pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL258,bazedoxifene,LCK,CHEMBL258,0.89684135,False,False,False
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL3234,bazedoxifene,HCK,CHEMBL3234,0.9021312,False,False,False
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL4898,bazedoxifene,NTRK2,CHEMBL4898,0.904421,False,False,False
UFSKUSARDNFIRC-UHFFFAOYSA-N__CHEMBL2008,lumacaftor,RARB,CHEMBL2008,0.747554,False,False,False
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL1871,tofacitinib,AR,CHEMBL1871,0.88445157,False,False,False
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL1994,tofacitinib,NR3C2,CHEMBL1994,0.8958953,False,False,False
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL3535,tofacitinib,PDE9A,CHEMBL3535,0.9211855,False,False,False
UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL4393,tofacitinib,MMP12,CHEMBL4393,0.84470934,False,False,False
USUZGMWDZDXMDG-CYBMUJFWSA-N__CHEMBL2063,osilodrostat,UGCG,CHEMBL2063,0.69353086,True,True,False
USUZGMWDZDXMDG-CYBMUJFWSA-N__CHEMBL2179,osilodrostat,GBA1,CHEMBL2179,0.5278738,False,False,False
UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL202,abemaciclib,DHFR,CHEMBL202,0.92445076,False,False,False
UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL235,abemaciclib,PPARG,CHEMBL235,0.8518348,False,False,False
UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL284,abemaciclib,DPP4,CHEMBL284,0.9019311,False,False,False
UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL402,abemaciclib,HMGCR,CHEMBL402,0.8915597,False,False,False
VGKDLMBJGBXTGI-SJCJKPOMSA-N__CHEMBL4816,sertraline,AKT3,CHEMBL4816,0.720269,False,False,False
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1994,pitavastatin,NR3C2,CHEMBL1994,0.87092316,False,False,False
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL2971,pitavastatin,JAK2,CHEMBL2971,0.71046406,False,False,False
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL3522,pitavastatin,CYP17A1,CHEMBL3522,0.87904525,False,False,False
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL3979,pitavastatin,PPARD,CHEMBL3979,0.66026527,False,False,False
VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL2326,olmesartan,CA7,CHEMBL2326,0.80947214,False,False,False
VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,olmesartan,EGLN3,CHEMBL5705,0.89520866,True,True,False
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL2276,sonidegib,MAPK8,CHEMBL2276,0.8851968,False,False,False
