排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,药物完整InChIKey,新靶点ChEMBL编号,full720x384_covered,full720x384__legacy_spr_ranker__drug_to_target_rank,full720x384__old_neural__drug_to_target_rank,full720x384__A_consensus__drug_to_target_rank,full720x384__B_consensus__drug_to_target_rank,full720x384__dtiam__drug_to_target_rank,full720x384__legacy_spr_ranker__target_to_drug_rank,full720x384__old_neural__target_to_drug_rank,full720x384__A_consensus__target_to_drug_rank,full720x384__B_consensus__target_to_drug_rank,full720x384__dtiam__target_to_drug_rank,drugclip_common548x269_covered,drugclip_common548x269__legacy_spr_ranker__drug_to_target_rank,drugclip_common548x269__old_neural__drug_to_target_rank,drugclip_common548x269__A_consensus__drug_to_target_rank,drugclip_common548x269__B_consensus__drug_to_target_rank,drugclip_common548x269__dtiam__drug_to_target_rank,drugclip_common548x269__drugclip__drug_to_target_rank,drugclip_common548x269__legacy_spr_ranker__target_to_drug_rank,drugclip_common548x269__old_neural__target_to_drug_rank,drugclip_common548x269__A_consensus__target_to_drug_rank,drugclip_common548x269__B_consensus__target_to_drug_rank,drugclip_common548x269__dtiam__target_to_drug_rank,drugclip_common548x269__drugclip__target_to_drug_rank
66,C384-073,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,JJVAPHYEOZSKJZ-JGCGQSQUSA-N,CHEMBL2695,True,8.0,294.0,125.0,194.0,83.0,42.0,192.0,83.0,41.0,41.0,False,,,,,,,,,,,,
67,C384-124,dasabuvir,PGR — Progesterone receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL208,True,8.0,26.0,6.0,35.0,139.0,15.0,154.0,149.0,108.0,135.0,True,7.0,20.0,3.0,26.0,99.0,209.0,9.0,114.0,112.0,84.0,115.0,448.0
68,C384-085,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,DOUYETYNHWVLEO-UHFFFAOYSA-N,CHEMBL1782,True,8.0,53.0,80.0,246.0,32.0,76.0,61.0,264.0,359.0,411.0,True,6.0,35.0,43.0,172.0,24.0,100.0,65.0,45.0,203.0,266.0,320.0,77.0
69,C384-134,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL3535,True,8.0,148.0,49.0,148.0,22.0,158.0,471.0,645.0,471.0,236.0,True,5.0,93.0,28.0,103.0,13.0,265.0,131.0,369.0,493.0,348.0,201.0,523.0
70,C384-268,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,VPPJLAIAVCUEMN-GFCCVEGCSA-N,CHEMBL2039,True,8.0,177.0,26.0,41.0,76.0,49.0,24.0,420.0,405.0,610.0,True,3.0,108.0,17.0,26.0,59.0,201.0,41.0,18.0,324.0,301.0,468.0,350.0
71,C384-323,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL2252,True,8.0,232.0,19.0,298.0,28.0,115.0,345.0,246.0,667.0,337.0,False,,,,,,,,,,,,
72,C384-325,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,UJLAWZDWDVHWOW-YPMHNXCESA-N,CHEMBL5366,True,8.0,344.0,138.0,122.0,134.0,14.0,569.0,625.0,651.0,110.0,True,6.0,243.0,81.0,78.0,101.0,56.0,13.0,443.0,473.0,486.0,96.0,265.0
73,C384-326,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL1947,True,8.0,272.0,311.0,216.0,230.0,181.0,475.0,246.0,386.0,588.0,True,5.0,176.0,205.0,136.0,158.0,27.0,149.0,363.0,185.0,296.0,449.0,66.0
74,C384-012,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL235,True,9.0,176.0,252.0,233.0,126.0,18.0,431.0,377.0,265.0,93.0,True,6.0,117.0,182.0,169.0,88.0,215.0,11.0,320.0,282.0,202.0,81.0,400.0
75,C384-037,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,VCKUSRYTPJJLNI-UHFFFAOYSA-N,CHEMBL5608,True,9.0,208.0,248.0,35.0,61.0,139.0,175.0,430.0,241.0,390.0,False,,,,,,,,,,,,
76,C384-038,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,GGCSSNBKKAUURC-UHFFFAOYSA-N,CHEMBL2007,True,9.0,277.0,123.0,90.0,328.0,131.0,636.0,106.0,151.0,605.0,True,6.0,194.0,81.0,51.0,233.0,19.0,112.0,495.0,80.0,113.0,464.0,181.0
77,C384-125,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL261,True,9.0,3.0,8.0,102.0,134.0,55.0,255.0,15.0,88.0,385.0,False,,,,,,,,,,,,
78,C384-126,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL2326,True,9.0,2.0,2.0,4.0,14.0,346.0,233.0,488.0,564.0,589.0,True,8.0,2.0,1.0,4.0,8.0,237.0,277.0,173.0,371.0,416.0,455.0,387.0
79,C384-209,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL205,True,9.0,14.0,20.0,12.0,223.0,37.0,279.0,210.0,164.0,94.0,True,6.0,12.0,10.0,8.0,174.0,239.0,31.0,209.0,152.0,121.0,78.0,417.0
80,C384-211,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL2276,True,9.0,349.0,102.0,163.0,105.0,34.0,716.0,104.0,158.0,147.0,False,,,,,,,,,,,,
81,C384-269,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,AURFZBICLPNKBZ-SYBPFIFISA-N,CHEMBL242,True,9.0,12.0,241.0,121.0,58.0,191.0,62.0,184.0,218.0,340.0,False,,,,,,,,,,,,
82,C384-316,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL2243,True,9.0,67.0,99.0,198.0,132.0,111.0,250.0,391.0,647.0,329.0,True,6.0,51.0,66.0,140.0,99.0,232.0,91.0,196.0,308.0,487.0,269.0,413.0
83,C384-328,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,MEZLKOACVSPNER-GFCCVEGCSA-N,CHEMBL1808,True,9.0,250.0,146.0,254.0,275.0,25.0,163.0,569.0,475.0,687.0,False,,,,,,,,,,,,
84,C384-329,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,XFYDIVBRZNQMJC-UHFFFAOYSA-N,CHEMBL2850,True,9.0,383.0,93.0,147.0,14.0,363.0,471.0,115.0,225.0,249.0,True,6.0,268.0,55.0,109.0,8.0,110.0,291.0,371.0,92.0,177.0,197.0,195.0
85,C384-013,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL4393,True,10.0,352.0,42.0,43.0,147.0,35.0,700.0,361.0,137.0,196.0,False,,,,,,,,,,,,
86,C384-014,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,XEDHVZKDSYZQBF-UHFFFAOYSA-N,CHEMBL4898,True,10.0,95.0,125.0,202.0,24.0,78.0,43.0,356.0,485.0,87.0,True,4.0,61.0,87.0,144.0,14.0,213.0,70.0,39.0,269.0,366.0,79.0,438.0
87,C384-212,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL3729,True,10.0,51.0,189.0,41.0,25.0,102.0,131.0,286.0,56.0,19.0,True,7.0,37.0,117.0,30.0,18.0,126.0,83.0,98.0,223.0,41.0,16.0,149.0
88,C384-213,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,ATALOFNDEOCMKK-OITMNORJSA-N,CHEMBL402,True,10.0,205.0,82.0,156.0,142.0,124.0,358.0,124.0,192.0,216.0,False,,,,,,,,,,,,
89,C384-214,vaborbactam,MME — Neprilysin,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL1944,True,10.0,12.0,26.0,92.0,4.0,152.0,162.0,51.0,138.0,33.0,False,,,,,,,,,,,,
90,C384-215,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL1994,True,10.0,83.0,22.0,10.0,93.0,474.0,694.0,414.0,258.0,659.0,True,6.0,65.0,9.0,7.0,61.0,2.0,363.0,531.0,308.0,202.0,499.0,5.0
91,C384-135,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL1935,True,10.0,130.0,180.0,86.0,52.0,99.0,531.0,492.0,451.0,532.0,True,10.0,91.0,135.0,62.0,44.0,119.0,83.0,410.0,373.0,334.0,403.0,72.0
92,C384-136,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL5145,True,10.0,202.0,67.0,234.0,193.0,20.0,73.0,334.0,269.0,103.0,True,7.0,132.0,49.0,164.0,144.0,34.0,16.0,66.0,258.0,211.0,92.0,45.0
93,C384-137,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL3045,True,10.0,329.0,39.0,244.0,99.0,149.0,511.0,117.0,222.0,120.0,True,10.0,240.0,26.0,165.0,73.0,206.0,124.0,402.0,89.0,166.0,99.0,431.0
94,C384-226,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL3242,True,10.0,1.0,9.0,1.0,23.0,51.0,78.0,94.0,26.0,370.0,True,6.0,1.0,6.0,1.0,16.0,66.0,40.0,59.0,75.0,22.0,300.0,189.0
95,C384-271,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL3116,True,10.0,327.0,312.0,36.0,160.0,250.0,281.0,678.0,216.0,679.0,False,,,,,,,,,,,,
96,C384-317,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL5366,True,10.0,294.0,259.0,247.0,51.0,68.0,631.0,704.0,715.0,239.0,True,7.0,215.0,186.0,167.0,40.0,46.0,63.0,488.0,536.0,543.0,195.0,241.0
97,C384-318,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CHEMBL3535,True,10.0,56.0,47.0,12.0,153.0,183.0,622.0,487.0,98.0,327.0,True,7.0,43.0,37.0,10.0,110.0,44.0,149.0,480.0,373.0,81.0,262.0,108.0
98,C384-319,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL3045,True,10.0,229.0,99.0,77.0,121.0,71.0,291.0,100.0,65.0,206.0,True,8.0,168.0,73.0,57.0,85.0,216.0,61.0,241.0,76.0,55.0,161.0,392.0
99,C384-330,lumateperone,ACHE — Acetylcholinesterase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL220,True,10.0,8.0,66.0,278.0,37.0,127.0,318.0,65.0,76.0,236.0,True,8.0,7.0,39.0,190.0,23.0,2.0,106.0,244.0,50.0,60.0,196.0,14.0
100,C384-331,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,VREFGVBLTWBCJP-UHFFFAOYSA-N,CHEMBL2850,True,10.0,370.0,165.0,119.0,56.0,197.0,653.0,454.0,444.0,561.0,True,6.0,259.0,99.0,82.0,36.0,87.0,172.0,504.0,339.0,332.0,421.0,210.0
101,C384-043,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL2835,True,11.0,309.0,209.0,109.0,173.0,67.0,623.0,503.0,373.0,75.0,True,7.0,220.0,142.0,69.0,141.0,187.0,60.0,488.0,375.0,275.0,64.0,204.0
102,C384-044,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL2971,True,11.0,310.0,94.0,58.0,311.0,22.0,621.0,48.0,55.0,149.0,True,8.0,206.0,61.0,32.0,216.0,193.0,17.0,483.0,33.0,44.0,129.0,357.0
103,C384-045,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL4393,True,11.0,134.0,199.0,330.0,119.0,121.0,160.0,502.0,416.0,452.0,False,,,,,,,,,,,,
104,C384-138,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CHEMBL2243,True,11.0,67.0,129.0,283.0,265.0,278.0,447.0,353.0,677.0,634.0,True,7.0,43.0,82.0,200.0,184.0,89.0,231.0,341.0,277.0,512.0,485.0,169.0
105,C384-139,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL279,True,11.0,181.0,182.0,13.0,151.0,51.0,131.0,317.0,111.0,386.0,True,10.0,116.0,129.0,11.0,115.0,252.0,43.0,109.0,241.0,86.0,300.0,484.0
106,C384-227,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,GKCBAIGFKIBETG-UHFFFAOYSA-N,CHEMBL2252,True,11.0,38.0,227.0,97.0,9.0,454.0,42.0,530.0,651.0,675.0,False,,,,,,,,,,,,
107,C384-228,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,JURKNVYFZMSNLP-UHFFFAOYSA-N,CHEMBL2039,True,11.0,67.0,322.0,102.0,70.0,458.0,508.0,459.0,162.0,432.0,True,8.0,50.0,223.0,70.0,45.0,151.0,364.0,397.0,347.0,124.0,347.0,189.0
108,C384-277,piperacillin,MME — Neprilysin,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL1944,True,11.0,8.0,30.0,19.0,3.0,363.0,78.0,258.0,109.0,10.0,True,7.0,7.0,16.0,9.0,1.0,33.0,286.0,56.0,192.0,75.0,8.0,63.0
109,C384-111,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL1994,True,11.0,190.0,4.0,20.0,89.0,59.0,686.0,277.0,282.0,439.0,True,7.0,129.0,3.0,14.0,62.0,222.0,48.0,525.0,198.0,217.0,341.0,449.0
110,C384-169,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL4245,True,11.0,126.0,105.0,177.0,332.0,43.0,392.0,636.0,584.0,525.0,True,8.0,81.0,60.0,123.0,234.0,234.0,34.0,291.0,482.0,434.0,402.0,462.0
111,C384-218,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL1947,True,11.0,8.0,297.0,118.0,9.0,6.0,25.0,113.0,108.0,17.0,True,10.0,7.0,198.0,74.0,8.0,103.0,6.0,19.0,78.0,88.0,16.0,187.0
112,C384-334,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL3717,True,11.0,86.0,41.0,71.0,114.0,39.0,141.0,99.0,145.0,31.0,True,9.0,65.0,25.0,55.0,87.0,179.0,37.0,119.0,68.0,108.0,29.0,461.0
113,C384-335,relebactam,MMP8 — Neutrophil collagenase,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL4588,True,11.0,66.0,3.0,2.0,82.0,212.0,203.0,176.0,21.0,328.0,False,,,,,,,,,,,,
114,C384-046,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL1824,True,12.0,256.0,213.0,298.0,363.0,35.0,636.0,158.0,464.0,316.0,False,,,,,,,,,,,,
115,C384-047,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL4142,True,12.0,296.0,65.0,56.0,179.0,105.0,445.0,129.0,299.0,421.0,True,11.0,190.0,39.0,36.0,133.0,14.0,90.0,353.0,92.0,221.0,332.0,48.0
116,C384-048,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,DHSUYTOATWAVLW-WFVMDLQDSA-N,CHEMBL235,True,12.0,185.0,96.0,207.0,212.0,192.0,306.0,415.0,324.0,415.0,True,11.0,131.0,72.0,153.0,146.0,214.0,149.0,227.0,312.0,243.0,322.0,329.0
117,C384-142,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,DJXRIQMCROIRCZ-XOEOCAAJSA-N,CHEMBL1994,True,12.0,254.0,143.0,13.0,167.0,163.0,551.0,290.0,267.0,182.0,True,9.0,161.0,98.0,6.0,122.0,176.0,133.0,412.0,206.0,209.0,147.0,391.0
118,C384-143,palbociclib,REN — Renin,仍可探索,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,AHJRHEGDXFFMBM-UHFFFAOYSA-N,CHEMBL286,True,12.0,302.0,107.0,47.0,337.0,4.0,639.0,271.0,201.0,143.0,True,10.0,228.0,77.0,32.0,238.0,230.0,3.0,494.0,202.0,150.0,120.0,424.0
119,C384-230,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,FELGMEQIXOGIFQ-UHFFFAOYSA-N,CHEMBL2243,True,12.0,182.0,47.0,70.0,81.0,163.0,381.0,333.0,131.0,217.0,True,7.0,124.0,27.0,44.0,58.0,1.0,138.0,293.0,262.0,101.0,182.0,11.0
120,C384-232,glimepiride,REN — Renin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL286,True,12.0,102.0,35.0,125.0,78.0,166.0,390.0,31.0,142.0,153.0,True,9.0,77.0,23.0,81.0,57.0,114.0,135.0,293.0,24.0,108.0,129.0,111.0
121,C384-170,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CHEMBL4247,True,12.0,360.0,271.0,93.0,319.0,110.0,629.0,543.0,248.0,410.0,False,,,,,,,,,,,,
122,C384-293,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,ZISJNXNHJRQYJO-CMDGGOBGSA-N,CHEMBL215,True,12.0,5.0,341.0,30.0,25.0,160.0,17.0,516.0,151.0,210.0,True,7.0,4.0,248.0,23.0,17.0,22.0,127.0,15.0,398.0,120.0,173.0,18.0
123,C384-294,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,CMHHMUWAYWTMGS-UHFFFAOYSA-N,CHEMBL202,True,12.0,98.0,231.0,52.0,66.0,258.0,515.0,170.0,550.0,589.0,True,7.0,67.0,158.0,38.0,46.0,145.0,208.0,392.0,121.0,411.0,451.0,265.0
124,C384-295,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL3535,True,12.0,243.0,118.0,376.0,65.0,252.0,576.0,533.0,695.0,543.0,True,11.0,158.0,77.0,262.0,48.0,105.0,202.0,444.0,405.0,527.0,414.0,291.0
125,C384-336,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,MKXZASYAUGDDCJ-NJAFHUGGSA-N,CHEMBL2252,True,12.0,127.0,88.0,115.0,9.0,206.0,387.0,377.0,433.0,380.0,False,,,,,,,,,,,,
126,C384-337,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL202,True,12.0,84.0,94.0,120.0,173.0,267.0,512.0,637.0,706.0,555.0,True,11.0,71.0,72.0,84.0,121.0,209.0,217.0,389.0,484.0,535.0,427.0,383.0
127,C384-338,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,CHEMBL2148,True,12.0,280.0,13.0,168.0,252.0,96.0,423.0,192.0,317.0,182.0,False,,,,,,,,,,,,
128,C384-364,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL288,True,12.0,85.0,51.0,202.0,166.0,57.0,431.0,221.0,266.0,209.0,True,8.0,63.0,41.0,146.0,119.0,46.0,48.0,331.0,171.0,210.0,174.0,22.0
129,C384-383,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,WIJZXSAJMHAVGX-DHLKQENFSA-N,CHEMBL262,True,12.0,332.0,251.0,375.0,169.0,28.0,233.0,297.0,197.0,160.0,True,7.0,228.0,169.0,262.0,110.0,53.0,25.0,192.0,220.0,151.0,134.0,323.0
130,C384-049,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL3439,True,13.0,26.0,38.0,216.0,222.0,33.0,173.0,257.0,369.0,700.0,True,6.0,21.0,23.0,149.0,153.0,213.0,21.0,132.0,193.0,268.0,535.0,374.0
131,C384-051,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,RUOKEQAAGRXIBM-GFCCVEGCSA-N,CHEMBL2179,True,13.0,18.0,142.0,46.0,90.0,4.0,19.0,301.0,284.0,410.0,True,12.0,17.0,85.0,33.0,64.0,8.0,4.0,16.0,224.0,213.0,326.0,124.0
132,C384-145,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL4791,True,13.0,205.0,116.0,110.0,6.0,8.0,308.0,270.0,162.0,229.0,True,11.0,137.0,78.0,74.0,3.0,65.0,6.0,230.0,206.0,112.0,179.0,76.0
133,C384-234,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,CPZBLNMUGSZIPR-NVXWUHKLSA-N,CHEMBL1902,True,13.0,227.0,134.0,100.0,183.0,27.0,539.0,112.0,102.0,443.0,True,10.0,155.0,82.0,73.0,132.0,2.0,19.0,410.0,81.0,85.0,345.0,29.0
