ligand_inchikey,drug_names,drug_feature_index,target_chembl_id,gene_symbol,target_feature_index,dtiam_probability,dtiam_validation_calibrated_probability,dtiam_model_version,dtiam_drug_rank,dtiam_target_rank
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL2000,KLKB1,89,0.77542454,0.7018748453061309,dtiam_a_kdki_inactive_20260917,6,249
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL286,REN,195,0.76080054,0.6869185493688342,dtiam_a_kdki_inactive_20260917,7,256
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL3026,GABRA3,210,0.8727124,0.8092290743580028,dtiam_a_kdki_inactive_20260917,3,527
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL3242,CA12,231,0.74805963,0.6740839423889625,dtiam_a_kdki_inactive_20260917,9,527
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL3776,CASP8,268,0.7560098,0.6820719262416797,dtiam_a_kdki_inactive_20260917,8,229
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL4409,PDE10A,318,0.74786144,0.6738856717185603,dtiam_a_kdki_inactive_20260917,10,484
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,86,CHEMBL4956,GABRA2,349,0.8816752,0.820014994210009,dtiam_a_kdki_inactive_20260917,2,583
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL1871,AR,41,0.79346156,0.7206807101282906,dtiam_a_kdki_inactive_20260917,6,312
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL1944,MME,67,0.7460588,0.6720841549192759,dtiam_a_kdki_inactive_20260917,8,357
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL1978,CYP19A1,80,0.79861087,0.7261275341752411,dtiam_a_kdki_inactive_20260917,5,379
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL2326,CA7,141,0.94154406,0.898264350117486,dtiam_a_kdki_inactive_20260917,2,188
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL2409,EPHX2,153,0.7450483,0.6710757136112566,dtiam_a_kdki_inactive_20260917,9,299
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL280,MMP13,185,0.8550269,0.788477195292869,dtiam_a_kdki_inactive_20260917,3,355
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL284,DPP4,192,0.7168749,0.6433661798668582,dtiam_a_kdki_inactive_20260917,10,311
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL3242,CA12,231,0.94755363,0.9069254465223665,dtiam_a_kdki_inactive_20260917,1,221
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL4588,MMP8,329,0.75137836,0.6774102413322753,dtiam_a_kdki_inactive_20260917,7,346
DBABZHXKTCFAPX-UHFFFAOYSA-N,probenecid,87,CHEMBL5705,EGLN3,374,0.84354866,0.7753497480134206,dtiam_a_kdki_inactive_20260917,4,251
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL1871,AR,41,0.9692229,0.9401143913995347,dtiam_a_kdki_inactive_20260917,6,55
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL1962,GABRA1,72,0.97329056,0.9467899132381344,dtiam_a_kdki_inactive_20260917,4,307
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL1978,CYP19A1,80,0.97080195,0.9426849534511711,dtiam_a_kdki_inactive_20260917,5,89
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL1994,NR3C2,86,0.97746015,0.9538311632415679,dtiam_a_kdki_inactive_20260917,2,53
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL2034,NR3C1,100,0.958892,0.9238569800753748,dtiam_a_kdki_inactive_20260917,10,126
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL2326,CA7,141,0.9681437,0.9383718707778871,dtiam_a_kdki_inactive_20260917,7,101
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL280,MMP13,185,0.9599604,0.9254977656584608,dtiam_a_kdki_inactive_20260917,9,184
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL2954,CTSS,199,0.9757263,0.9508766444007379,dtiam_a_kdki_inactive_20260917,3,31
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL3026,GABRA3,210,0.9673982,0.937174744105108,dtiam_a_kdki_inactive_20260917,8,310
DBEPLOCGEIEOCV-WSBQPABSSA-N,finasteride,88,CHEMBL4956,GABRA2,349,0.9851164,0.9674252726891178,dtiam_a_kdki_inactive_20260917,1,309
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL1871,AR,41,0.8442733,0.7761711569010656,dtiam_a_kdki_inactive_20260917,4,260
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL222,SLC6A2,130,0.8734826,0.8101484772209966,dtiam_a_kdki_inactive_20260917,2,84
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL228,SLC6A4,134,0.80805695,0.7362153194777652,dtiam_a_kdki_inactive_20260917,8,127
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL2337,SLC6A9,146,0.86430246,0.7992772382814659,dtiam_a_kdki_inactive_20260917,3,189
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL238,SLC6A3,150,0.7730943,0.6994748398514732,dtiam_a_kdki_inactive_20260917,10,115
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL3192,HDAC8,226,0.8141291,0.7427682958997854,dtiam_a_kdki_inactive_20260917,7,174
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL3242,CA12,231,0.79000247,0.7170417515490222,dtiam_a_kdki_inactive_20260917,9,484
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL3729,CA4,267,0.82600373,0.7557466233508252,dtiam_a_kdki_inactive_20260917,6,288
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL4296,SCN9A,311,0.8263638,0.7561436738334412,dtiam_a_kdki_inactive_20260917,5,353
DBGIVFWFUFKIQN-UHFFFAOYSA-N,fenfluramine,89,CHEMBL4956,GABRA2,349,0.9290571,0.8808449903855339,dtiam_a_kdki_inactive_20260917,1,530
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL1893,SLC18A2,46,0.9614401,0.9277845143801603,dtiam_a_kdki_inactive_20260917,5,140
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL1903,SLC6A1,50,0.9387257,0.894268024338009,dtiam_a_kdki_inactive_20260917,8,39
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL1919,CACNA2D1,59,0.9555942,0.9188447363782875,dtiam_a_kdki_inactive_20260917,6,226
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL1978,CYP19A1,80,0.9342611,0.8880166626280924,dtiam_a_kdki_inactive_20260917,10,195
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL222,SLC6A2,130,0.96422976,0.932143313863513,dtiam_a_kdki_inactive_20260917,4,36
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL2243,FAAH,131,0.93582755,0.8901992953030996,dtiam_a_kdki_inactive_20260917,9,52
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL228,SLC6A4,134,0.9722752,0.9451068434604001,dtiam_a_kdki_inactive_20260917,2,37
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL2337,SLC6A9,146,0.97357154,0.9472577333501014,dtiam_a_kdki_inactive_20260917,1,62
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL4296,SCN9A,311,0.9714309,0.9437160340436299,dtiam_a_kdki_inactive_20260917,3,121
DCCSDBARQIPTGU-HSZRJFAPSA-N,fesoterodine,90,CHEMBL4956,GABRA2,349,0.9497219,0.9101002821269808,dtiam_a_kdki_inactive_20260917,7,498
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL1944,MME,67,0.77529895,0.7017453317854959,dtiam_a_kdki_inactive_20260917,7,316
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL1978,CYP19A1,80,0.7708239,0.6971427095055898,dtiam_a_kdki_inactive_20260917,8,413
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL2039,MAOB,101,0.77080345,0.6971217369992103,dtiam_a_kdki_inactive_20260917,9,76
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL2148,JAK3,120,0.86817783,0.8038436071120522,dtiam_a_kdki_inactive_20260917,3,171
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL3026,GABRA3,210,0.75157183,0.6776045194678755,dtiam_a_kdki_inactive_20260917,10,630
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL3553,TYK2,252,0.87479043,0.8117128113598497,dtiam_a_kdki_inactive_20260917,2,83
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL4235,HSD11B1,306,0.95498866,0.9179326639545439,dtiam_a_kdki_inactive_20260917,1,130
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL4794,TRPV1,340,0.8213088,0.7505887272041266,dtiam_a_kdki_inactive_20260917,5,226
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL4956,GABRA2,349,0.84114563,0.7726328407526497,dtiam_a_kdki_inactive_20260917,4,618
DCOPUUMXTXDBNB-UHFFFAOYSA-N,diclofenac,91,CHEMBL5705,EGLN3,374,0.77935237,0.7059351768309537,dtiam_a_kdki_inactive_20260917,6,325
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL1919,CACNA2D1,59,0.9700781,0.9415034406008322,dtiam_a_kdki_inactive_20260917,5,157
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL1962,GABRA1,72,0.99339175,0.9836200317603557,dtiam_a_kdki_inactive_20260917,2,61
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL1997,SLC29A1,87,0.9399885,0.896053666037866,dtiam_a_kdki_inactive_20260917,10,195
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL2034,NR3C1,100,0.9626743,0.9297051205660227,dtiam_a_kdki_inactive_20260917,6,114
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL2337,SLC6A9,146,0.95031697,0.9109765431105101,dtiam_a_kdki_inactive_20260917,8,111
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL3026,GABRA3,210,0.9909865,0.9786824708772567,dtiam_a_kdki_inactive_20260917,3,79
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL3242,CA12,231,0.9454534,0.9038760597139742,dtiam_a_kdki_inactive_20260917,9,229
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL4296,SCN9A,311,0.9545366,0.9172533868104196,dtiam_a_kdki_inactive_20260917,7,178
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL4409,PDE10A,318,0.98730034,0.9715073272915559,dtiam_a_kdki_inactive_20260917,4,55
DDFOUSQFMYRUQK-RCDICMHDSA-N,isavuconazonium,92,CHEMBL4956,GABRA2,349,0.99549323,0.9881733658493965,dtiam_a_kdki_inactive_20260917,1,52
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL1919,CACNA2D1,59,0.9779562,0.9546838501776079,dtiam_a_kdki_inactive_20260917,6,102
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL1962,GABRA1,72,0.99153334,0.9797842032382803,dtiam_a_kdki_inactive_20260917,3,87
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL1972,GRIN2A,76,0.96717614,0.9368191160747525,dtiam_a_kdki_inactive_20260917,10,28
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL2000,KLKB1,89,0.9762095,0.9516961002272369,dtiam_a_kdki_inactive_20260917,7,37
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL2337,SLC6A9,146,0.97191405,0.944510981733333,dtiam_a_kdki_inactive_20260917,8,69
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL3026,GABRA3,210,0.9925114,0.981784072082352,dtiam_a_kdki_inactive_20260917,2,56
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL4235,HSD11B1,306,0.97986966,0.9580062410662348,dtiam_a_kdki_inactive_20260917,5,30
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL4296,SCN9A,311,0.98410225,0.9655649358144496,dtiam_a_kdki_inactive_20260917,4,35
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL4794,TRPV1,340,0.9699948,0.9413677729614657,dtiam_a_kdki_inactive_20260917,9,42
DDLIGBOFAVUZHB-UHFFFAOYSA-N,midazolam,93,CHEMBL4956,GABRA2,349,0.9941794,0.9852956435634155,dtiam_a_kdki_inactive_20260917,1,92
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL1919,CACNA2D1,59,0.987445,0.9717817051061336,dtiam_a_kdki_inactive_20260917,7,37
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL1962,GABRA1,72,0.9940056,0.9849230009111777,dtiam_a_kdki_inactive_20260917,2,40
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL1994,NR3C2,86,0.9819914,0.9617565114739107,dtiam_a_kdki_inactive_20260917,10,40
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL280,MMP13,185,0.98770916,0.9722841219511683,dtiam_a_kdki_inactive_20260917,6,26
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL2954,CTSS,199,0.9836242,0.9646951830520663,dtiam_a_kdki_inactive_20260917,9,11
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL3026,GABRA3,210,0.99412,0.9851680413437328,dtiam_a_kdki_inactive_20260917,1,32
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL3706,ADAM17,263,0.9894809,0.9757025901051851,dtiam_a_kdki_inactive_20260917,5,2
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL4409,PDE10A,318,0.99382716,0.9845421458186299,dtiam_a_kdki_inactive_20260917,4,9
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL4822,BACE1,343,0.98367965,0.9647958133453397,dtiam_a_kdki_inactive_20260917,8,29
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,94,CHEMBL4956,GABRA2,349,0.9939344,0.9847707794773525,dtiam_a_kdki_inactive_20260917,3,99
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL1827,PDE5A,26,0.94070756,0.8970740399775649,dtiam_a_kdki_inactive_20260917,8,109
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL1919,CACNA2D1,59,0.9755969,0.9506577049412311,dtiam_a_kdki_inactive_20260917,5,120
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL1962,GABRA1,72,0.9885161,0.9738301566522958,dtiam_a_kdki_inactive_20260917,3,149
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL1997,SLC29A1,87,0.94355476,0.9011404221825108,dtiam_a_kdki_inactive_20260917,7,185
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL280,MMP13,185,0.9269475,0.8779708502207247,dtiam_a_kdki_inactive_20260917,9,264
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL3026,GABRA3,210,0.9904321,0.977576351649768,dtiam_a_kdki_inactive_20260917,2,96
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL3119,TRPV4,221,0.92617023,0.8769165908560246,dtiam_a_kdki_inactive_20260917,10,119
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL4409,PDE10A,318,0.9766659,0.9524728458246603,dtiam_a_kdki_inactive_20260917,4,126
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL4794,TRPV1,340,0.96492493,0.9332396175094909,dtiam_a_kdki_inactive_20260917,6,54
DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,95,CHEMBL4956,GABRA2,349,0.99469364,0.9864085383019912,dtiam_a_kdki_inactive_20260917,1,75
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL1829,HDAC3,27,0.47505602,0.4272476201232846,dtiam_a_kdki_inactive_20260917,2,583
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL1847,GABRB3,34,0.3313439,0.30788776976700605,dtiam_a_kdki_inactive_20260917,8,669
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL1937,HDAC2,65,0.37177256,0.34126364804684944,dtiam_a_kdki_inactive_20260917,5,630
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL1972,GRIN2A,76,0.34612048,0.3200844108250203,dtiam_a_kdki_inactive_20260917,6,627
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL2973,ROCK2,203,0.5377483,0.4806264446366545,dtiam_a_kdki_inactive_20260917,1,278
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL3192,HDAC8,226,0.28572017,0.2701582941157347,dtiam_a_kdki_inactive_20260917,10,640
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL3201,AHR,227,0.32639053,0.30379823485322993,dtiam_a_kdki_inactive_20260917,9,611
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL3242,CA12,231,0.40205172,0.36631359405447295,dtiam_a_kdki_inactive_20260917,4,687
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL3729,CA4,267,0.4195112,0.3808026241172097,dtiam_a_kdki_inactive_20260917,3,638
DHHVAGZRUROJKS-UHFFFAOYSA-N,phentermine,96,CHEMBL4956,GABRA2,349,0.34107697,0.315921735264559,dtiam_a_kdki_inactive_20260917,7,720
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL1893,SLC18A2,46,0.9806471,0.9593718930022076,dtiam_a_kdki_inactive_20260917,9,48
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL1962,GABRA1,72,0.99121106,0.9791335182592047,dtiam_a_kdki_inactive_20260917,2,92
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL1978,CYP19A1,80,0.9809194,0.9598525577493867,dtiam_a_kdki_inactive_20260917,8,46
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL1994,NR3C2,86,0.9805539,0.959207737393109,dtiam_a_kdki_inactive_20260917,10,44
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL280,MMP13,185,0.9889969,0.9747599240425916,dtiam_a_kdki_inactive_20260917,5,12
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL3026,GABRA3,210,0.9907983,0.9783057424258202,dtiam_a_kdki_inactive_20260917,3,86
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL4235,HSD11B1,306,0.982372,0.9624371680567431,dtiam_a_kdki_inactive_20260917,7,20
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL4393,MMP12,317,0.98303956,0.9636373387228734,dtiam_a_kdki_inactive_20260917,6,10
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL4409,PDE10A,318,0.98908114,0.9749234633316648,dtiam_a_kdki_inactive_20260917,4,37
DHMTURDWPRKSOA-RUZDIDTESA-N,lonafarnib,97,CHEMBL4956,GABRA2,349,0.9930912,0.9829891788700937,dtiam_a_kdki_inactive_20260917,1,122
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL1861,HPD,37,0.8756239,0.812711806052096,dtiam_a_kdki_inactive_20260917,10,241
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL1919,CACNA2D1,59,0.90146196,0.8445608083071535,dtiam_a_kdki_inactive_20260917,6,347
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL1937,HDAC2,65,0.885256,0.8243792497622205,dtiam_a_kdki_inactive_20260917,8,124
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL1944,MME,67,0.89726037,0.839257408177067,dtiam_a_kdki_inactive_20260917,7,182
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL1962,GABRA1,72,0.96382016,0.9314992891200491,dtiam_a_kdki_inactive_20260917,2,360
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL280,MMP13,185,0.9067808,0.8513511971408911,dtiam_a_kdki_inactive_20260917,5,290
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL2954,CTSS,199,0.9085929,0.8536850620867822,dtiam_a_kdki_inactive_20260917,4,134
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL3026,GABRA3,210,0.9372909,0.892248655089839,dtiam_a_kdki_inactive_20260917,3,418
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL325,HDAC1,232,0.8819976,0.8204066102516869,dtiam_a_kdki_inactive_20260917,9,100
DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,98,CHEMBL4956,GABRA2,349,0.97959644,0.9575285086860296,dtiam_a_kdki_inactive_20260917,1,364
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL1962,GABRA1,72,0.9355352,0.8897910699445054,dtiam_a_kdki_inactive_20260917,2,440
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL1972,GRIN2A,76,0.83807576,0.7691771500093363,dtiam_a_kdki_inactive_20260917,8,298
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL1997,SLC29A1,87,0.87150323,0.807788475480316,dtiam_a_kdki_inactive_20260917,6,312
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL2148,JAK3,120,0.8239491,0.7534850218087533,dtiam_a_kdki_inactive_20260917,10,214
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL2971,JAK2,202,0.87066513,0.8067919003977692,dtiam_a_kdki_inactive_20260917,7,131
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL3026,GABRA3,210,0.9157825,0.8630527144061133,dtiam_a_kdki_inactive_20260917,4,461
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL3105,PARP1,217,0.8911644,0.8316530692260895,dtiam_a_kdki_inactive_20260917,5,165
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL4235,HSD11B1,306,0.9178095,0.8657262614828762,dtiam_a_kdki_inactive_20260917,3,233
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL4296,SCN9A,311,0.83486974,0.7655860297812423,dtiam_a_kdki_inactive_20260917,9,346
DIWRORZWFLOCLC-UHFFFAOYSA-N,lorazepam,99,CHEMBL4956,GABRA2,349,0.94019127,0.8963411428953107,dtiam_a_kdki_inactive_20260917,1,515
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL1827,PDE5A,26,0.9642539,0.9321813137652896,dtiam_a_kdki_inactive_20260917,8,58
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL1919,CACNA2D1,59,0.97573185,0.9508860279339745,dtiam_a_kdki_inactive_20260917,4,118
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL1962,GABRA1,72,0.98935926,0.9754649878889279,dtiam_a_kdki_inactive_20260917,3,125
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL1978,CYP19A1,80,0.96981597,0.9410768794103233,dtiam_a_kdki_inactive_20260917,7,95
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL1994,NR3C2,86,0.97141343,0.9436873469540474,dtiam_a_kdki_inactive_20260917,6,89
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL2034,NR3C1,100,0.9537351,0.9160523194550206,dtiam_a_kdki_inactive_20260917,10,138
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL3026,GABRA3,210,0.989831,0.9763888306768378,dtiam_a_kdki_inactive_20260917,2,112
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL4296,SCN9A,311,0.9729828,0.9462785748039335,dtiam_a_kdki_inactive_20260917,5,111
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL4409,PDE10A,318,0.9592666,0.9244313128128708,dtiam_a_kdki_inactive_20260917,9,209
DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,100,CHEMBL4956,GABRA2,349,0.9945426,0.9860799752723888,dtiam_a_kdki_inactive_20260917,1,80
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL1829,HDAC3,27,0.77680117,0.703295769085938,dtiam_a_kdki_inactive_20260917,9,243
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL1871,AR,41,0.84443593,0.7763555970910365,dtiam_a_kdki_inactive_20260917,4,258
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL1937,HDAC2,65,0.9028877,0.8463724297229634,dtiam_a_kdki_inactive_20260917,1,98
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL208,PGR,116,0.7637547,0.68991996366821,dtiam_a_kdki_inactive_20260917,10,306
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL3026,GABRA3,210,0.78401804,0.7107830664657185,dtiam_a_kdki_inactive_20260917,8,608
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL3192,HDAC8,226,0.8368386,0.7677892537956005,dtiam_a_kdki_inactive_20260917,5,150
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,101,CHEMBL3242,CA12,231,0.81979954,0.7489381256254661,dtiam_a_kdki_inactive_20260917,6,449
