drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1200530,Cefoxitin Sodium,CHEMBL1200530,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,Infectious Disease,Injection,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200561,Doxazosin Mesylate,CHEMBL1200561,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200588,Clindamycin Phosphate,CHEMBL1200588,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,Infectious Disease,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200618,Fexofenadine Hydrochloride,CHEMBL1200618,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200622,Paricalcitol,CHEMBL1200622,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,Endocrinology/Metabolic,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200636,Cyclobenzaprine Hydrochloride,CHEMBL1200636,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200645,Etoposide,CHEMBL1200645,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200648,Rocuronium Bromide,CHEMBL1200648,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,Neurology/Psychiatry,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200654,Benoxinate Hydrochloride,CHEMBL1200654,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,Other,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200659,Enalapril Maleate,CHEMBL1200659,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200666,Calcipotriene,CHEMBL1200666,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Immunology/Inflammation,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200678,Atazanavir Sulfate,CHEMBL1200678,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200682,Sodium Oxybate,CHEMBL1200682,O=C(O)CCCO,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200735,Moxifloxacin Hydrochloride,CHEMBL1200735,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Infectious Disease,Ophthalmic,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200748,Carbidopa,CHEMBL1200748,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200760,Balsalazide Disodium,CHEMBL1200760,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200781,Citalopram Hydrobromide,CHEMBL1200781,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Neurology/Psychiatry,Orally Disintegrating,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200791,Oxymetazoline Hydrochloride,CHEMBL1200791,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,Immunology/Inflammation,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1200794,Oxymorphone Hydrochloride,CHEMBL1200794,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,Neurology/Psychiatry,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
