directory,allocated_GiB,files,candidate_GiB,website_literal_reference,decision
outputs/biomaster_odti_bindingdb_entity_cold_feature_queue_v1,1.52587890625e-05,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_gtopdb_entity_cold_gap_v1,1.52587890625e-05,4,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_odti_w1_v3_bridge_v1,1.52587890625e-05,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e2_thermoprot_audit_v1,1.52587890625e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_w1_v3_training_preflight_v1,1.52587890625e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_weight_inventory_v1,1.52587890625e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_pretrained_formal_audit_v1,1.52587890625e-05,3,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/sota_validation,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_entity_cold_gap_audit_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_v2_evidence_matrix_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_bindingdb_entity_cold_gap_audit_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_v3_data_contract_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_drugclip_audit_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e2_external_weight_contract_v1,1.1444091796875e-05,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_external_entity_cold_landscape_v1,7.62939453125e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e1_gate_audit_20260817,7.62939453125e-06,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_w1_v3_semantic_input_v1,7.62939453125e-06,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e2_feature_readiness_v1,7.62939453125e-06,2,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/odti_e1_continuation_20260817,3.814697265625e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/odti_e0_continuation_20260817,3.814697265625e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/odti_post_e0_continuation_20260817,3.814697265625e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_external_evaluation_freeze_audit_20260817,3.814697265625e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_live_status_v1,3.814697265625e-06,1,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
