drug_id,name,smiles,native_feature_index,gene_symbol,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank
KBOPZPXVLCULAV-UHFFFAOYSA-N,balsalazide;mesalamine,Nc1ccc(O)c(C(=O)O)c1,255247,HGF,1.4777558,0.18475325,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_refined_,0.10994671,378,288,41,504,481,344,0,448,340
VGKDLMBJGBXTGI-SJCJKPOMSA-N,sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,108075,HGF,1.4767559,0.31463024,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.09329874,155,387,329,422,352,328,0,182,341
MCIACXAZCBVDEE-CUUWFGFTSA-N,ertugliflozin,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,74541,HGF,1.4727572,0.25947544,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_1_0_complex_refined_,0.11447571,349,232,205,619,280,213,0,289,342
GZUITABIAKMVPG-UHFFFAOYSA-N,raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,288006,HGF,1.4700605,0.25900987,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_1_0_complex_refined_,0.09083506,386,396,207,511,299,205,0,290,343
UFSKUSARDNFIRC-UHFFFAOYSA-N,lumacaftor,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,196977,HGF,1.469708,0.24085025,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_0_complex_refined_,0.06926932,258,287,288,321,361,400,0,328,344
SUBDBMMJDZJVOS-UHFFFAOYSA-N,omeprazole,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,148609,HGF,1.468524,0.28655007,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_refined_,0.064317875,295,557,399,202,395,333,0,233,345
WEQLWGNDNRARGE-DJIMGWMZSA-N,valbenazine,COc1cc2c(cc1OC)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2,135433,HGF,1.4590127,0.31126276,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.12491238,445,517,388,418,145,280,0,184,346
OGHNVEJMJSYVRP-UHFFFAOYSA-N,carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,156322,HGF,1.4554137,0.2768003,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_,0.09320299,210,320,126,555,285,195,0,253,347
UCTWMZQNUQWSLP-VIFPVBQESA-N,epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,107114,HGF,1.4552739,0.31055316,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.043644473,179,273,117,359,435,363,0,187,348
AQOKCDNYWBIDND-FTOWTWDKSA-N,bimatoprost,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,66474,HGF,1.4503478,0.23934573,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_0_complex_,0.120661706,465,110,322,134,413,246,0,332,349
OFCNXPDARWKPPY-UHFFFAOYSA-N,allopurinol,O=c1nc[nH]c2[nH]ncc12,302101,HGF,1.4481276,0.13143186,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_refined_,0.07025662,561,354,443,89,621,397,0,571,350
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,176142,HGF,1.4427267,0.1786503,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.07801136,325,337,305,93,381,396,0,461,351
KRNAOFGYEFKHPB-ANJVHQHFSA-N,rimegepant,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,252637,HGF,1.4386079,0.20536892,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_0_complex_refined_,0.14297327,184,535,555,344,68,597,0,407,352
YREYEVIYCVEVJK-UHFFFAOYSA-N,rabeprazole,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,117015,HGF,1.4336375,0.2770499,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_3_complex_,0.13750148,277,239,363,92,235,513,0,252,353
BTCRKOKVYTVOLU-SJSRKZJXSA-N,bexagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,303979,HGF,1.4325377,0.23011887,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_1_0_complex_,0.11581637,382,186,269,540,362,322,0,349,354
HNPFPERDNWXAGS-NFVOFSAMSA-N,latanoprost,O=C(O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,282315,HGF,1.43094,0.24019401,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.08757739,480,170,519,307,263,251,0,330,355
FJZZPCZKBUKGGU-AUSIDOKSSA-N,eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,54066,HGF,1.4251752,0.30484068,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.1261679,666,412,268,326,326,156,0,194,356
PDWUPXJEEYOOTR-UHFFFAOYSA-N,3-iodobenzylguanidine,N=C(N)NCc1cccc(I)c1,240082,HGF,1.4221901,0.3042741,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.15853925,18,565,298,468,411,114,1,196,357
ZPUCINDJVBIVPJ-LJISPDSOSA-N,cocaine,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,113146,HGF,1.4215846,0.3041592,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_4_complex_,0.08499086,338,530,418,197,456,463,0,197,358
ZKLPARSLTMPFCP-UHFFFAOYSA-N,cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,283312,HGF,1.4190094,0.25019622,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_1_0_complex_refined_,0.09085225,320,416,213,166,344,121,0,306,359
OIGNJSKKLXVSLS-VWUMJDOOSA-N,prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,176152,HGF,1.4183857,0.15219866,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.07037381,428,437,271,122,477,439,0,517,360
KJADKKWYZYXHBB-XBWDGYHZSA-N,topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,44860,HGF,1.4160293,0.1796156,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_2_complex_refined_,0.15751165,454,102,262,206,583,567,0,460,361
ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,vamorolone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,169093,HGF,1.4144696,0.1517485,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-P14210-F1-model_v4_1_0_1_complex_,0.07248204,442,423,424,103,376,450,0,518,362
