drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,drugclip_dtwg_rank
IOOWNWLVCOUUEX-WPRPVWTQSA-N,vaborbactam,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,283467,HGF,-9.690942,-10.276415,189,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.28995097,401,1.4928972,0.22274798,HGF_P2RANK_1,0.121611826,177,34,321,66,224,68,0,147,136,P2RANK,0,393
OZGNYLLQHRPOBR-DHZHZOJOSA-N,naftifine,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,92993,HGF,-9.880885,-10.284604,190,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13637412,607,1.0290672,0.18987322,HGF_P2RANK_2,0.081847645,291,145,263,311,190,204,0,181,239,P2RANK,0,186
PHXJVRSECIGDHY-UHFFFAOYSA-N,ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,194505,HGF,-13.998063,-10.288001,191,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7902798,64,0.98827535,0.13646942,HGF_P2RANK_1,0.12798263,172,529,150,460,220,189,0,267,247,P2RANK,0,40
BMPDWHIDQYTSHX-AWEZNQCLSA-N,eslicarbazepine,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,241671,HGF,-8.983751,-10.334717,192,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.08618138,691,-1.156161,-0.18763514,HGF_P2RANK_1,0.104426526,718,683,689,691,658,575,0,701,707,P2RANK,0,699
KXNPVXPOPUZYGB-IOVMHBDKSA-N,argatroban,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,48655,HGF,-16.197561,-10.33831,193,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.61081153,142,1.1206567,0.15910356,HGF_P2RANK_1,0.1348246,458,146,358,245,214,34,0,226,211,P2RANK,0,289
HWXVIOGONBBTBY-ONEGZZNKSA-N,pacritinib,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,3427,HGF,-12.487468,-10.385918,194,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7517457,85,0.753855,0.09638903,HGF_P2RANK_1,0.11843051,138,347,327,635,277,374,0,328,307,P2RANK,0,216
NNACHAUCXXVJSP-UHFFFAOYSA-N,pitolisant,Clc1ccc(CCCOCCCN2CCCCC2)cc1,218053,HGF,-9.842148,-10.388995,195,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1865432,520,2.016638,0.33549795,HGF_P2RANK_3,0.05441004,143,85,46,67,222,41,0,58,58,P2RANK,0,119
LOUPRKONTZGTKE-LHHVKLHASA-N,quinidine,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,12403,HGF,-9.052738,-10.402802,196,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.47049278,239,0.8977187,0.16654567,HGF_P2RANK_2,0.060778033,405,227,356,180,171,272,0,215,267,P2RANK,0,438
BMEARIQHWSVDBS-SNVBAGLBSA-N,cipepofol,CC(C)c1cccc([C@H](C)C2CC2)c1O,38137,HGF,-9.333221,-10.418493,197,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.25896573,433,1.3535932,0.1815573,HGF_P2RANK_3,0.12654729,163,430,82,130,105,422,0,193,159,P2RANK,0,147
FJHBVJOVLFPMQE-QFIPXVFZSA-N,irinotecan,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,80099,HGF,-11.241021,-10.454337,198,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.21581477,483,0.79013926,0.10259279,HGF_P2RANK_1,0.08647861,184,161,510,307,164,212,0,318,299,P2RANK,0,495
RMMXLENWKUUMAY-UHFFFAOYSA-N,telmisartan,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,62047,HGF,-9.222332,-10.46409,199,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3090651,385,-0.32859445,-0.08868454,HGF_P2RANK_1,0.08957935,341,630,659,664,508,435,0,621,594,P2RANK,0,437
GXJABQQUPOEUTA-RDJZCZTQSA-N,bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,32040,HGF,-12.778677,-10.467894,200,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4126225,293,-0.01459535,-0.034998026,HGF_P2RANK_1,0.064810455,606,332,501,577,466,484,0,550,522,P2RANK,0,517
YIQPUIGJQJDJOS-UHFFFAOYSA-N,plerixafor,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,307168,HGF,-9.739364,-10.475955,201,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.65376216,117,2.1501539,0.3889787,HGF_P2RANK_2,0.075621836,56,68,34,32,79,105,0,33,48,P2RANK,0,160
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,losartan,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,58478,HGF,-9.197929,-10.638575,202,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.58847517,158,-0.4159287,-0.07744414,HGF_P2RANK_3,0.10514175,511,586,696,567,525,405,0,603,612,P2RANK,0,75
GFHAXPJGXSQLPT-VIFPVBQESA-N,cenobamate,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,241850,HGF,-9.480272,-10.64222,203,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.24355008,450,-0.48270956,-0.087218724,HGF_P2RANK_3,0.083564006,524,653,631,490,588,598,0,615,626,P2RANK,0,671
QEFAQIPZVLVERP-UHFFFAOYSA-N,nepafenac,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,241522,HGF,-9.614819,-10.642242,204,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11429768,643,0.5220688,0.078577645,HGF_P2RANK_3,0.06682272,204,419,298,534,435,226,0,366,374,P2RANK,0,32
USZAGAREISWJDP-UHFFFAOYSA-N,crisaborole,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,237107,HGF,-10.855099,-10.646074,205,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14788838,589,2.0081868,0.3040944,HGF_P2RANK_3,0.07384429,37,79,27,164,142,95,0,72,62,P2RANK,0,30
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,169906,HGF,-9.977254,-10.686616,206,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.78741735,66,-0.47853577,-0.11432099,HGF_P2RANK_1,0.08059134,601,670,651,659,518,614,0,652,623,P2RANK,0,9
YIMYDTCOUQIDMT-SNAWJCMRSA-N,diroximel fumarate,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,109952,HGF,-10.059613,-10.713281,207,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.094038606,680,2.5911076,0.36268985,HGF_P2RANK_3,0.06767785,10,13,80,30,15,27,3,43,19,P2RANK,1,236
TTZHDVOVKQGIBA-IQWMDFIBSA-N,sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,34787,HGF,-10.26016,-10.721813,208,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.49120995,223,0.1999801,0.0016893633,HGF_P2RANK_1,0.04151988,550,310,541,411,316,580,0,489,466,P2RANK,0,420
UREBDLICKHMUKA-CXSFZGCWSA-N,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,169098,HGF,-15.372753,-10.729306,209,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4104781,295,-0.009233063,0.005470672,HGF_P2RANK_2,0.08293214,631,447,542,556,216,613,0,480,520,P2RANK,0,302
WBFUHHBPNXWNCC-UHFFFAOYSA-N,acoramidis,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,208380,HGF,-9.818844,-10.739674,210,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.16402337,555,0.038114134,-0.010986789,HGF_P2RANK_3,0.13265873,394,421,444,678,304,258,0,518,513,P2RANK,0,292
QTGIAADRBBLJGA-UHFFFAOYSA-N,articaine,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,59423,HGF,-9.995494,-10.754943,211,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.22740944,469,1.4767444,0.21998622,HGF_P2RANK_1,0.11003787,127,277,103,52,283,122,0,151,139,P2RANK,0,615
GBLBJPZSROAGMF-RWYJCYHVSA-N,pralsetinib,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,122187,HGF,-11.727622,-10.783091,212,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.92441076,7,-0.54833424,-0.1262549,HGF_P2RANK_1,0.05918347,490,497,610,654,679,715,0,664,640,P2RANK,1,14
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,30517,HGF,-11.02807,-10.813892,213,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.33041546,360,-0.98725516,-0.16106807,HGF_P2RANK_3,0.09207695,702,693,428,696,692,703,0,687,694,P2RANK,0,309
IKENVDNFQMCRTR-UHFFFAOYSA-N,conivaptan,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2,211749,HGF,-10.758605,-10.834587,214,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.34464875,347,-0.8641867,-0.18025829,HGF_P2RANK_1,0.068350784,586,697,665,711,682,577,0,694,679,P2RANK,0,34
JJVAPHYEOZSKJZ-JGCGQSQUSA-N,zavegepant,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,186354,HGF,-9.694321,-10.846286,215,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.85790545,34,0.097037114,-0.015911482,HGF_P2RANK_1,0.090520635,351,633,367,523,505,556,0,523,500,P2RANK,0,26
VCKUSRYTPJJLNI-UHFFFAOYSA-N,terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,135836,HGF,-10.124535,-10.887502,216,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1771017,537,0.72139263,0.09083872,HGF_P2RANK_1,0.10544044,276,226,193,489,225,294,0,337,318,P2RANK,0,587
FWYSMLBETOMXAG-QHCPKHFHSA-N,letermovir,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,153421,HGF,-9.610764,-10.893906,217,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4323519,273,-1.1357945,-0.18280947,HGF_P2RANK_3,0.11055663,522,711,676,628,703,712,0,696,702,P2RANK,0,525
ZISJNXNHJRQYJO-CMDGGOBGSA-N,tapinarof,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,37246,HGF,-9.558866,-10.998384,218,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14924634,582,2.9347444,0.41298726,HGF_P2RANK_3,0.090174034,28,21,14,65,21,4,2,23,7,P2RANK,1,106
MSYKRHVOOPPJKU-BDAKNGLRSA-N,brivaracetam,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,60775,HGF,-9.917796,-11.018746,219,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2560128,438,1.4556531,0.19649558,HGF_P2RANK_3,0.13252825,148,301,151,25,596,54,0,176,142,P2RANK,0,170
YHGSTSNEOJUIRN-UHFFFAOYSA-N,omidenepag,O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,283301,HGF,-10.098956,-11.024803,220,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.279338,410,-0.8774231,-0.18252142,HGF_P2RANK_1,0.104912594,650,407,673,690,719,713,0,695,681,P2RANK,0,377
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,134815,HGF,-11.67436,-11.045625,221,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.17128365,549,0.7302973,0.13229778,HGF_P2RANK_3,0.07739161,355,299,290,250,255,425,0,275,316,P2RANK,0,291
UBPYILGKFZZVDX-UHFFFAOYSA-N,bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,129968,HGF,-13.886431,-11.056166,222,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8208194,54,-0.5801039,-0.09591621,HGF_P2RANK_2,0.10353907,525,666,652,619,561,578,0,631,647,P2RANK,0,695
MBBCVAKAJPKAKM-UHFFFAOYSA-N,lomitapide,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,268912,HGF,-9.412131,-11.077927,223,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6142744,138,-0.060053587,-0.023249084,HGF_P2RANK_3,0.08434485,498,538,479,279,538,510,0,535,542,P2RANK,0,126
VPMRSLWWUXNYRY-PJCFOSJUSA-N,benzhydrocodone,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@H]4[C@@H](C2)N(C)CC[C@]314,150303,HGF,-12.126602,-11.079588,224,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.17560193,539,0.1093136,-0.0005654643,HGF_P2RANK_3,0.13133489,603,541,520,205,303,673,0,494,495,P2RANK,0,635
VUDZSIYXZUYWSC-DBRKOABJSA-N,cedazuridine,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,293785,HGF,-9.64056,-11.104776,225,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.19924232,503,1.1795677,0.1560855,HGF_P2RANK_3,0.10508104,348,207,236,269,123,186,0,234,200,P2RANK,0,518
YLXDSYKOBKBWJQ-LBPRGKRZSA-N,ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,49797,HGF,-11.709318,-11.107943,226,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.21841556,480,1.0585316,0.14772768,HGF_P2RANK_3,0.084231324,99,316,271,246,243,322,0,249,229,P2RANK,0,87
DYKFCLLONBREIL-KVUCHLLUSA-N,minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,92574,HGF,-10.193496,-11.112343,227,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14082035,601,0.8161986,0.10704833,HGF_P2RANK_1,0.125137,150,329,170,251,217,531,0,310,291,P2RANK,0,267
PURKAOJPTOLRMP-UHFFFAOYSA-N,deutivacaftor;ivacaftor,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,24316,HGF,-10.304136,-11.128722,228,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.42071056,281,-0.2602843,-0.07454873,HGF_P2RANK_1,0.089749575,576,582,552,631,494,410,0,596,582,P2RANK,0,534
FWZAWAUZXYCBKZ-NSHDSACASA-N,pirtobrutinib,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,145574,HGF,-11.565827,-11.145272,229,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.49093595,224,-0.9244548,-0.15187609,HGF_P2RANK_3,0.12116641,575,710,565,636,720,634,0,681,687,P2RANK,0,99
MRBDMNSDAVCSSF-UHFFFAOYSA-N,phentolamine,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,196808,HGF,-10.897141,-11.171299,230,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.19298217,513,0.012759383,0.00937654,HGF_P2RANK_2,0.09775654,384,598,469,662,458,338,0,472,517,P2RANK,0,369
KWTSXDURSIMDCE-QMMMGPOBSA-N,dextroamphetamine;lisdexamfetamine,C[C@H](N)Cc1ccccc1,171529,HGF,-12.432485,-11.208252,231,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10758242,657,0.6263341,0.0751098,HGF_P2RANK_3,0.09897786,100,433,205,406,557,555,0,372,342,P2RANK,0,29
OEXHQOGQTVQTAT-JRNQLAHRSA-N,ipratropium,CC(C)[N@@+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,37140,HGF,-10.04933,-11.2607765,232,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.22080146,476,1.6516069,0.22517695,HGF_P2RANK_3,0.11629363,241,205,83,226,47,127,0,141,106,P2RANK,0,259
LZFZMUMEGBBDTC-QEJZJMRPSA-N,enalapril,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,172112,HGF,-10.076391,-11.279745,233,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.47139922,238,1.0261831,0.14295077,HGF_P2RANK_1,0.0815752,242,154,499,273,274,148,0,258,240,P2RANK,0,625
MWLSOWXNZPKENC-UHFFFAOYSA-N,zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,41730,HGF,-11.310378,-11.317219,234,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.23132868,463,0.27090925,0.023086973,HGF_P2RANK_3,0.1488346,76,426,230,649,601,498,0,451,440,P2RANK,0,59
PZBCKZWLPGJMAO-UHFFFAOYSA-N,copanlisib,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,123048,HGF,-10.419427,-11.323486,235,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.58941466,156,0.8393028,0.11099859,HGF_P2RANK_1,0.0828615,195,345,408,466,231,252,0,300,284,P2RANK,0,461
JYTNQNCOQXFQPK-MRXNPFEDSA-N,suvorexant,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,193724,HGF,-11.041793,-11.330164,236,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.86138314,31,-0.92686516,-0.1522289,HGF_P2RANK_3,0.11175649,617,712,674,693,565,686,0,682,688,P2RANK,0,488
PHLBKPHSAVXXEF-UHFFFAOYSA-N,trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,301983,HGF,-10.674655,-11.333533,237,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.31698027,377,0.4899746,0.09413016,HGF_P2RANK_2,0.11590549,388,270,223,511,263,321,0,334,386,P2RANK,0,232
WGFOBBZOWHGYQH-MXHNKVEKSA-N,lubiprostone,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,53421,HGF,-10.253291,-11.33511,238,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4384777,269,0.89643455,0.14626956,HGF_P2RANK_3,0.14037655,298,51,504,248,194,205,0,251,268,P2RANK,0,300
NOZIJMHMKORZBA-KJCUYJGMSA-N,lusutrombopag,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,55484,HGF,-9.85083,-11.3466425,239,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7552634,83,0.31762967,0.021804688,HGF_P2RANK_1,0.04951991,427,413,476,558,426,331,0,455,433,P2RANK,0,178
NKHAVTQWNUWKEO-NSCUHMNNSA-N,diroximel fumarate;monomethyl fumarate,COC(=O)/C=C/C(=O)O,109950,HGF,-9.52982,-11.355174,240,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.054581057,717,0.2023308,0.007821281,HGF_P2RANK_1,0.06663631,471,260,374,373,501,453,0,476,465,P2RANK,0,214
GYHCTFXIZSNGJT-UHFFFAOYSA-N,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,204766,HGF,-11.194714,-11.359932,241,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.38288027,324,-0.96160567,-0.15731381,HGF_P2RANK_3,0.045088287,689,581,693,705,702,499,0,685,691,P2RANK,0,109
CGIGDMFJXJATDK-UHFFFAOYSA-N,indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,150070,HGF,-10.444838,-11.392352,242,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2838931,406,0.27068034,0.03060534,HGF_P2RANK_3,0.11838646,548,383,417,541,238,438,0,443,441,P2RANK,0,226
LUMKNAVTFCDUIE-VHXPQNKSSA-N,ospemifene,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,303417,HGF,-12.682406,-11.404022,243,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20236908,499,-0.037870467,-0.022108505,HGF_P2RANK_3,0.04382334,491,476,421,447,635,551,0,534,538,P2RANK,0,530
RRMJMHOQSALEJJ-UHFFFAOYSA-N,lazertinib,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,9200,HGF,-15.569501,-11.411772,244,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.69084895,106,-0.13446395,-0.05160786,HGF_P2RANK_1,0.0942879,216,668,455,369,446,610,0,569,552,P2RANK,0,569
SOYCMDCMZDHQFP-UHFFFAOYSA-N,nepafenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,253714,HGF,-9.966763,-11.412422,245,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.16131447,561,0.6728558,0.0819191,HGF_P2RANK_3,0.10201597,126,390,302,524,359,335,0,359,332,P2RANK,0,121
NGBFQHCMQULJNZ-UHFFFAOYSA-N,torsemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,203601,HGF,-10.585387,-11.430847,246,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.29369107,399,0.10643377,-0.014304872,HGF_P2RANK_1,0.028046668,510,451,522,531,500,573,0,522,496,P2RANK,0,473
UIAGMCDKSXEBJQ-UHFFFAOYSA-N,nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,118121,HGF,-11.236276,-11.443635,247,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.16234672,559,-0.27595752,-0.04928695,HGF_P2RANK_1,0.09257556,489,563,587,506,378,444,0,566,587,P2RANK,0,561
POGQSBRIGCQNEG-UHFFFAOYSA-N,rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,244283,HGF,-10.474459,-11.487404,248,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11050346,650,-0.85961735,-0.14238596,HGF_P2RANK_3,0.103139445,518,659,551,645,699,718,0,673,677,P2RANK,0,318
VMWNQDUVQKEIOC-CYBMUJFWSA-N,apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,101579,HGF,-10.977165,-11.498056,249,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3078692,387,1.4080375,0.1895262,HGF_P2RANK_3,0.105912425,156,136,209,168,78,275,0,182,147,P2RANK,0,519
KGSXMPPBFPAXLY-UHFFFAOYSA-N,azilsartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,75477,HGF,-10.771158,-11.506275,250,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.41734558,284,-0.233546,-0.07243347,HGF_P2RANK_1,0.1460769,622,605,719,549,397,340,0,592,575,P2RANK,0,235
KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,197500,HGF,-13.714767,-11.5453825,251,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5323381,185,0.6623806,0.08074904,HGF_P2RANK_1,0.09505773,248,527,265,385,477,304,0,361,335,P2RANK,0,135
WMDSZGFJQKSLLH-RBBKRZOGSA-N,landiolol,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1,44805,HGF,-10.358815,-11.572998,252,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.303703,391,2.2829278,0.35782477,HGF_P2RANK_1,0.04756364,68,46,35,54,16,115,1,47,39,P2RANK,0,25
VJJPUSNTGOMMGY-MRVIYFEKSA-N,etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,132704,HGF,-11.648713,-11.5754795,253,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10425636,666,-0.87025434,-0.14744706,HGF_P2RANK_2,0.15840244,597,713,641,611,486,687,0,676,680,P2RANK,0,552
HSUGRBWQSSZJOP-RTWAWAEBSA-N,diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,148226,HGF,-11.817614,-11.583611,254,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.19021565,517,-0.38895056,-0.07275113,HGF_P2RANK_1,0.10407637,454,576,500,579,522,539,0,593,606,P2RANK,0,675
