drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,model
MVRHVFSOIWFBTE-INIZCTEOSA-N,elexacaftor,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,215213,LYVE1,-5.9374585,-6.778287,127,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88679945,14,-0.36499307,-0.005416,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07618045,528,575,571,483,611,510,0,571,583,DTWG,1,DTIAM
HHZIURLSWUIHRB-UHFFFAOYSA-N,nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,206290,LYVE1,-3.0746582,1.0108068,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88363385,15,-2.3102984,-0.37885424,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.111399174,720,719,718,720,720,720,0,720,720,DTWG,2,DTIAM
OFZJKCQENFPZBH-UHFFFAOYSA-N,avatrombopag,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,280979,LYVE1,-6.4073734,-6.7228613,122,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8818448,16,-0.3636906,-0.0072561973,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.121735156,551,633,178,547,542,257,0,573,582,DTWG,1,DTIAM
PDGKHKMBHVFCMG-UHFFFAOYSA-N,trilaciclib,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,100746,LYVE1,-16.612316,-13.806884,609,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8748789,17,0.027614038,0.05684808,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08835977,556,494,277,417,462,401,0,473,481,DTWG,1,DTIAM
GPXBXXGIAQBQNI-UHFFFAOYSA-N,vemurafenib,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,60523,LYVE1,-17.425722,-13.904821,618,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8739631,18,-0.5715755,-0.038178187,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08330265,566,624,651,429,650,579,0,616,629,DTWG,1,DTIAM
UZWDCWONPYILKI-UHFFFAOYSA-N,abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,65972,LYVE1,-13.478486,-11.212893,421,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8731996,19,-0.29213542,0.0061385892,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.11575088,619,644,429,380,641,408,0,548,562,DTWG,1,DTIAM
VZZJRYRQSPEMTK-CALCHBBNSA-N,sonidegib,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,178854,LYVE1,-10.8585005,-11.343201,430,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8690916,20,-1.2610886,-0.188707,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.057352725,706,686,684,652,664,690,0,709,706,DTWG,1,DTIAM
YIMYDTCOUQIDMT-SNAWJCMRSA-N,diroximel fumarate,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,109952,LYVE1,-12.88237,-13.146209,572,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.090735935,690,3.2409685,0.5664582,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.11316455,13,1,4,70,1,1,5,1,1,DTWG,1,DrugCLIP
GXXLUDOKHXEFBQ-YJFSRANCSA-N,tebipenem pivoxil,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,166585,LYVE1,-13.773401,-15.756254,705,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12925774,581,3.1212895,0.54747814,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.04210149,8,6,6,8,3,5,6,2,2,DTWG,1,DrugCLIP
SNUDIPVBUUXCDG-QHSBEEBCSA-N,tebipenem pivoxil,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,166590,LYVE1,-12.000634,-13.472315,591,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10523976,649,2.8644388,0.50674385,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.11797859,65,2,56,3,6,2,4,5,3,DTWG,1,DrugCLIP
