drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
BMPDWHIDQYTSHX-AWEZNQCLSA-N,eslicarbazepine,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,241671,000043,existing_independent_ETKDG,87d0e21d5762bbce505086d54ef0e871c85aea6d7567652ea28529fa307a3372
BMPDWHIDQYTSHX-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(O)c2ccccc21,241669,000044,existing_independent_ETKDG,e1b1c85ba633e6f59ad6c612c645bc1d41360de2efe33552683fbb66c361000f
BNRNXUUZRGQAQC-UHFFFAOYSA-N,sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,62138,000045,existing_independent_ETKDG,0271e14e5153a0c7babd4edc72f0b92842a8fe99d5dd0dc3a60c9a41c0250221
BPKAHTKRCLCHEA-UBFJEZKGSA-N,paricalcitol,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,170731,000046,existing_independent_ETKDG,b218899ecfd93ecab358a5460721b5f18053af8dcb2565e6ac9e92b3aabc7081
BPQMGSKTAYIVFO-UHFFFAOYSA-N,vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,163010,000047,existing_independent_ETKDG,f7e85e6ef6f7574f52a4e497fe1c6092f22095b154cdb151b9f345fb96653b0f
BPRHUIZQVSMCRT-VEUZHWNKSA-N,rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,38441,000048,existing_independent_ETKDG,fdf3d798639d16337ebe20c2091afd1665d8272345e4beea7b48fbd75433d4d8
BPZSYCZIITTYBL-YJYMSZOUSA-N,arformoterol,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,144521,000049,existing_independent_ETKDG,1e3f8609cdf8534b32ede0350609b6c5382c6ee954039bb5dc0fad6988a85ac0
BQEJAAIPKDQEPV-MXHGPKCJSA-N,difluprednate,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,52784,000050,existing_independent_ETKDG,7f995502bddd201c532f0b038c1af8bd77ae64e6f2a7bef84673f9e215c4de07
BQJCRHHNABKAKU-KBQPJGBKSA-N,morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,101451,000051,existing_independent_ETKDG,040936956ebc2625d75426d0f69c28d32ad8925e3ca7b88e1575f14f290e7327
BQSJTQLCZDPROO-UHFFFAOYSA-N,febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,208834,000052,existing_independent_ETKDG,6dc3bea37b7241e017ea5f71af254c5588202eb67f4e49d98decf6a69de0f7d4
BRUQQQPBMZOVGD-XFKAJCMBSA-N,oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,150301,000053,existing_independent_ETKDG,b1cc38d4bf568ac152441905071f53402b393b1b9077319ae3513ef721518aa0
BSMCAPRUBJMWDF-KRWDZBQOSA-N,cobimetinib,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,287748,000054,existing_independent_ETKDG,0f3bfe766417abb38b3e36e7823f087619733ea400054378dccfeaecd3d4eede
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin,CC(=O)Oc1ccccc1C(=O)O,19617,000055,existing_independent_ETKDG,3bd36c3870d9196fd91f715e42fc61a3f3e34f295d3315aad7f777dc8721bc02
