candidate_id,pair_id,modeled_entity_name,gene_symbol,binding_rank_384,rank_band,action_class,recommendation_band,recommended_disease_is_cross_area,recommended_disease,positive_max_tanimoto,usable_chemical_support_ge04
C384-112,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,glasdegib,FLT3,14,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,acute myeloid leukemia with mutated NPM1,0.3218390804597701,False
C384-113,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,amlodipine,CA12,16,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,heart failure,0.3285714285714285,False
C384-114,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,glasdegib,PDGFRA,17,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.3132530120481928,False
C384-115,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,ketoprofen,PPARG,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,frozen shoulder,0.34,False
C384-116,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,dabrafenib,HDAC1,1,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.6455696202531646,True
C384-117,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,telmisartan,MME,1,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,congestive heart failure,0.4204545454545454,True
C384-118,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,nilotinib,GART,4,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,lung cancer,0.5054945054945055,True
C384-119,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,bazedoxifene,RET,7,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,obesity disorder,0.3902439024390244,False
C384-120,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,raloxifene,RET,9,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,obesity disorder,0.3461538461538461,False
C384-121,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,diazoxide,CSF1R,3,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,pancreatic neuroendocrine tumor,0.2622950819672131,False
C384-122,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,olanzapine,DYRK1A,5,1–5,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,autism spectrum disorder,0.2857142857142857,False
C384-123,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,esmolol,CA7,7,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3584905660377358,False
C384-124,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,dasabuvir,PGR,8,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3012048192771084,False
C384-125,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,vaborbactam,CA1,9,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,congestive heart failure,0.3684210526315789,False
C384-126,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,metoprolol,CA7,9,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3103448275862069,False
C384-127,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,colchicine,FKBP1A,9,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,angiomyolipoma,0.3,False
C384-128,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,macimorelin,ACE,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,coronary artery disorder,0.3857142857142857,False
C384-129,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,darunavir,FKBP1A,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3358778625954198,False
C384-130,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,vemurafenib,PIK3CA,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,female breast carcinoma,0.3793103448275862,False
C384-131,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,selinexor,BRAF,6,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,colonic neoplasm,0.2588235294117647,False
C384-132,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,diltiazem,MMP12,7,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,stroke disorder,0.240506329113924,False
C384-133,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,hydroxychloroquine,TYK2,7,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,psoriatic arthritis,0.2197802197802197,False
C384-134,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,varenicline,PDE9A,8,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.1780821917808219,False
C384-135,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,sotalol,ALDH2,10,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,stroke disorder,0.273972602739726,False
C384-136,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,enasidenib,BRAF,10,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,"chronic myelogenous leukemia, BCR-ABL1 positive",0.2857142857142857,False
C384-137,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,desoximetasone,PRKCB,10,6–10,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,psoriasis,0.1584158415841584,False
C384-138,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,carbinoxamine,FAAH,11,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,pharyngitis,0.3428571428571428,False
C384-139,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,ranolazine,KDR,11,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,systemic mastocytosis,0.3648648648648648,False
C384-140,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,dolutegravir,MAPK8,11,11–20,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3295454545454545,False
C384-141,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL241,pemigatinib,PDE3A,11,11–20,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,thrombotic disease,0.3043478260869565,False
C384-142,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,vibegron,NR3C2,12,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,congestive heart failure,0.3205128205128205,False
C384-143,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,palbociclib,REN,12,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,atherosclerosis,0.3296703296703296,False
C384-144,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL261,levamlodipine,CA1,13,11–20,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3846153846153846,False
C384-145,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,vorinostat,ECE1,13,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,multiple sclerosis,0.3064516129032258,False
C384-146,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,labetalol,CA1,14,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3492063492063492,False
C384-147,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,rilpivirine,MAPK9,15,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3194444444444444,False
C384-148,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL3535,avanafil,PDE9A,15,11–20,EVIDENCE_DEPRIORITIZE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,stroke disorder,0.3131313131313131,False
C384-149,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,guanfacine,ROCK2,15,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3448275862068966,False
C384-150,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,methocarbamol,CA7,17,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3157894736842105,False
C384-151,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,ranolazine,CA7,19,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,duodenal ulcer,0.3478260869565217,False
C384-152,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,rilpivirine,MAPK8,19,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3428571428571428,False
C384-153,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,dasabuvir,NR3C1,19,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.3012048192771084,False
C384-154,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,bempedoic acid,MMP3,3,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,atherosclerosis,0.28,False
C384-155,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,bempedoic acid,HMGCR,4,1–5,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,atrial fibrillation,0.2580645161290322,False
C384-156,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,morphine,CA7,1,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,duodenal ulcer,0.2023809523809523,False
C384-157,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,oxycodone,CA7,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.2807017543859649,False
C384-158,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,methylnaltrexone,FKBP1A,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,peripheral arterial disease,0.1789473684210526,False
C384-159,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,bictegravir,EZH2,3,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.2711864406779661,False
C384-160,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,baricitinib,HDAC1,3,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,plasma cell myeloma,0.4166666666666667,False
C384-161,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,articaine,MME,3,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,congestive heart failure,0.2222222222222222,False
C384-162,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,bupivacaine,CTSC,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,bronchiectasis,0.2272727272727272,False
C384-163,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,belzutifan,PGR,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,osteoporosis,0.25,False
C384-164,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,pacritinib,CA7,5,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.2098765432098765,False
C384-165,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,baricitinib,HDAC11,5,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,plasma cell myeloma,0.410958904109589,False
C384-166,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,bictegravir,MET,5,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.2727272727272727,False
C384-167,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,rimegepant,REN,5,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,atherosclerosis,0.2947368421052631,False
C384-168,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,aripiprazole,MAOB,8,6–10,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,depressive disorder,0.5245901639344263,True
C384-169,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,varenicline,ESRRG,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,attention deficit-hyperactivity disorder,0.1851851851851851,False
C384-170,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,anastrozole,ALK,12,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,plasma cell myeloma,0.2,False
C384-171,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2695,aripiprazole,PTK2,13,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.2735042735042735,False
C384-172,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL206,brexanolone,ESR1,15,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,post-traumatic stress disorder,0.3454545454545454,False
C384-173,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,quetiapine,ESRRG,15,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,attention deficit-hyperactivity disorder,0.2714285714285714,False
C384-174,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,naltrexone,PDE9A,15,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.1685393258426966,False
C384-175,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL3045,ozanimod,PRKCB,15,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,psoriasis,0.2407407407407407,False
C384-176,DUGOZIWVEXMGBE-CHWSQXEVSA-N__CHEMBL4816,dexmethylphenidate,AKT3,16,11–20,EVIDENCE_DEPRIORITIZE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,insomnia,0.240506329113924,False
C384-177,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL2208,varenicline,MAPKAPK2,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,migraine disorder,0.1929824561403508,False
C384-178,PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL5608,copanlisib,NTRK3,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.284313725490196,False
C384-179,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,rucaparib,PIK3CB,16,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,ovarian endometrioid adenocarcinoma with squamous differentiation,0.2763157894736842,False
C384-180,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL3979,benoxinate,PPARD,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,iridocyclitis,0.28,False
C384-181,LXBIFEVIBLOUGU-DPYQTVNSSA-N__CHEMBL5216,migalastat,UMPS,16,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,orotic aciduria,0.1632653061224489,False
C384-182,CYHWMBVXXDIZNZ-KRWDZBQOSA-N__CHEMBL3535,remimazolam,PDE9A,17,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.2289156626506024,False
C384-183,IQPSEEYGBUAQFF-UHFFFAOYSA-N__CHEMBL4481,pantoprazole,NOS2,18,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,chronic atrophic gastritis,0.273972602739726,False
C384-184,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL1994,asenapine,NR3C2,18,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,autism spectrum disorder,0.2285714285714285,False
C384-185,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,loxapine,NTRK3,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,attention deficit-hyperactivity disorder,0.2337662337662337,False
C384-186,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,brivaracetam,PDE9A,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.1818181818181818,False
C384-187,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,levetiracetam,PDE9A,18,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,restless legs syndrome,0.1967213114754098,False
C384-188,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,selinexor,ABL1,19,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,squamous cell lung carcinoma,0.2967032967032967,False
C384-189,PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL4898,copanlisib,NTRK2,19,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.284313725490196,False
C384-190,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,metformin,FLT3,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,obesity disorder,0.1176470588235294,False
C384-191,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,alpelisib,MMP12,20,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,atherosclerosis,0.2434782608695652,False
C384-192,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1871,calcipotriene,AR,13,11–20,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,breast fibrocystic disease,0.3896103896103896,False
C384-193,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,roflumilast,ACHE,18,11–20,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3529411764705882,False
C384-194,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,labetalol,MME,1,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,congestive heart failure,0.3043478260869565,False
C384-195,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,gemcitabine,DNMT1,2,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,myelodysplastic syndrome,0.3928571428571428,False
C384-196,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,thalidomide,MIF,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,rheumatoid arthritis,0.3544303797468354,False
C384-197,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,armodafinil,NR3C2,2,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,Duchenne muscular dystrophy,0.3191489361702128,False
C384-198,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,oxaprozin,FAAH,4,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,arthritic joint disease,0.3454545454545454,False
C384-199,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,bupivacaine,FKBP1A,6,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,atopic eczema,0.2857142857142857,False
C384-200,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,sotagliflozin,REN,6,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,diabetes mellitus,0.2258064516129032,False
C384-201,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,methocarbamol,CA4,7,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.3090909090909091,False
C384-202,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,ivabradine,CYP11B2,7,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,adrenal gland hyperfunction,0.2666666666666666,False
C384-203,UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243,epinephrine,FAAH,7,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,pharyngitis,0.2884615384615384,False
C384-204,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,avanafil,FKBP1A,7,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,peripheral arterial disease,0.2857142857142857,False
C384-205,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,indacaterol,JAK3,7,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,atopic eczema,0.2178217821782178,False
C384-206,XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258,eltrombopag,LCK,7,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,HIV infectious disease,0.25,False
C384-207,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,etravirine,MAPK9,7,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.2957746478873239,False
C384-208,ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243,imipenem,FAAH,8,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,sinusitis,0.2073170731707317,False
C384-209,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,indacaterol,CA2,9,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,open-angle glaucoma,0.2985074626865671,False
C384-210,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1908,ivabradine,CYP11B1,9,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,adrenal gland hyperfunction,0.2666666666666666,False
C384-211,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,elvitegravir,MAPK8,9,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,cancer,0.2777777777777778,False
C384-212,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,glimepiride,CA4,10,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,heart failure,0.2976190476190476,False
C384-213,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,aprepitant,HMGCR,10,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,acute coronary syndrome,0.2065217391304347,False
C384-214,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,vaborbactam,MME,10,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,congestive heart failure,0.2222222222222222,False
C384-215,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,memantine,NR3C2,10,6–10,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,congestive heart failure,0.125,False
C384-216,ASMXXROZKSBQIH-VITNCHFBSA-N__CHEMBL235,aclidinium,PPARG,10,6–10,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,irritable bowel syndrome,0.264367816091954,False
C384-217,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,calcipotriene,NR3C2,5,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,True,nephrotic syndrome,0.1666666666666666,False
C384-218,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,bazedoxifene,THRB,11,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,obesity disorder,0.2738095238095238,False
C384-219,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL4282,ivosidenib,AKT1,13,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,non-small cell lung carcinoma,0.2368421052631578,False
C384-220,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL4393,bempedoic acid,MMP12,14,11–20,FIRST_RESOLVE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,atherosclerosis,0.2352941176470588,False
C384-221,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,rosuvastatin,NR3C2,19,11–20,EXPLORABLE,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,False,atrial fibrillation,0.2236842105263158,False
C384-222,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,lenalidomide,AXL,3,1–5,EXPLORABLE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,acute myeloid leukemia,0.3645833333333333,False
C384-223,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,olmesartan,MME,3,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,essential hypertension,0.3707865168539326,False
C384-224,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,thalidomide,HDAC11,4,1–5,FIRST_RESOLVE,EXPLORATORY_LIMITED_INDEPENDENT_SUPPORT,False,acute myeloid leukemia,0.3043478260869565,False
