drug_id,molecular_weight,logp,tpsa,heavy_atoms
HCFDWZZGGLSKEP-UHFFFAOYSA-N,270.37600000000003,2.923300000000001,25.36,20
HCRKCZRJWPKOAR-JTQLQIEISA-N,383.5170000000001,0.08690000000000164,118.79999999999998,23
HDACQVRGBOVJII-JBDAPHQKSA-N,416.5180000000003,2.3831999999999995,95.94000000000001,30
HEAUOKZIVMZVQL-VWLOTQADSA-N,631.5980000000003,5.535020000000003,102.56,45
HEFNNWSXXWATRW-UHFFFAOYSA-N,206.28499999999997,3.073200000000001,37.3,15
HEVHTYMYEMEBPX-HZPDHXFCSA-N,405.4770000000001,4.4345000000000026,77.47,30
HFNKQEVNSGCOJV-OAHLLOKOSA-N,306.37300000000005,3.466380000000001,83.17999999999999,23
HFZITXBUTWITPT-YWVKMMECSA-N,314.32300000000004,-3.4283999999999963,116.27999999999999,21
HGVDHZBSSITLCT-JLJPHGGASA-N,548.0690000000001,1.2896000000000014,136.63,37
HHZIURLSWUIHRB-UHFFFAOYSA-N,529.5260000000001,6.355840000000005,97.62,39
HIFJCPQKFCZDDL-ACWOEMLNSA-N,360.4940000000001,3.541300000000003,77.76,26
HJBWBFZLDZWPHF-UHFFFAOYSA-N,477.4430000000002,3.5315800000000026,89.33000000000001,33
HKDLNTKNLJPAIY-WKWWZUSTSA-N,433.59200000000016,4.972200000000005,57.61,32
HKHCSWPSUSWGLI-CABCVRRESA-N,209.29199999999997,2.700700000000001,12.03,16
HKXBNHCUPKIYDM-CGMHZMFXSA-N,412.65800000000024,6.6118000000000094,40.46,30
HMABYWSNWIZPAG-UHFFFAOYSA-N,323.371,2.979300000000001,56.92,24
HNPFPERDNWXAGS-NFVOFSAMSA-N,390.52000000000004,3.319400000000002,97.99000000000001,28
HOIIHACBCFLJET-SFTDATJTSA-N,393.5060000000001,3.9165000000000036,26.79,29
HPHUVLMMVZITSG-LURJTMIESA-N,170.212,-0.12729999999999997,63.400000000000006,12
HPJKCIUCZWXJDR-UHFFFAOYSA-N,285.31,2.65916,78.29,22
HPNSFSBZBAHARI-RUDMXATFSA-N,320.341,2.73322,93.06000000000002,23
HSUGRBWQSSZJOP-RTWAWAEBSA-N,414.52700000000016,3.368500000000002,59.080000000000005,29
HTIQEAQVCYTUBX-KRWDZBQOSA-N,408.88200000000006,2.266300000000001,99.88000000000001,28
HTIQEAQVCYTUBX-UHFFFAOYSA-N,408.88200000000006,2.266300000000001,99.88000000000001,28
HUNGUWOZPQBXGX-UHFFFAOYSA-N,431.5360000000001,3.318500000000001,63.69,32
