matrix,view,direction,model_a,model_b,queries,valid_correlations,minimum_candidates,maximum_candidates,median_spearman,mean_spearman,mean_kendall_tau_b,mean_top10_overlap,random_top10_overlap,top10_overlap_ratio_to_random
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,Nesso-1,719,719,141,176,0.11360440578300932,0.1167109777727914,0.07891056735743375,1.4645340751043114,0.7029463538877272,2.0834222512209277
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,DrugCLIP,ProbeMatchDTI,720,720,382,382,0.044920628547803654,0.04892327648776661,0.03258003137319955,0.5779088950963951,0.2617801047120419,2.207611979268229
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,Nesso-1,DTBind_occurrence,719,719,118,144,0.04138299387551631,0.05580478692173984,0.03696195613243866,1.812239221140473,0.8394388044937611,2.158869963407728
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,Nesso-1,ProbeMatchDTI,719,719,142,177,-0.029211398929708785,-0.017375851318167955,-0.012616973789101517,1.252208153459892,0.6980371610518178,1.7938989832189407
PARENT_720X384,PAIRWISE_COMMON,drug_to_target,ProbeMatchDTI,DTBind_occurrence,720,720,303,303,0.33991343104334826,0.3285228907312209,0.22474463992561503,1.5936731876248005,0.33003300330033003,4.828829758503145
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,DTBind_occurrence,303,303,720,720,0.07793646145008339,0.07666056064071965,0.0526366354798956,0.37293729372937295,0.1388888888888889,2.6851485148514853
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,DTIAM_A,384,384,720,720,0.061594697033465665,0.05419654891656527,0.039977465410728975,1.0625,0.1388888888888889,7.6499999999999995
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,DrugCLIP,382,382,720,720,0.049622004242759275,0.05156192629627127,0.03627794395716487,0.306282722513089,0.1388888888888889,2.2052356020942407
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,Nesso-1,143,143,338,719,0.08647901099726778,0.07934216937820414,0.05329855663943332,0.6328671328671329,0.14017839358754994,4.514726675561943
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ConPLex,ProbeMatchDTI,384,384,720,720,-0.0671871989696778,-0.0490885970668965,-0.034605771289534314,0.14697496941292898,0.1388888888888889,1.0582197797730886
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DTIAM_A,DTBind_occurrence,303,303,720,720,-0.017898635223357558,-0.01543524915047616,-0.01053090222591779,0.29207920792079206,0.1388888888888889,2.1029702970297026
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DTIAM_A,Nesso-1,143,143,338,719,-0.07115021300291641,-0.052770103344760094,-0.03620679856467877,0.6713286713286714,0.14017839358754994,4.789102329877862
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DTIAM_A,ProbeMatchDTI,384,384,720,720,0.07212988767201839,0.07356637051811339,0.050423146993320796,0.5531193270403628,0.1388888888888889,3.9824591546906123
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DrugCLIP,DTBind_occurrence,303,303,720,720,0.1401260486674382,0.13600770891003341,0.0915072880087506,0.32673267326732675,0.1388888888888889,2.3524752475247523
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DrugCLIP,DTIAM_A,382,382,720,720,0.04964647200733425,0.04849520204236339,0.031966564747351586,0.42670157068062825,0.1388888888888889,3.0722513089005234
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DrugCLIP,Nesso-1,142,142,338,719,0.059649350498409665,0.07761693478914179,0.05252119806706257,0.6338028169014085,0.14018611425778296,4.521152613845422
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,DrugCLIP,ProbeMatchDTI,382,382,720,720,0.08009552069818171,0.07993102567380353,0.05323427768660979,0.27905418208976007,0.1388888888888889,2.0091901110462724
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,Nesso-1,DTBind_occurrence,119,119,338,719,0.28209040602196966,0.25059771308890755,0.16943198433825182,0.7983193277310925,0.14039950320228986,5.6860552175947605
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,Nesso-1,ProbeMatchDTI,143,143,338,719,0.08382363955922481,0.056834748908639696,0.03809269418643746,0.3995549904640813,0.14017839358754994,2.850332210538102
PARENT_720X384,PAIRWISE_COMMON,target_to_drug,ProbeMatchDTI,DTBind_occurrence,303,303,720,720,0.20240898598120433,0.1848770737167372,0.1246397718143978,0.4141937723184083,0.1388888888888889,2.9821951606925396
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,ConPLex,DTBind_occurrence,719,718,23,29,-0.09006586819568047,-0.07686881329697859,-0.054733681039275624,4.044982078331065,4.32509161858604,0.9352361603043803
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,ConPLex,DTIAM_A,719,718,23,29,0.1707415543344488,0.1670753296835592,0.12116872762072346,4.797354718962317,4.32509161858604,1.1091914673776713
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,ConPLex,DrugCLIP,719,718,23,29,-0.002998351580694065,0.0053612165399210395,0.004919556601208779,4.338075320197913,4.32509161858604,1.0030019483416441
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,ConPLex,Nesso-1,719,718,23,29,0.26306849522813847,0.23403291797548997,0.1682865505208995,5.288441252534739,4.32509161858604,1.2227350814509768
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,ConPLex,ProbeMatchDTI,719,718,23,29,-0.00691699604743083,-0.012708512028960964,-0.006699254416526378,4.244317364137554,4.32509161858604,0.9813242674209771
PRIMARY_720X96,ALL_SIX_COMMON,drug_to_target,DTIAM_A,DTBind_occurrence,719,719,23,29,0.02964426877470356,0.026317494317903017,0.017981359723868162,4.450625869262865,4.32509161858604,1.0290246454288672
