pair_id,biomaster,drugclip,dtiam,conplex
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3009,-1.1072509,0.24475469,0.9135898,0.12725742
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3130,-4.959531,0.29842225,0.91734076,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3145,-11.645692,-0.1617804,0.89725846,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3267,-12.167164,0.36219874,0.86934674,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL3629,-4.679519,0.2907523,0.90348226,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4005,-9.896094,0.17812331,0.8454438,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4128,1.6536788,-0.040246077,0.9324533,0.54070544
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4895,0.63565326,0.15576409,0.88871944,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL4898,-1.2761794,-0.0071012788,0.9261678,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL5311,-7.6767097,0.2594435,0.9199845,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL5608,-0.2591564,-0.08943755,0.93316555,0.0
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL5838,-3.9444902,0.4017898,0.92534393,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1163124,-8.085719,0.09473739,0.88911295,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1824,-7.088307,0.16625305,0.91259634,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1862,-5.2012644,-0.29304653,0.93844944,0.11101544
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1908389,-9.874941,0.1528228,0.9298641,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1974,2.7116663,0.21165164,0.95611554,0.9608888
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL1991,-14.029937,-0.044162884,0.8784903,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2527,-14.534383,0.27018324,0.9342097,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2534,-14.18591,0.3551387,0.9155201,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2742,-2.7698867,-0.037930977,0.9284814,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2842,-14.244694,0.01761833,0.8831221,0.009473212
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2872,-6.095112,0.096444875,0.9276212,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2873,-7.951199,0.09514815,0.91683877,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL2971,-6.9347167,0.05636413,0.7776787,0.19016545
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3009,-5.684697,0.24060674,0.9169289,0.1290752
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3130,-11.60002,0.114325315,0.87558335,0.0
CVWXJKQAOSCOAB-UHFFFAOYSA-N__CHEMBL3145,-13.964577,-0.017347025,0.91072756,0.0
