target_id,labeled_pair_tasks,unique_molecules,positive,accessions,chembl_ids,names,identity_tier
SEQ:0647ba978c0e550399fa33c8ee2f26c82b028539edf3f9473604a855d9965cbd,51,51,34,P22059,CHEMBL4523203,Oxysterol-binding protein 1,ChEMBL37_human_single_protein
SEQ:065699509d7bf69b1c012ce200b27fe9a291dd2772f66d4e9c7cab8a8b76f70f,2,2,1,Q9BXA6,CHEMBL3627582,Testis-specific serine/threonine-protein kinase 6,ChEMBL37_human_single_protein
SEQ:06616fb01b8023488455bf63995d8c2ba41e3501b7f4c2df48c2bc0e74899434,14,11,9,P32248,CHEMBL4594,C-C chemokine receptor type 7,ChEMBL37_human_single_protein
SEQ:066cd148df084ff5c1ce05c5a4e442ef4252675027d5fd3a4ead472795ba52bb,1,1,0,P51671,CHEMBL3286077,Eotaxin,ChEMBL37_human_single_protein
SEQ:069a58f431c61ca85a0441f566dc7cdf6be9d8285fe71cd10c898f816d8adf0c,406,260,331,P07738,CHEMBL5169112,Bisphosphoglycerate mutase,ChEMBL37_human_single_protein
SEQ:069afcdda6fc41fe36764df1d6d51cceddf2e8648f6ed72f72a20e679d503403,33,33,0,O15066,CHEMBL6109,Kinesin-like protein KIF3B,ChEMBL37_human_single_protein
SEQ:069dcf65f46230dcb8df3afdfe9a000b11850089320595f24e1665054b6bef10,379,378,31,Q6PHR2,CHEMBL5047,Serine/threonine-protein kinase ULK3,ChEMBL37_human_single_protein
SEQ:06a4c9a78af9ca3bfbaab95ebdb702b799b2d38bc4ff1ae0135883b4c46f7dbe,333,333,61,P43250,CHEMBL6144,G protein-coupled receptor kinase 6,ChEMBL37_human_single_protein
SEQ:06b09d32dfa3e4405045bfbd07e4408c9a6ecf1e84be027fdc20b9bfdaaa27d4,1,1,1,Q15435,CHEMBL6066323,Protein phosphatase 1 regulatory subunit 7,ChEMBL37_human_single_protein
SEQ:06b40a2742cea018a273a4feba08285b449047c8833cec1a4a9586fb1757e9bf,38,38,30,Q8NCG7,CHEMBL5521,Diacylglycerol lipase-beta,ChEMBL37_human_single_protein
SEQ:06c23e2ed27e57dd2fd2b42d7251c3096047666d5ab51d70ceb14335ba388e10,1,1,1,Q14116,CHEMBL1741305,Interleukin-18,ChEMBL37_human_single_protein
SEQ:06c8c6f65ab7f7a1d813930ffaf5d72c3fd5f5619e5ec17e98cc8cb3e8deb182,1,1,0,Q9H845,CHEMBL6067161,"Complex I assembly factor ACAD9, mitochondrial",ChEMBL37_human_single_protein
SEQ:06e0ce45faa2300e8b207959833598caab00d7718c9cd0c6877d83cd56a665e3,48,48,1,P48506,CHEMBL4055,Glutamate--cysteine ligase catalytic subunit,ChEMBL37_human_single_protein
SEQ:07006f6f455a8ea5033763db94d09ca6ca730ec8a322959ac7fe6b489baa94e0,1430,1422,1238,Q9UDY8,CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,ChEMBL37_human_single_protein
SEQ:0722fb7844a54430ddcbbd730ee418dcb30a6b38450f28323ececc43805be67d,3,3,1,P43307,CHEMBL6066162,Translocon-associated protein subunit alpha,ChEMBL37_human_single_protein
SEQ:0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,361,357,5,P11413,CHEMBL5347,Glucose-6-phosphate 1-dehydrogenase,ChEMBL37_human_single_protein
