scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,drugclip,719,0.0937461823460057,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,dtiam,719,-0.021857854782224333,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,conplex,719,0.08322010087968745,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,nesso,719,0.2761091697304753,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,probematch,719,0.07654695138284476,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,biomaster,dtbind,719,0.18616373326352134,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,drugclip,dtiam,719,0.24023782000993185,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,drugclip,conplex,719,0.10454329114216045,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,drugclip,nesso,719,0.12096174533132396,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,drugclip,probematch,719,0.017749541163173517,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,drugclip,dtbind,719,0.23678416502261396,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,dtiam,conplex,719,-0.09970206728199206,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,dtiam,nesso,719,-0.12057569678507306,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,dtiam,probematch,719,-0.0978076291990518,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,dtiam,dtbind,719,-0.00610272656159282,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,conplex,nesso,719,0.22109281810215042,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,conplex,probematch,719,0.11901404624889386,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,conplex,dtbind,719,0.213646884076645,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,nesso,probematch,719,0.1764100517589959,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,nesso,dtbind,719,0.42570421231891037,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL3474,probematch,dtbind,719,0.23431499780424342,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,drugclip,719,0.16979814376461688,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,dtiam,719,-0.19881346173361344,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,conplex,719,0.037334184662050796,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,nesso,719,0.19353148975351356,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,probematch,719,0.17535238641309053,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,biomaster,dtbind,719,0.2566488160259863,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,drugclip,dtiam,719,0.10020052854899658,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,drugclip,conplex,719,-0.07081706943910221,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,drugclip,nesso,719,0.06157183388152585,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,drugclip,probematch,719,0.20873237099396538,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,drugclip,dtbind,719,0.21437430899854046,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,dtiam,conplex,719,-0.04547976794218251,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,dtiam,nesso,719,-0.31294108385176006,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,dtiam,probematch,719,-0.011856730390204918,2,2.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,dtiam,dtbind,719,-0.23232656994807113,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,conplex,nesso,719,0.3397131799174122,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,conplex,probematch,719,-0.13552721438109686,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,conplex,dtbind,719,0.018287989182423896,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,nesso,probematch,719,0.07810945900049461,1,1.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,nesso,dtbind,719,0.3455254679745874,0,0.0,0.13908205841446453
SEVEN_FIXED_8_TARGETS,target_id,CHEMBL4073,probematch,dtbind,719,0.21378711665848843,0,0.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL1871,dtiam_historical,dtiam,719,0.3635659406380687,2,2.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL1902,dtiam_historical,dtiam,719,0.624547529227617,4,4.0,0.13908205841446453
OLD_NEW_FIXED_8_TARGETS,target_id,CHEMBL2023,dtiam_historical,dtiam,719,0.47954687070236396,3,3.0,0.13908205841446453
