scope,query,entity,model,n,prevalence,ap
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,dtiam,2,0.5,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,conplex,2,0.5,0.5
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,nesso,2,0.5,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,probematch,2,0.5,0.5
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,dtbind,2,0.5,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,dtiam_historical,2,0.5,1.0
COMMON_378,drug_id,XUFQPHANEAPEMJ-UHFFFAOYSA-N,nesso_pic50,2,0.5,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,biomaster,2,0.5,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,drugclip,2,0.5,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,dtiam,2,0.5,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,conplex,2,0.5,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,nesso,2,0.5,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,probematch,2,0.5,1.0
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,dtbind,2,0.5,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,dtiam_historical,2,0.5,0.5
COMMON_378,drug_id,YWPHCCPCQOJSGZ-UHFFFAOYSA-N,nesso_pic50,2,0.5,0.5
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,biomaster,25,0.24,0.5876623376623377
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,drugclip,25,0.24,0.32688940310423686
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dtiam,25,0.24,0.22220842453040596
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,conplex,25,0.24,0.4047222222222222
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,nesso,25,0.24,0.6716269841269841
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,probematch,25,0.24,0.38076923076923075
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dtbind,25,0.24,0.39451192082771025
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dtiam_historical,25,0.24,0.2555697026285262
COMMON_378,drug_id,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,nesso_pic50,25,0.24,0.6203703703703703
COMMON_378,target_id,CHEMBL1824,biomaster,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1824,drugclip,9,0.1111111111111111,0.3333333333333333
COMMON_378,target_id,CHEMBL1824,dtiam,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1824,conplex,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1824,nesso,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1824,probematch,9,0.1111111111111111,0.25
COMMON_378,target_id,CHEMBL1824,dtbind,9,0.1111111111111111,0.2
COMMON_378,target_id,CHEMBL1824,dtiam_historical,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1824,nesso_pic50,9,0.1111111111111111,1.0
COMMON_378,target_id,CHEMBL1844,biomaster,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL1844,drugclip,7,0.5714285714285714,0.8041666666666667
COMMON_378,target_id,CHEMBL1844,dtiam,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL1844,conplex,7,0.5714285714285714,0.7708333333333333
COMMON_378,target_id,CHEMBL1844,nesso,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL1844,probematch,7,0.5714285714285714,0.6458333333333333
COMMON_378,target_id,CHEMBL1844,dtbind,7,0.5714285714285714,0.4511904761904762
COMMON_378,target_id,CHEMBL1844,dtiam_historical,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL1844,nesso_pic50,7,0.5714285714285714,1.0
COMMON_378,target_id,CHEMBL1862,biomaster,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,drugclip,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,dtiam,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,conplex,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,nesso,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,probematch,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,dtbind,2,0.5,1.0
COMMON_378,target_id,CHEMBL1862,dtiam_historical,2,0.5,0.5
COMMON_378,target_id,CHEMBL1862,nesso_pic50,2,0.5,1.0
COMMON_378,target_id,CHEMBL1868,biomaster,7,0.14285714285714285,0.5
COMMON_378,target_id,CHEMBL1868,drugclip,7,0.14285714285714285,0.25
COMMON_378,target_id,CHEMBL1868,dtiam,7,0.14285714285714285,1.0
COMMON_378,target_id,CHEMBL1868,conplex,7,0.14285714285714285,0.5
COMMON_378,target_id,CHEMBL1868,nesso,7,0.14285714285714285,0.5
COMMON_378,target_id,CHEMBL1868,probematch,7,0.14285714285714285,0.16666666666666666
COMMON_378,target_id,CHEMBL1868,dtbind,7,0.14285714285714285,0.14285714285714285
COMMON_378,target_id,CHEMBL1868,dtiam_historical,7,0.14285714285714285,0.2
COMMON_378,target_id,CHEMBL1868,nesso_pic50,7,0.14285714285714285,1.0
COMMON_378,target_id,CHEMBL1936,biomaster,3,0.6666666666666666,1.0
COMMON_378,target_id,CHEMBL1936,drugclip,3,0.6666666666666666,1.0
