排序,小分子药物名称,新靶点名称,pair_id,neural_score,positive_neighbor,target_prior,nearest_training_positive,A_neural_rank384,A_plus_neighbor_rank384,A_plus_prior_rank384,A_joint_blend_rank384
43,avibactam,MMP8 — Neutrophil collagenase,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,-3.8671875,0.19402985,0.8084995520883065,YLRBOIVJMWEGGX-UHFFFAOYSA-N,63,30,51,26
44,tapentadol,ESR1 — Estrogen receptor,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,-2.8203125,0.26785713,0.6740886284287014,QTFWAEIJPISIIW-UHFFFAOYSA-N,229,78,211,56
45,lubiprostone,AR — Androgen receptor,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,-9.34375,0.19753087,0.8364033755961726,XIPKOONRVCMMEC-OOLXCHQQSA-N,197,72,147,51
46,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,-7.0,0.3382353,0.6853861741588732,GXDYUJHLPNEPQM-UHFFFAOYSA-N,114,23,108,20
47,sotagliflozin,REN — Renin,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,-4.34375,0.14705883,0.734718242762397,GPRUYLDATGQOHQ-ZZTWKDBPSA-N,336,282,317,246
48,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,-5.34375,0.3218391,0.6989883897550545,HGLWPJISHDLCTE-UHFFFAOYSA-N,135,46,125,36
49,selinexor,BRAF — Serine/threonine-protein kinase B-raf,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,6.296875,0.20879121,0.508445911175428,KRQRQSNNIMMECL-UHFFFAOYSA-N,68,28,64,39
50,avibactam,MMP7 — Matrilysin,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,-6.078125,0.15384616,0.4649745113106394,MCSWSPNUKWMZHM-UHFFFAOYSA-N,96,73,102,90
51,fluocinonide,PRKCB — Protein kinase C beta type,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,4.5,0.15315315,0.4783281859824406,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,254,156,250,149
52,desonide,NR3C2 — Mineralocorticoid receptor,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,8.25,0.42105263,0.8542348888484506,JYGXADMDTFJGBT-VWUMJDOOSA-N,20,1,17,1
53,alpelisib,DPP4 — Dipeptidyl peptidase 4,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,-8.0625,0.23157895,0.8424740009415945,HSZIDSCIKNQFGX-RYRKJORJSA-N,42,34,36,26
54,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,-10.34375,0.11111111,0.6852060313416476,XKGRXBQGCQJOHQ-UHFFFAOYSA-N,251,299,200,259
55,methocarbamol,CA4 — Carbonic anhydrase 4,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,2.1796875,0.3090909,0.7948495395042364,RASGWFQDNMKKTJ-UHFFFAOYSA-N,4,2,4,2
56,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,-7.171875,0.2647059,0.6853861741588732,YIBHQTIQLGZXPQ-UHFFFAOYSA-N,325,208,309,173
57,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,-1.6796875,0.22772278,0.8587138509629285,SNPLAOHHBAWLMU-UHFFFAOYSA-N,134,57,112,39
58,etravirine,MAPK9 — Mitogen-activated protein kinase 9,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,-7.40625,0.22666667,0.13883681268223733,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,62,33,92,68
59,diltiazem,MMP12 — Macrophage metalloelastase,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,9.75,0.24358974,0.891881269806106,BLXHYKZAZZIQOC-ZDUSSCGKSA-N,181,30,104,18
60,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,3.9765625,0.1826923,0.5231507539177059,CGFRGBQJWVFTRF-UHFFFAOYSA-N,176,126,173,115
61,furosemide,REN — Renin,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,-1.046875,0.18072289,0.734718242762397,OFTSPVADFMQIGQ-QHCPKHFHSA-N,68,66,60,55
62,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,0.6816406,0.21311475,0.11323157963488875,OVPNQJVDAFNBDN-UHFFFAOYSA-N,320,205,335,226
63,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,-1.7226562,0.29213482,0.5001876453308749,UQRCJCNVNUFYDX-UHFFFAOYSA-N,117,26,120,28
64,pregabalin,ACE — Angiotensin-converting enzyme,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,0.77734375,0.23076923,0.5058125925370889,OKMLPKRGXRLVMI-VDTYLAMSSA-N,102,26,105,27
65,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,-7.046875,0.2375,0.3701105174671056,YJSFAHMGDRBZGH-UHFFFAOYSA-N,49,23,64,29
66,zavegepant,PTK2 — Focal adhesion kinase 1,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,12.5,0.25438598,0.21983346014586372,WKDACQVEJIVHMZ-UHFFFAOYSA-N,6,3,48,27
67,dasabuvir,PGR — Progesterone receptor,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,2.2734375,0.30120483,0.8782918205987442,CUIMAZBZRVOSOP-UHFFFAOYSA-N,67,6,57,3
68,imiquimod,FDPS — Farnesyl pyrophosphate synthase,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,5.796875,0.16363636,0.887905125850441,NGMZSXZBZNXBGX-UHFFFAOYSA-N,157,131,135,100
69,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,-3.6953125,0.13333334,0.7574110554847884,BKGRGWITJPSOOJ-UHFFFAOYSA-N,60,52,59,45
70,lacosamide,MAOB — Amine oxidase [flavin-containing] B,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,-9.75,0.23333333,0.5014252029778439,AUBFXQRKTWFZBH-UHFFFAOYSA-N,149,113,160,116
71,indomethacin,CTSC — Dipeptidyl peptidase 1,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,-7.828125,0.0,0.5084440398893697,,88,325,96,324
72,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,-11.25,0.1954023,0.7016888079778739,OSCYHTCDAZYCLV-UHFFFAOYSA-N,293,154,167,134
73,guanfacine,THRB — Thyroid hormone receptor beta,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,5.9375,0.21428572,0.9332592129039904,INJFUZZLERLMQZ-UHFFFAOYSA-N,166,67,108,35
74,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,8.0625,0.2173913,0.5108836124141779,NFFXEUUOMTXWCX-UHFFFAOYSA-N,134,69,141,73
75,terazosin,NTRK3 — NT-3 growth factor receptor,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,-6.546875,0.21818182,0.1617952923604149,SEJGTFPOEJWEGG-UHFFFAOYSA-N,189,141,242,187
76,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,10.25,0.24210526,0.5218382954795092,RCMWTMHAMLWFGA-ZIADKAODSA-N,46,13,48,20
77,vaborbactam,CA1 — Carbonic anhydrase 1,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,8.375,0.36206895,0.730863766469765,ZQWXOBLMDBJRLY-UHFFFAOYSA-N,61,1,47,2
78,metoprolol,CA7 — Carbonic anhydrase 7,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,-3.640625,0.31034482,0.9191719901016979,RASGWFQDNMKKTJ-UHFFFAOYSA-N,27,7,23,6
79,indacaterol,CA2 — Carbonic anhydrase 2,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,1.8671875,0.29850745,0.819983354225141,ZTRWXFFYFBYLJU-UHFFFAOYSA-N,66,5,53,4
80,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,3.1015625,0.25263157,0.16062772085925356,STNCBMGTCZRJPA-UHFFFAOYSA-N,160,66,187,96
81,brexanolone,ESR2 — Estrogen receptor beta,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,-5.578125,0.25,0.6459083566389705,VOXZDWNPVJITMN-ZBRFXRBCSA-N,273,107,259,59
82,bumetanide,FAAH — Fatty-acid amide hydrolase 1,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,6.359375,0.23376623,0.9197828775980786,GZJINWHOLHWOEE-HNNXBMFYSA-N,88,50,71,30
83,selegiline,ACE — Angiotensin-converting enzyme,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,-0.5136719,0.28,0.5058125925370889,PRAUQXGSSFLOAP-ROUUACIJSA-N,55,7,56,10
84,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,2.3828125,0.17073171,0.11323157963488875,DKZYXHCYPUVGAF-JCNLHEQBSA-N,136,78,146,97
85,pitavastatin,MMP12 — Macrophage metalloelastase,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,-1.109375,0.20987654,0.891881269806106,BICNEVCTASLTLM-DQEYMECFSA-N,59,42,53,36
86,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,0.2055664,0.27710843,0.21525226140460627,GCIKSSRWRFVXBI-UHFFFAOYSA-N,10,15,61,49
87,glimepiride,CA4 — Carbonic anhydrase 4,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,-6.796875,0.26027396,0.7948495395042364,HDCXQTPVTAIPNZ-UHFFFAOYSA-N,329,188,312,137
88,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,9.5,0.11214953,0.505463790516651,PCZOHLXUXFIOCF-BXMDZJJMSA-N,161,228,155,230
