scope,model,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_ge2,drug_macro_ap_ge2,drug_queries_ge10,drug_macro_ap_ge10,drug_p5_ge10,drug_p20_ge20,target_queries_ge2,target_macro_ap_ge2,target_queries_ge10,target_macro_ap_ge10,target_p5_ge10,target_p20_ge20,recall,false_positive_rate,precision,threshold
MERGED488__AB_group_unseen,prior_only,161,37,124,0.22981366459627328,0.2858681596504589,0.5004359197907585,7,0.49238753058162793,4,0.23667817851784884,0.15000000000000002,0.1375,15,0.4666666666666667,0,,,,,,,
BINDINGDB479__all,original_SPR_ranker,479,125,354,0.2609603340292276,0.5846354235729991,0.7340790960451977,18,0.814323443502884,12,0.7631518319209928,0.48333333333333334,0.24583333333333335,45,0.6523222764889431,14,0.4527167277167278,0.3142857142857144,,,,,
BINDINGDB479__all,A_neural,479,125,354,0.2609603340292276,0.8019549524935635,0.9381694915254237,18,0.8130192096263525,12,0.8445288144395287,0.5499999999999999,0.30416666666666675,45,0.8664197530864198,14,0.7508928571428573,0.3857142857142858,,,,,
BINDINGDB479__all,A_plus_neighbor,479,125,354,0.2609603340292276,0.7923799992408521,0.9257853107344632,18,0.8045706859741947,12,0.8318560289612921,0.5333333333333333,0.31250000000000006,45,0.8096296296296299,14,0.6985119047619047,0.4000000000000001,,,,,
BINDINGDB479__all,A_plus_prior,479,125,354,0.2609603340292276,0.8081632892935696,0.935774011299435,18,0.8061320623820624,12,0.8341980935730935,0.5499999999999999,0.3083333333333334,45,0.8664197530864198,14,0.7508928571428573,0.3857142857142858,,,,,
BINDINGDB479__all,A_joint_blend,479,125,354,0.2609603340292276,0.7507264292245698,0.9031186440677966,18,0.8018715860163229,12,0.8278073790244842,0.5499999999999999,0.32083333333333336,45,0.7779938271604938,14,0.6479166666666668,0.4000000000000001,,,,,
BINDINGDB479__all,neighbor_only,479,125,354,0.2609603340292276,0.5511878193993127,0.7165310734463277,18,0.7311025535331668,12,0.72165383029975,0.41666666666666674,0.26666666666666666,45,0.6299162257495591,14,0.4186507936507936,0.2,,,,,
BINDINGDB479__all,prior_only,479,125,354,0.2609603340292276,0.3019925018806509,0.5150621468926554,18,0.4400032885569025,12,0.24333826616868703,0.11666666666666665,0.2125,45,0.34818915652248983,14,0.17969530469530468,0.14285714285714285,,,,,
BINDINGDB479__AB_pair_unseen,original_SPR_ranker,175,41,134,0.2342857142857143,0.623814712480143,0.7428103385511468,8,0.6152206150970974,4,0.5429412301941946,0.35000000000000003,0.175,16,0.8229166666666666,0,,,,,,,
BINDINGDB479__AB_pair_unseen,A_neural,175,41,134,0.2342857142857143,0.5710334526114443,0.8010556971241354,8,0.5949182216592931,4,0.6273364433185862,0.45000000000000007,0.2125,16,0.8385416666666666,0,,,,,,,
BINDINGDB479__AB_pair_unseen,A_plus_neighbor,175,41,134,0.2342857142857143,0.673638337924029,0.8330906443392792,8,0.5776451545530492,4,0.5927903091060985,0.39999999999999997,0.23750000000000002,16,0.8020833333333333,0,,,,,,,
BINDINGDB479__AB_pair_unseen,A_plus_prior,175,41,134,0.2342857142857143,0.580935745191224,0.803421914816163,8,0.5861185689310688,4,0.6097371378621378,0.45000000000000007,0.225,16,0.8385416666666666,0,,,,,,,
BINDINGDB479__AB_pair_unseen,A_joint_blend,175,41,134,0.2342857142857143,0.6479932095032146,0.8112486348744085,8,0.5759372590129169,4,0.5893745180258337,0.45,0.2625,16,0.7864583333333333,0,,,,,,,
BINDINGDB479__AB_pair_unseen,neighbor_only,175,41,134,0.2342857142857143,0.5715514161260681,0.7063159810702585,8,0.5610674976228281,4,0.5596349952456563,0.35,0.225,16,0.7729166666666667,0,,,,,,,
BINDINGDB479__AB_pair_unseen,prior_only,175,41,134,0.2342857142857143,0.27176809000180885,0.5031852930469602,8,0.46208908925892445,4,0.23667817851784884,0.15000000000000002,0.1375,16,0.46770833333333334,0,,,,,,,
BINDINGDB479__AB_group_unseen,original_SPR_ranker,160,36,124,0.225,0.5956608359634432,0.736111111111111,7,0.6673949886823969,4,0.5429412301941946,0.35000000000000003,0.175,15,0.788888888888889,0,,,,,,,
BINDINGDB479__AB_group_unseen,A_neural,160,36,124,0.225,0.5438547079604421,0.8002912186379927,7,0.6441922533249063,4,0.6273364433185862,0.45000000000000007,0.2125,15,0.8722222222222222,0,,,,,,,
BINDINGDB479__AB_group_unseen,A_plus_neighbor,160,36,124,0.225,0.6515987413556575,0.8331093189964158,7,0.6244516052034849,4,0.5927903091060985,0.39999999999999997,0.23750000000000002,15,0.8055555555555556,0,,,,,,,
BINDINGDB479__AB_group_unseen,A_plus_prior,160,36,124,0.225,0.548462772984507,0.8062275985663082,7,0.634135507349793,4,0.6097371378621378,0.45000000000000007,0.225,15,0.8722222222222222,0,,,,,,,
BINDINGDB479__AB_group_unseen,A_joint_blend,160,36,124,0.225,0.6208602280774765,0.8091397849462365,7,0.6224997245861907,4,0.5893745180258337,0.45,0.2625,15,0.788888888888889,0,,,,,,,
BINDINGDB479__AB_group_unseen,neighbor_only,160,36,124,0.225,0.535225004619846,0.6907482078853046,7,0.6055057115689465,4,0.5596349952456563,0.35,0.225,15,0.7388888888888888,0,,,,,,,
BINDINGDB479__AB_group_unseen,prior_only,160,36,124,0.225,0.26437656011628813,0.4870071684587813,7,0.49238753058162793,4,0.23667817851784884,0.15000000000000002,0.1375,15,0.4666666666666667,0,,,,,,,
