arm,panel,scope,pairs,positive,negative,auroc_mean,auroc_sd,ap_mean,ap_sd,brier_mean,brier_sd,top1pct_precision_mean,top1pct_precision_sd,top5pct_precision_mean,top5pct_precision_sd,false_positive_rate_mean,false_positive_rate_sd,precision_mean,precision_sd,recall_mean,recall_sd
all_inactive,EXPLICIT_INACTIVE,all,10649,0,10649,,,,,0.2985845447566608,0.020225797157021046,0.0,0.0,0.0,0.0,0.47131186026856975,0.03744605949474303,0.0,0.0,,
all_inactive,EXPLICIT_INACTIVE,document_disjoint,2788,0,2788,,,,,0.25643999939175544,0.06903397473653118,0.0,0.0,0.0,0.0,0.4100908656145385,0.08615516879537301,0.0,0.0,,
all_inactive,EXPLICIT_INACTIVE,targets_both_arms,10634,0,10634,,,,,0.29851525851593635,0.020009300948492414,0.0,0.0,0.0,0.0,0.47116168265312514,0.03727006102806592,0.0,0.0,,
all_inactive,EXPLICIT_INACTIVE,targets_neither,7,0,7,,,,,0.2667231021432512,0.19437065820850508,0.0,0.0,0.0,0.0,0.4761904761904761,0.21821789023599242,0.0,0.0,,
all_inactive,EXPLICIT_INACTIVE,targets_only_all,8,0,8,,,,,0.41856204252631485,0.16586499940292032,0.0,0.0,0.0,0.0,0.6666666666666666,0.19094065395649332,0.0,0.0,,
kdki_inactive,ACTIVITY_EC50,all,11957,8543,3414,0.6833629159246161,0.007209236480971254,0.8285507962418778,0.0032068645185845345,0.2442707386203933,0.011935175951307475,0.8666666666666667,0.0577350269189625,0.8807134894091416,0.015081102852250472,0.4608474907244679,0.026084481259552,0.7979645010647879,0.002028502870418678,0.7271060127199656,0.03179443197515977
kdki_inactive,ACTIVITY_EC50,document_disjoint,188,166,22,0.7634173055859804,0.01403390723867681,0.9481418054110037,0.010337425418084039,0.12682823890204956,0.006591916750384822,1.0,0.0,1.0,0.0,0.45454545454545453,0.07872958216222173,0.9356580444260801,0.010818815781172482,0.8755020080321284,0.01840391845363791
kdki_inactive,ACTIVITY_EC50,targets_both_arms,10895,7950,2945,0.673478681487651,0.0046963241762610335,0.8347086100215831,0.0019085174719141384,0.245655588539586,0.011395883597850442,0.8685015290519879,0.05826470606500821,0.8868501529051988,0.010105634031717593,0.48522920203735137,0.03042603985649957,0.8025998446992927,0.0029754925242671975,0.730398322851153,0.03175355372638961
kdki_inactive,ACTIVITY_EC50,targets_neither,2,0,2,,,,,0.38443471122828515,0.29879608562094434,0.0,0.0,0.0,0.0,0.6666666666666666,0.28867513459481287,0.0,0.0,,
kdki_inactive,ACTIVITY_EC50,targets_only_all,1060,593,467,0.7375338983356866,0.027839312085928894,0.7320292363900576,0.032854942834610684,0.2297723727573557,0.01753592208335205,0.6666666666666666,0.10497277621629564,0.710691823899371,0.10391642542049252,0.3062098501070663,0.006423982869379008,0.7388070672333296,0.009380806143739135,0.6829679595278245,0.03797075969375279
