scope,model,direction,known_ap,known_mrr,known_recall_5,known_recall_10,known_recall_20,known_ndcg_20,known_queries,known_pairs,candidate_count,observed_ap,observed_auroc,observed_two_class_queries
original_test_old_drugs,signed_ensemble,target_to_drug,0.34494986796267146,0.3717425440974529,0.47660818713450287,0.5730994152046783,0.6842105263157895,0.4264036795155957,57,71,54,0.7510683760683761,0.8263656633221851,26
original_test_old_drugs,positive_nearest,drug_to_target,0.6617441870769103,0.6771733966702622,0.7019607843137255,0.7490196078431373,0.7549019607843137,0.6900168834530199,34,71,384,0.8730125830183038,0.8949577203710268,20
original_test_old_drugs,positive_nearest,target_to_drug,0.6014307447817391,0.6142126996689571,0.6929824561403509,0.7105263157894737,0.8771929824561403,0.6636446178306865,57,71,54,0.7815934065934065,0.8098256815648119,26
original_test_old_drugs,pn_logistic,drug_to_target,0.5808273588253198,0.6200425754513702,0.6333333333333333,0.6843137254901961,0.7122549019607842,0.6230656916407185,34,71,384,0.8978331397704462,0.8992303568966875,20
original_test_old_drugs,pn_logistic,target_to_drug,0.5232178308975671,0.5388498596874907,0.5818713450292398,0.6403508771929824,0.6929824561403509,0.5613645952899698,57,71,54,0.8326923076923076,0.8396270396270397,26
old_drugs_absent_from_binary_relations,v3_support_ensemble,drug_to_target,0.31012559044145316,0.3393725269629804,0.3962466105323248,0.42345749488606627,0.46898339755482615,0.349827873264755,91,188,384,,,0
old_drugs_absent_from_binary_relations,v3_support_ensemble,target_to_drug,0.31780856636875404,0.39587106375914277,0.3119598765432099,0.36940586419753085,0.4349922839506173,0.3524008988560438,72,188,223,,,0
old_drugs_absent_from_binary_relations,morgan_ensemble,drug_to_target,0.11004079848339446,0.1098339169632455,0.14560439560439561,0.21781789638932494,0.3073355216212359,0.1483163540761148,91,188,384,,,0
old_drugs_absent_from_binary_relations,morgan_ensemble,target_to_drug,0.13186287184854478,0.13422101521917912,0.15694444444444444,0.21990740740740738,0.31296296296296294,0.165447517113951,72,188,223,,,0
old_drugs_absent_from_binary_relations,bermol_ensemble,drug_to_target,0.12559068174891305,0.12818765368672938,0.19155844155844154,0.26764901764901766,0.35472860472860474,0.1749197820074877,91,188,384,,,0
old_drugs_absent_from_binary_relations,bermol_ensemble,target_to_drug,0.09340561222509697,0.09937998429927271,0.08726851851851852,0.16967592592592592,0.29097222222222224,0.12901130169629602,72,188,223,,,0
old_drugs_absent_from_binary_relations,signed_ensemble,drug_to_target,0.16978716800060034,0.18116501613466857,0.23285048285048282,0.296037296037296,0.41242091242091244,0.2247982098137761,91,188,384,,,0
old_drugs_absent_from_binary_relations,signed_ensemble,target_to_drug,0.13436519443168887,0.14163881223052624,0.12361111111111112,0.23148148148148145,0.354320987654321,0.17812903626622145,72,188,223,,,0
old_drugs_absent_from_binary_relations,positive_nearest,drug_to_target,0.45254806191119584,0.47826353415359385,0.5649707435421721,0.5750440036154322,0.6059178916321775,0.49347072850798823,91,188,384,,,0
old_drugs_absent_from_binary_relations,positive_nearest,target_to_drug,0.4556512925575076,0.5751952016335914,0.5228780864197531,0.5871913580246912,0.6097608024691357,0.5124010813807715,72,188,223,,,0
old_drugs_absent_from_binary_relations,pn_logistic,drug_to_target,0.3950713665170547,0.4064825536906709,0.46127681841967555,0.5181841967556253,0.5701203558346415,0.436007182749979,91,188,384,,,0
old_drugs_absent_from_binary_relations,pn_logistic,target_to_drug,0.4220276639217986,0.5028917978155683,0.48564814814814816,0.552469135802469,0.5611496913580246,0.46882930865480865,72,188,223,,,0
