drug_id,target_id,drug_name,gene,biomaster,biomaster_reverse,drugclip,dtiam,conplex,dtbind,nesso,probematch,biomaster_forward,nesso_pic50,biomaster_rank,drugclip_rank,dtiam_rank,conplex_rank,nesso_rank,probematch_rank,dtbind_rank,nesso_pic50_rank
BTCRKOKVYTVOLU-SJSRKZJXSA-N,CHEMBL1871,bexagliflozin,AR,-11.900027,-11.900027,0.30811396,0.46213531,0.0,0.9999052286148072,0.3757288455963135,0.992542028427124,-11.162334,5.640854179859161,598.0,116.0,322.0,620.0,179.0,240.0,32.0,379.0
BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL1871,memantine,AR,-11.376694,-11.376694,0.26966083,0.3804915,0.10379678,0.1240130811929702,0.0254787839949131,1.0,-11.725005,5.3495535254478455,571.0,147.0,405.0,195.0,621.0,6.0,464.0,536.0
BYBLEWFAAKGYCD-UHFFFAOYSA-N,CHEMBL1871,miconazole,AR,-10.548581,-10.548581,0.21046466,0.39619094,0.0008916245,0.0908638387918472,0.3828925788402557,0.9957213401794434,-10.062721,6.000814199447632,521.0,206.0,388.0,492.0,177.0,207.0,480.0,230.0
BZZKEPGENYLQSC-FIBGUPNXSA-N,CHEMBL1871,deucravacitinib,AR,-14.635872,-14.635872,-0.14137633,0.6785189,0.0,0.0244358349591493,0.010747181251645,0.9990074038505554,-15.404834,5.574984550476074,701.0,628.0,138.0,620.0,684.0,132.0,552.0,416.0
BZZKEPGENYLQSC-UHFFFAOYSA-N,CHEMBL1871,deucravacitinib,AR,-14.176925,-14.176925,-0.16592984,0.66590387,0.0,0.0360570177435874,0.0205574855208396,0.986517071723938,-15.1846485,5.459534168243408,689.0,655.0,145.0,620.0,640.0,266.0,524.0,475.0
CAVRKWRKTNINFF-UHFFFAOYSA-N,CHEMBL1871,tradipitant,AR,-12.468658,-12.468658,0.2777761,0.3015495,0.0,0.1530791074037552,0.1562049686908722,0.9390206933021544,-12.3465185,5.628324806690216,624.0,141.0,483.0,620.0,296.0,348.0,447.0,389.0
CBRJPFGIXUFMTM-WDEREUQCSA-N,CHEMBL1871,ritlecitinib,AR,-13.506459,-13.506459,-0.097901285,0.6823537,0.0,0.5997309684753418,0.258559912443161,0.0114139523357152,-16.204298,5.946233980357647,666.0,580.0,136.0,620.0,227.0,637.0,347.0,248.0
CEFJVGZHQAGLHS-UHFFFAOYSA-N,CHEMBL1871,ripretinib,AR,-14.179148,-14.179148,0.048131704,0.8173796,0.006483885,0.0082220844924449,0.0685166344046592,0.9726732969284058,-16.30287,5.979949377477169,690.0,379.0,48.0,442.0,460.0,302.0,602.0,238.0
CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL1871,aripiprazole;aripiprazole lauroxil,AR,-7.171795,-7.171795,0.09321734,0.28810084,0.09619777,0.3079406321048736,0.1277422159910202,0.8055413365364075,-7.366277,6.365078091621399,331.0,323.0,491.0,212.0,343.0,421.0,407.0,126.0
CGIGDMFJXJATDK-UHFFFAOYSA-N,CHEMBL1871,indomethacin,AR,-2.709558,-2.709558,0.12556905,0.24581073,0.11251713,0.8774370551109314,0.0803133472800254,0.0038639451377093,-2.6742208,4.698370695114136,99.0,287.0,551.0,175.0,433.0,656.0,299.0,706.0
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1871,darunavir,AR,-9.572827,-9.572827,0.13740884,0.48473477,0.0033688752,0.9993419051170348,0.204783022403717,0.1726569682359695,-8.654511,6.075414560735226,458.0,273.0,304.0,466.0,251.0,550.0,131.0,195.0
CJOFXWAVKWHTFT-XSFVSMFZSA-N,CHEMBL1871,fluvoxamine,AR,-8.171643,-8.171643,-0.059190225,0.46149546,0.16544423,0.9991077780723572,0.8464374542236328,0.9731935262680054,-7.9908166,5.9540112763643265,380.0,535.0,323.0,116.0,65.0,300.0,143.0,244.0
CMHHMUWAYWTMGS-UHFFFAOYSA-N,CHEMBL1871,benoxinate,AR,-10.220626,-10.220626,-0.1634338,0.12762107,0.04776398,0.9831224083900452,0.0414370968937873,0.0020802915096282,-8.8270035,5.431912660598755,503.0,652.0,689.0,313.0,565.0,667.0,221.0,490.0
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CHEMBL1871,encorafenib,AR,-3.2683768,-3.2683768,0.29911792,0.88168633,0.05527765,0.133043959736824,0.0174211021512746,0.9551399946212769,-7.2165933,6.000674098730087,121.0,125.0,14.0,287.0,652.0,332.0,459.0,231.0
CMWTZPSULFXXJA-VIFPVBQESA-N,CHEMBL1871,naproxen,AR,-5.508556,-5.508556,-0.0045289136,0.1842947,0.0,0.8412911891937256,0.0229913610965013,0.0014027346624061,-5.316625,5.042783975601196,239.0,456.0,631.0,620.0,632.0,673.0,311.0,641.0
