arm,view,baseline_variant,direction,metric,queries,seeds,baseline,dtiam,delta,ci95_low,ci95_high,scope
kdki_inactive,native,binary,target,ap,516,3,0.6979201832925586,0.6995231182207802,0.0016029349282216524,-0.01027146198168512,0.012569461848548576,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,native,joint,target,p20,404,3,0.5684818481848185,0.5768151815181517,0.008333333333333335,0.0043729372937293745,0.012336014851485142,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,target,ap,516,3,0.6694492775316202,0.6977071337430252,0.02825785621140491,0.019300744499906188,0.03765635950250067,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,target,p5,516,3,0.6149870801033591,0.6364341085271318,0.02144702842377261,0.013175064599483203,0.029977390180878548,paired query bootstrap conditional on three seeds; no multiple-comparison correction
all_inactive,query,joint,target,p20,404,3,0.5684818481848185,0.5766501650165017,0.008168316831683169,0.004001650165016503,0.012334983498349833,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,binary,drug,ap,54,3,0.6084496892327746,0.6730775796023567,0.06462789036958239,0.028148549218022012,0.10703231691985739,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,binary,drug,p5,54,3,0.5790123456790124,0.6345679012345679,0.055555555555555566,0.01728395061728397,0.09506172839506173,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,binary,drug,p20,30,3,0.26333333333333336,0.27666666666666667,0.013333333333333341,-0.006680555555555565,0.03277777777777779,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,drug,ap,54,3,0.6084496892327746,0.6682117450968553,0.059762055864080836,0.02259909167031858,0.10407478873491943,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,drug,p5,54,3,0.5790123456790124,0.6296296296296297,0.050617283950617285,0.013580246913580256,0.08891975308641961,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,query,binary,drug,p20,30,3,0.26333333333333336,0.27055555555555555,0.007222222222222233,-0.013347222222222215,0.027222222222222228,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,drug,ap,54,3,0.6274077337161534,0.6730775796023567,0.04566984588620333,0.0077757731138741164,0.0862235321818526,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,drug,p5,54,3,0.5740740740740742,0.6345679012345679,0.06049382716049383,0.02839506172839507,0.09382716049382715,paired query bootstrap conditional on three seeds; no multiple-comparison correction
kdki_inactive,native,joint,drug,p20,30,3,0.26166666666666666,0.27666666666666667,0.01500000000000001,0.0011111111111111146,0.028888888888888898,paired query bootstrap conditional on three seeds; no multiple-comparison correction
