arm,view,panel,scope,pairs_mean,pairs_std,positive_mean,positive_std,negative_mean,negative_std,ap_mean,ap_std,auroc_mean,auroc_std,false_positive_rate_mean,false_positive_rate_std,top1pct_precision_mean,top1pct_precision_std,top5pct_precision_mean,top5pct_precision_std
all_inactive,query,ACTIVITY_EC50,document_disjoint,188.0,0.0,166.0,0.0,22.0,0.0,0.9731743619073118,0.008626053256375077,0.8630887185104053,0.03225880824883829,0.2878787878787879,0.10497277621629561,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_EC50,old_parent_pair_unseen,11538.0,0.0,8197.0,0.0,3341.0,0.0,0.9705498294145994,0.0009526150214732515,0.9400454165861364,0.00195477351625446,0.16831288037513717,0.008830114455422726,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,0.0,166.0,0.0,22.0,0.0,0.9731743619073118,0.008626053256375077,0.8630887185104053,0.03225880824883829,0.2878787878787879,0.10497277621629561,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_EC50,raw_source_assay_disjoint,535.0,0.0,359.0,0.0,176.0,0.0,0.8761315474718004,0.004824952743074767,0.7952593483582341,0.0024556700774508423,0.36742424242424243,0.01640199628379619,1.0,0.0,0.9876543209876543,0.021383343303319497
all_inactive,query,ACTIVITY_EC50,spr112_targets,1412.0,0.0,1010.0,0.0,402.0,0.0,0.9604988872525145,0.003152545203397547,0.9174593205589217,0.006732328799899033,0.2603648424543947,0.018336106457293538,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_EC50,targets_both_arms,10895.0,0.0,7950.0,0.0,2945.0,0.0,0.9699718484040766,0.0009003308841939738,0.9337356639722659,0.0020471000475706176,0.1858517260894171,0.009701713962240944,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_EC50,targets_neither,2.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
all_inactive,query,ACTIVITY_EC50,targets_only_all,1060.0,0.0,593.0,0.0,467.0,0.0,0.9745570581867646,0.0018772924703023644,0.9718991373302375,0.0017606866326900963,0.07780157030692363,0.0032709319735587795,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_IC50,all,85704.0,0.0,65173.0,0.0,20531.0,0.0,0.9856335122510377,0.000519805405078197,0.9590655607868029,0.0012808325516179165,0.158199795431299,0.008120029568881871,1.0,0.0,0.999377819256494,0.00013470608240542695
all_inactive,query,ACTIVITY_IC50,document_disjoint,995.0,0.0,509.0,0.0,486.0,0.0,0.8672664063089505,0.005578750263186362,0.8549881286365314,0.007430663286678981,0.15843621399176955,0.01793785573473528,0.9666666666666667,0.05773502691896256,0.98,0.0
all_inactive,query,ACTIVITY_IC50,old_parent_pair_unseen,59008.0,0.0,41208.0,0.0,17800.0,0.0,0.981418281251636,0.0007578511741936407,0.9599603207387823,0.001403943254719909,0.14971910112359552,0.008280944612865946,1.0,0.0,0.9990963515192589,0.00019564563510321778
all_inactive,query,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,0.0,508.0,0.0,486.0,0.0,0.8677263638399131,0.005628143505646331,0.8559015964053875,0.00755328880783301,0.15843621399176955,0.01793785573473528,0.9666666666666667,0.05773502691896256,0.98,0.0
all_inactive,query,ACTIVITY_IC50,raw_source_assay_disjoint,4176.0,0.0,2130.0,0.0,2046.0,0.0,0.8150126466636894,0.004189216397878821,0.8133505278439399,0.003303464562712178,0.2626262626262626,0.011662124580106388,0.9444444444444443,0.013746434980705326,0.9330143540669856,0.02664002087478483
all_inactive,query,ACTIVITY_IC50,spr112_targets,18916.0,0.0,15215.0,0.0,3701.0,0.0,0.9829632139906632,0.0009233280170585803,0.9391237114759893,0.002866908412765109,0.2456092947851932,0.012566350666558762,1.0,0.0,0.9996476391825229,0.0006103068384668337
all_inactive,query,ACTIVITY_IC50,targets_both_arms,79864.0,0.0,61668.0,0.0,18196.0,0.0,0.9859307981649867,0.0005103532245170191,0.9573990080001549,0.0013171202582363912,0.16937788524950537,0.008597059457782164,1.0,0.0,0.99933233183108,0.00014455439889580788
all_inactive,query,ACTIVITY_IC50,targets_neither,26.0,0.0,10.0,0.0,16.0,0.0,0.5830566381888901,0.02209908712706458,0.5750000000000001,0.05000000000000002,0.25,0.125,1.0,0.0,1.0,0.0
all_inactive,query,ACTIVITY_IC50,targets_only_all,5814.0,0.0,3495.0,0.0,2319.0,0.0,0.9799978863523439,0.0008248573349995182,0.9705324532901168,0.0012712425702897585,0.06985769728331177,0.004312203536006901,1.0,0.0,1.0,0.0
all_inactive,query,AFFINITY_KD_KI,all,34327.0,0.0,23190.0,0.0,11137.0,0.0,0.9585714859316674,0.0008006416873886817,0.9173030732313503,0.0013457219352847527,0.2752087635808566,0.020808809162950356,1.0,0.0,0.999805862939235,0.0003362552528769082
all_inactive,query,AFFINITY_KD_KI,document_disjoint,503.0,0.0,331.0,0.0,172.0,0.0,0.9220349888052574,0.00392844228679632,0.8838409564626807,0.002213259518271031,0.21511627906976746,0.020962507415488312,1.0,0.0,0.9743589743589745,0.022205779584216406
all_inactive,query,AFFINITY_KD_KI,old_parent_pair_unseen,27439.0,0.0,18074.0,0.0,9365.0,0.0,0.9601586405521677,0.0012571013121845016,0.9242968236237794,0.0022218481672178834,0.2439224061220858,0.020833524198682434,1.0,0.0,0.999757045675413,0.00042080923410323996
all_inactive,query,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,0.0,324.0,0.0,164.0,0.0,0.9288181973318044,0.004048687423997645,0.8932017213690656,0.00147950722844387,0.18902439024390247,0.021985068752829195,1.0,0.0,0.9733333333333333,0.023094010767585042
all_inactive,query,AFFINITY_KD_KI,raw_source_assay_disjoint,3381.0,0.0,2378.0,0.0,1003.0,0.0,0.8609873317710234,0.0026776700987900695,0.7300559074109323,0.00696918890442014,0.2731804586241276,0.04643322441553345,0.9901960784313726,0.01698089027028312,0.9549019607843138,0.006792356108113301
all_inactive,query,AFFINITY_KD_KI,spr112_targets,4910.0,0.0,3714.0,0.0,1196.0,0.0,0.9690010845706934,0.0009425939560750038,0.9132024927224056,0.00248093536926075,0.36594202898550726,0.0195253956389487,1.0,0.0,1.0,0.0
