molregno,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls
674652,CHEMBL1200701,DICLOXACILLIN SODIUM,SIGZQNJITOWQEF-VICXVTCVSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA062286; ANDA216845,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=062286; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216845
674654,CHEMBL1200703,CHLORDIAZEPOXIDE HYDROCHLORIDE,DMLFJMQTNDSRFU-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA083116; ANDA084041; ANDA084678; ANDA084679; ANDA084768; ANDA084769; ANDA085461; ANDA085472; ANDA085475; ANDA210579; ANDA211421; ANDA212344; ANDA213530; ANDA214065; ANDA214698; ANDA215453; ANDA215555; ANDA215835; ANDA216419; ANDA216969; NDA012750,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083116; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=084041; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=084678
674661,CHEMBL1200710,CLOMIPRAMINE HYDROCHLORIDE,WIMWMKZEIBHDTH-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074364; ANDA074694; ANDA074953; ANDA208961; ANDA209294; ANDA211364; ANDA211767; ANDA211822; ANDA212218; ANDA212285; ANDA213219; ANDA216440; NDA019906,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074364; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074694; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074953
674662,CHEMBL1200711,OMEGA-3-ACID ETHYL ESTERS,DTMGIJFHGGCSLO-FIAQIACWSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA091028; ANDA203893; ANDA206455; ANDA207420; ANDA210093; ANDA211345; ANDA211355; ANDA211979; ANDA212504; ANDA215458; NDA021654,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091028; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203893; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206455
674669,CHEMBL1200718,MAGNESIUM HYDROXIDE,VTHJTEIRLNZDEV-UHFFFAOYSA-L,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA077355; NDA020958,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077355; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020958
674675,CHEMBL1200724,PSEUDOEPHEDRINE HYDROCHLORIDE,BALXUFOVQVENIU-KXNXZCPBSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074567; ANDA075153; ANDA076518; ANDA076667; ANDA077170; ANDA077381; ANDA077442; ANDA077628; ANDA077991; ANDA079043; ANDA088704; ANDA090818; ANDA090922; ANDA091071; ANDA202940; ANDA203375; ANDA203997; ANDA205292; ANDA207676; ANDA208369; ANDA209008; ANDA209116; ANDA209235; ANDA210647; ANDA210719; ANDA211170; ANDA211360; ANDA212542; ANDA213125; ANDA213203; ANDA213565; ANDA214407; ANDA215232; ANDA215434; ANDA216792; ANDA218854; NDA019771; NDA019899; NDA020786; NDA021128; NDA021150; NDA021373; NDA021374; NDA021441; NDA021585; NDA021587; NDA021704,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074567; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075153; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076518
674676,CHEMBL1200725,SERTACONAZOLE NITRATE,HAAITRDZHUANGT-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA021385,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021385
674682,CHEMBL1200731,POTASSIUM CHLORIDE,WCUXLLCKKVVCTQ-UHFFFAOYSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074726; ANDA075323; ANDA075604; ANDA076368; ANDA076491; ANDA077419; ANDA078446; ANDA080205; ANDA085870; ANDA088901; ANDA088908; ANDA090019; ANDA090145; ANDA090186; ANDA090231; ANDA091387; ANDA202128; ANDA203562; ANDA204558; ANDA204559; ANDA204662; ANDA204828; ANDA205993; ANDA206347; ANDA206759; ANDA208445; ANDA208864; ANDA209026; ANDA209314; ANDA209338; ANDA209662; ANDA209688; ANDA209786; ANDA209922; ANDA210041; ANDA210200; ANDA210241; ANDA210332; ANDA210395; ANDA210733; ANDA210766; ANDA210902; ANDA210921; ANDA211087; ANDA211648; ANDA211667; ANDA211797; ANDA211992; ANDA212183; ANDA212346; ANDA212347; ANDA212348; ANDA212561; ANDA212816; ANDA212987; ANDA213062; ANDA213392; ANDA213445; ANDA213467; ANDA213523; ANDA214108; ANDA214395; ANDA214422; ANDA214452; ANDA214623; ANDA214656; ANDA214686; ANDA214727; ANDA214892; ANDA215371; ANDA215716; ANDA215725; ANDA216095; ANDA216156; ANDA216269; ANDA216321; ANDA216536; ANDA217412; ANDA217704; ANDA218733; ANDA218960; ANDA218979; ANDA219009; NDA016679; NDA016682; NDA016693; NDA017378; NDA017484; NDA017586; NDA017608; NDA017609; NDA017634; NDA017635; NDA017637; NDA017641; NDA017648; NDA018008; NDA018037; NDA018156; NDA018251; NDA018336; NDA018362; NDA018365; NDA018371; NDA018469; NDA018494; NDA018495; NDA018508; NDA018608; NDA018629; NDA018681; NDA018895; NDA018921; NDA019011; NDA019024; NDA019123; NDA019308; NDA019367; NDA019416; NDA019513; NDA019630; NDA019632; NDA019634; NDA019685; NDA019686; NDA019691; NDA019696; NDA019699; NDA019708; NDA019711; NDA019797; NDA019873; NDA019904; NDA020002; NDA020161; NDA020577; NDA020742; NDA021703; NDA021881; NDA200656; NDA206814; NDA207026; NDA208019; NDA209381; NDA213135; NDA215344,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074726; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075323; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075604
674683,CHEMBL1200732,AMCINONIDE,ILKJAFIWWBXGDU-MOGDOJJUSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076096; ANDA076229; ANDA076329,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076096; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076229; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076329
674684,CHEMBL1200733,DESFLURANE,DPYMFVXJLLWWEU-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA020118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020118
