pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,sequence_target_id,in_frozen384,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive,排序,A药内排名_384,B药内排名_384
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,JQSHBVHOMNKWFT-DTORHVGOSA-N,varenicline,CHEMBL4245,ESRRG,SEQ:47f215840b7ee1171d9fe5b93552ff6be5333e0e7dd49eee0d8b106793ccbc2c,True,True,2,59,0,59,57,273,167,106,57,110,105,177
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,UCJGJABZCDBEDK-UHFFFAOYSA-N,bazedoxifene,CHEMBL1947,THRB,SEQ:94438bfcc4ab0fe4309b0436589d66e5d9aa4804cf0e4c4c7d2745ad7dabbaf4,True,True,2,86,84,2,1,479,343,136,1,111,297,118
HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,talazoparib,CHEMBL3717,MET,SEQ:cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,True,True,2,576,291,285,256,4527,3872,655,256,112,41,71
SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,relebactam,CHEMBL4588,MMP8,SEQ:105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,True,True,5,248,203,45,7,761,558,203,7,113,3,2
JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,JUZYLCPPVHEVSV-LJQANCHMSA-N,elvitegravir,CHEMBL1824,ERBB2,SEQ:a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,True,True,2,176,23,153,111,2305,1802,503,111,114,213,298
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CHEMBL4142,FGFR2,SEQ:c81b4e9e806e0ace9f779e65477e6c988dea6cad5eecfbcb35f2364c5fc884dd,True,True,2,165,35,130,106,3306,2779,527,106,115,65,56
DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,DHSUYTOATWAVLW-WFVMDLQDSA-N,cilastatin,CHEMBL235,PPARG,SEQ:1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20,True,True,4,412,210,202,151,2927,1936,991,151,116,96,207
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,117,143,13
AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,118,107,47
FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,FELGMEQIXOGIFQ-UHFFFAOYSA-N,ondansetron,CHEMBL2243,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,True,10,207,194,13,1,1893,1369,524,1,119,47,70
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,WIGIZIANZCJQQY-RUCARUNLSA-N,glimepiride,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,120,35,125
YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,YBBLVLTVTVSKRW-UHFFFAOYSA-N,anastrozole,CHEMBL4247,ALK,SEQ:74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,True,True,2,273,115,158,129,1832,1475,357,129,121,271,93
ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,ZISJNXNHJRQYJO-CMDGGOBGSA-N,tapinarof,CHEMBL215,ALOX5,SEQ:48dadd9917c0a709ac9463f4394ce35885b7791bd3cbd6398c60f27e34d6eab6,True,True,2,38,7,31,26,1420,916,504,26,122,341,30
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,CMHHMUWAYWTMGS-UHFFFAOYSA-N,benoxinate,CHEMBL202,DHFR,SEQ:f01679b357e85183133b6e765b5bbb10fb34aac343f1185d3cae27b684632907,True,True,7,184,136,48,0,825,515,310,0,123,231,52
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,CHEMBL3535,PDE9A,SEQ:bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,True,True,9,70,55,15,3,775,638,137,3,124,118,376
MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,MKXZASYAUGDDCJ-NJAFHUGGSA-N,dextromethorphan,CHEMBL2252,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,True,True,8,1,0,1,0,298,267,31,0,125,88,115
SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,SUDAHWBOROXANE-SECBINFHSA-N,mirdametinib,CHEMBL202,DHFR,SEQ:f01679b357e85183133b6e765b5bbb10fb34aac343f1185d3cae27b684632907,True,True,7,184,136,48,0,825,515,310,0,126,94,120
IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,apremilast,CHEMBL2148,JAK3,SEQ:18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,True,True,3,913,787,126,88,5467,4473,994,88,127,13,168
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,WCWSTNLSLKSJPK-LKFCYVNXSA-N,cabotegravir,CHEMBL288,PDE4D,SEQ:b670d96ac031d642bcd46a7d3df563138ff90dbe4e385dcc2b475467300706ea,True,True,3,102,53,49,27,1887,1508,379,27,128,51,202
WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,WIJZXSAJMHAVGX-DHLKQENFSA-N,ivosidenib,CHEMBL262,GSK3B,SEQ:2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,True,True,4,484,156,328,287,4349,2021,2328,287,129,251,375
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,AYXYPKUFHZROOJ-ZETCQYMHSA-N,pregabalin,CHEMBL3439,ENPEP,SEQ:462359258ec669436763287109f8c6e8b5abc18eaea3865a9f123c8852a40ea4,True,True,1,6,4,2,0,6,4,2,0,130,38,216
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,RUOKEQAAGRXIBM-GFCCVEGCSA-N,rasagiline,CHEMBL2179,GBA1,SEQ:38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846,True,True,2,131,89,42,4,388,226,162,4,131,142,46
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,WAEXFXRVDQXREF-UHFFFAOYSA-N,vorinostat,CHEMBL4791,ECE1,SEQ:e3eb0529ac8c161622b5b757f7a6500333d7b1781b474e1e4b71785d579f4a31,True,True,1,23,17,6,4,104,74,30,4,132,116,110
CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,True,10,360,248,112,1,431,310,121,1,133,134,100
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,QNZCBYKSOIHPEH-UHFFFAOYSA-N,apixaban,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,134,138,223
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,UVSMNLNDYGZFPF-UHFFFAOYSA-N,pomalidomide,CHEMBL4898,NTRK2,SEQ:5700fd20b890228dc7e812e55ae9c8c398a6acd114445a1139ed0655f81a77ad,True,True,5,160,31,129,91,582,364,218,91,135,150,71
FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,FASDKYOPVNHBLU-ZETCQYMHSA-N,pramipexole,CHEMBL205,CA2,SEQ:e6a24c903c1ef211037c64a6835a8a484f48b17be1cae50d6998913f21acf7d4,True,True,6,6425,5271,1154,14,6844,5571,1273,14,136,20,1
WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,WXCXUHSOUPDCQV-UHFFFAOYSA-N,enzalutamide,CHEMBL5145,BRAF,SEQ:1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,True,True,3,593,301,292,276,3382,2846,536,276,137,29,62
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,CHEMBL2023,COMT,SEQ:fc502f28a5134139f882e1cd5f20b4d641ea2c1f06edf89614d705d32c7fe408,True,True,3,17,12,5,0,134,106,28,0,138,140,66
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,BUGYDGFZZOZRHP-UHFFFAOYSA-N,memantine,CHEMBL1871,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,True,7,726,610,116,80,2081,1551,530,80,139,34,3
DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,CHEMBL2179,GBA1,SEQ:38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846,True,True,2,131,89,42,4,388,226,162,4,140,34,204
