ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL2041,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL2068,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Ephrin type-A receptor 2 inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL2815,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Nerve growth factor receptor Trk-A inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL3650,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL3961,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,MAP kinase p38 beta inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL4128,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL4142,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Fibroblast growth factor receptor 2 inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL4223,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Tyrosine-protein kinase FRK inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL5122,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor,True
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL5145,True,EXACT_MODEL_SPECIES,CHEMBL1946170,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,True
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL3076,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201775,ACTIVATOR,Phenylalanine-4-hydroxylase activator,True
FWLMVFUGMHIOAA-UHFFFAOYSA-N,CHEMBL2695,True,EXACT_MODEL_SPECIES,CHEMBL3137331,INHIBITOR,Focal adhesion kinase 1 inhibitor,True
FWLMVFUGMHIOAA-UHFFFAOYSA-N,CHEMBL5469,True,EXACT_MODEL_SPECIES,CHEMBL3137331,INHIBITOR,Protein tyrosine kinase 2 beta inhibitor,True
FWZAWAUZXYCBKZ-NSHDSACASA-N,CHEMBL5251,True,EXACT_MODEL_SPECIES,CHEMBL4650485,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,True
GBLBJPZSROAGMF-RWYJCYHVSA-N,CHEMBL2041,True,EXACT_MODEL_SPECIES,CHEMBL4582651,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
GBXSMTUPTTWBMN-XIRDDKMYSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200659;CHEMBL3989406,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL208,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1531;CHEMBL1533,AGONIST,Progesterone receptor agonist,True
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1886,True,EXACT_MODEL_SPECIES,CHEMBL181,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",True
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL4770,True,EXACT_MODEL_SPECIES,CHEMBL181,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",True
GEJDGVNQKABXKG-CFKGEZKQSA-N,CHEMBL1893,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2364639;CHEMBL3707248,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
GFNANZIMVAIWHM-OBYCQNJPSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200449;CHEMBL1200878;CHEMBL1451,AGONIST,Glucocorticoid receptor agonist,True
GJJFMKBJSRMPLA-DZGCQCFKSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105732,INHIBITOR,Norepinephrine transporter inhibitor,True
GJJFMKBJSRMPLA-DZGCQCFKSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105732,INHIBITOR,Serotonin transporter inhibitor,True
GKHIVNAUVKXIIY-UHFFFAOYSA-N,CHEMBL2973,True,EXACT_MODEL_SPECIES,CHEMBL2005186,INHIBITOR,Rho-associated protein kinase 2 inhibitor,True
GLYMPHUVMRFTFV-QLFBSQMISA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL4113131,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
GMRQFYUYWCNGIN-NKMMMXOESA-N,CHEMBL1977,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1601669;CHEMBL846,AGONIST,Vitamin D receptor agonist,True
GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL261,True,EXACT_MODEL_SPECIES,CHEMBL1201117,INHIBITOR,Carbonic anhydrase I inhibitor,True
GPNHMOZDMYNCPO-PDUMRIMRSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL3590187,ANTAGONIST,Androgen Receptor antagonist,True
GPXBXXGIAQBQNI-UHFFFAOYSA-N,CHEMBL5145,True,EXACT_MODEL_SPECIES,CHEMBL1229517,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,True
GYDJEQRTZSCIOI-LJGSYFOKSA-N,CHEMBL1801,True,EXACT_MODEL_SPECIES,CHEMBL877,INHIBITOR,Plasminogen inhibitor,True
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3301603;CHEMBL3301622,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL4895,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3301603;CHEMBL3301622,INHIBITOR,Tyrosine-protein kinase receptor UFO inhibitor,True
GZOSMCIZMLWJML-VJLLXTKPSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL254328,ANTAGONIST,Androgen Receptor antagonist,True
GZOSMCIZMLWJML-VJLLXTKPSA-N,CHEMBL3522,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL254328;CHEMBL271227,INHIBITOR,Cytochrome P450 17A1 inhibitor,True
GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL206,True,EXACT_MODEL_SPECIES,CHEMBL81,MODULATOR,Estrogen receptor modulator,True
GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL242,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1116,MODULATOR,Estrogen receptor beta modulator,True
HAYYBYPASCDWEQ-UHFFFAOYSA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL1983268,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
HAYYBYPASCDWEQ-UHFFFAOYSA-N,CHEMBL5568,True,EXACT_MODEL_SPECIES,CHEMBL1983268,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,True
HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL2742,True,EXACT_MODEL_SPECIES,CHEMBL4297522,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor,True
HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL3650,True,EXACT_MODEL_SPECIES,CHEMBL4297522,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,True
HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL4142,True,EXACT_MODEL_SPECIES,CHEMBL4297522,INHIBITOR,Fibroblast growth factor receptor 2 inhibitor,True
HCRKCZRJWPKOAR-JTQLQIEISA-N,CHEMBL205,True,EXACT_MODEL_SPECIES,CHEMBL220491,INHIBITOR,Carbonic anhydrase II inhibitor,True
