ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CHEMBL1908,True,EXACT_MODEL_SPECIES,CHEMBL295698,INHIBITOR,Cytochrome P450 11B1 inhibitor,True
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CHEMBL2033,True,EXACT_MODEL_SPECIES,CHEMBL295698,INHIBITOR,Cytochrome P450 11A1 inhibitor,True
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CHEMBL2722,True,EXACT_MODEL_SPECIES,CHEMBL295698,INHIBITOR,Cytochrome P450 11B2 inhibitor,True
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CHEMBL3522,True,EXACT_MODEL_SPECIES,CHEMBL295698,INHIBITOR,Cytochrome P450 17A1 inhibitor,True
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200386;CHEMBL131;CHEMBL635,AGONIST,Glucocorticoid receptor agonist,True
XSFJVAJPIHIPKU-XWCQMRHXSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL1512,AGONIST,Glucocorticoid receptor agonist,True
XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,CHEMBL3884,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594217,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,True
XUKUURHRXDUEBC-KAYWLYCHSA-N,CHEMBL402,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL393220,INHIBITOR,HMG-CoA reductase inhibitor,True
XUZMWHLSFXCVMG-UHFFFAOYSA-N,CHEMBL2835,True,EXACT_MODEL_SPECIES,CHEMBL2105759,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,True
XUZMWHLSFXCVMG-UHFFFAOYSA-N,CHEMBL2971,True,EXACT_MODEL_SPECIES,CHEMBL2105759,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
XWLXKKNPFMNSFA-HGQWONQESA-N,CHEMBL402,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1064,INHIBITOR,HMG-CoA reductase inhibitor,True
XYFPWWZEPKGCCK-GOSISDBHSA-N,CHEMBL5251,True,EXACT_MODEL_SPECIES,CHEMBL1873475,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,True
XZWYZXLIPXDOLR-UHFFFAOYSA-N,CHEMBL3391681,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1703,INHIBITOR,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,True
YASAKCUCGLMORW-UHFFFAOYSA-N,CHEMBL235,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL121;CHEMBL843,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,True
YBBLVLTVTVSKRW-UHFFFAOYSA-N,CHEMBL1978,True,EXACT_MODEL_SPECIES,CHEMBL1399,INHIBITOR,Cytochrome P450 19A1 inhibitor,True
YBSJFWOBGCMAKL-UHFFFAOYSA-N,CHEMBL204,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1615369;CHEMBL48361,INHIBITOR,Thrombin inhibitor,True
YFGHCGITMMYXAQ-LJQANCHMSA-N,CHEMBL238,True,EXACT_MODEL_SPECIES,CHEMBL1201192,INHIBITOR,Dopamine transporter inhibitor,True
YKPUWZUDDOIDPM-SOFGYWHQSA-N,CHEMBL4794,True,EXACT_MODEL_SPECIES,CHEMBL294199,OPENER,Vanilloid receptor opener,True
YMTINGFKWWXKFG-UHFFFAOYSA-N,CHEMBL239,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201745;CHEMBL672;CHEMBL981,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,True
YQNWZWMKLDQSAC-UHFFFAOYSA-N,CHEMBL1899,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2107387,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,True
YQNWZWMKLDQSAC-UHFFFAOYSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2107387,INHIBITOR,Serotonin transporter inhibitor,True
YTFHCXIPDIHOIA-DHZHZOJOSA-N,CHEMBL2003,True,EXACT_MODEL_SPECIES,CHEMBL2105648,AGONIST,Retinoic acid receptor gamma agonist,True
YWPHCCPCQOJSGZ-UHFFFAOYSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2106483,INHIBITOR,Norepinephrine transporter inhibitor,True
ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL240,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1700,BLOCKER,HERG blocker,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1862,True,EXACT_MODEL_SPECIES,CHEMBL1421,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES,CHEMBL1421,INHIBITOR,Stem cell growth factor receptor inhibitor,True
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL2068,True,EXACT_MODEL_SPECIES,CHEMBL1421,INHIBITOR,Ephrin type-A receptor 2 inhibitor,True
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200328,INHIBITOR,Norepinephrine transporter inhibitor,True
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CHEMBL228,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200328,INHIBITOR,Serotonin transporter inhibitor,True
ZGLHBRQAEXKACO-XJRQOBMKSA-N,CHEMBL1977,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200810,AGONIST,Vitamin D receptor agonist,True
ZISJNXNHJRQYJO-CMDGGOBGSA-N,CHEMBL3201,True,EXACT_MODEL_SPECIES,CHEMBL259571,AGONIST,Aryl hydrocarbon receptor agonist,True
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,CHEMBL230,True,EXACT_MODEL_SPECIES,CHEMBL599,INHIBITOR,Cyclooxygenase-2 inhibitor,True
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,CHEMBL284,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL227529,INHIBITOR,Dipeptidyl peptidase IV inhibitor,True
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,CHEMBL2835,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1078178;CHEMBL6068336,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,True
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,CHEMBL2971,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1078178;CHEMBL6068336,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,CHEMBL5903,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL6068336,INHIBITOR,Activin receptor type-1 inhibitor,True
ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,CHEMBL1994,True,EXACT_MODEL_SPECIES,CHEMBL2348780,ANTAGONIST,Mineralocorticoid receptor antagonist,True
ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL2348780,AGONIST,Glucocorticoid receptor agonist,True
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,CHEMBL1874,True,EXACT_MODEL_SPECIES,CHEMBL35,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,True
