family,arm,variant,seed,panel,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,all_inactive,native,20260922,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.941093356527621,0.9713185958479702,0.08223741283107223,0.9325815738963532,0.9099847828631629,0.16461628588166374,0.5305942077679551,0.6683230425027438,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9974916387959866,1.3961146582094828
DTIAM,all_inactive,native,20260922,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9605238538815828,0.9862133413130776,0.06438730779514433,0.9500436436186794,0.9352185721080816,0.15610540158784278,0.5305942077679551,0.7240348709835898,858,1.0,1.3150230923848834,4286,0.9993000466635558,1.3141026375838674,8571,0.9991832924979582,1.3139491031599744
DTIAM,all_inactive,native,20260922,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9162592491964615,0.9576941939189996,0.1087550117008638,0.8707965335655347,0.9056058645968089,0.2797880937415821,0.5305942077679551,0.6886671406325664,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.997087095834547,1.475938281100151
DTIAM,all_inactive,native,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9470133102076542,0.9763492500038867,0.08137930322723685,0.9170639513277625,0.9262297719010392,0.1998618289749757,0.5305942077679551,0.6960848229500758,1324,1.0,1.4191144140955934,6617,0.9993954964485416,1.4182565543923469,13234,0.9987909928970833,1.4173986946891004
DTIAM,all_inactive,native,20260922,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.21643210249889763,0.0,,0.28969856324537513,0.5305942077679551,0.38087966067895024,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,query,20260922,ACTIVITY_EC50,11957,8543,3414,0.7144768754704357,0.7144768754704357,0.941093356527621,0.9713185958479702,0.08223741283107223,0.9325815738963532,0.9099847828631629,0.16461628588166374,0.5305942077679551,0.6683230425027438,120,1.0,1.399625424324008,598,1.0,1.399625424324008,1196,0.9974916387959866,1.3961146582094828
DTIAM,all_inactive,query,20260922,ACTIVITY_IC50,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.9605238538815828,0.9862133413130776,0.06438730779514433,0.9500436436186794,0.9352185721080816,0.15610540158784278,0.5305942077679551,0.7240348709835898,858,1.0,1.3150230923848834,4286,0.9993000466635558,1.3141026375838674,8571,0.9991832924979582,1.3139491031599744
DTIAM,all_inactive,query,20260922,AFFINITY_KD_KI,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9162592491964615,0.9576941939189996,0.1087550117008638,0.8707965335655347,0.9056058645968089,0.2797880937415821,0.5305942077679551,0.6886671406325664,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.997087095834547,1.475938281100151
DTIAM,all_inactive,query,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.7046648177675677,0.7046648177675677,0.9470133102076542,0.9763492500038867,0.08137930322723685,0.9170639513277625,0.9262297719010392,0.1998618289749757,0.5305942077679551,0.6960848229500758,1324,1.0,1.4191144140955934,6617,0.9993954964485416,1.4182565543923469,13234,0.9987909928970833,1.4173986946891004
DTIAM,all_inactive,query,20260922,EXPLICIT_INACTIVE,10649,0,10649,0.0,,,,0.21643210249889763,0.0,,0.28969856324537513,0.5305942077679551,0.38087966067895024,107,0.0,,533,0.0,,1065,0.0,
