family,arm,variant,seed,panel,stratum,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
DTIAM,all_inactive,native,20260922,EXPLICIT_INACTIVE,all,10649,0,10649,0.0,,,,0.21643210249889763,0.0,,0.28969856324537513,0.5305942077679551,0.38087966067895024,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,native,20260922,EXPLICIT_INACTIVE,no_A_training_positive_reference,817,0,817,0.0,,,,0.06134015320220789,0.0,,0.0587515299877601,0.5305942077679551,0.17248106608419328,9,0.0,,41,0.0,,82,0.0,
DTIAM,all_inactive,native,20260922,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.19596158816530285,0.0,,0.2571159480954374,0.5305942077679551,0.36001401186091675,96,0.0,,478,0.0,,956,0.0,
DTIAM,all_inactive,native,20260922,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.39540395517212,0.0,,0.5745654162854529,0.5305942077679551,0.5633061383597631,11,0.0,,55,0.0,,110,0.0,
DTIAM,all_inactive,query,20260922,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9162592491964615,0.9576941939189996,0.1087550117008638,0.8707965335655347,0.9056058645968089,0.2797880937415821,0.5305942077679551,0.6886671406325664,344,1.0,1.4802501078050885,1717,1.0,1.4802501078050885,3433,0.997087095834547,1.475938281100151
DTIAM,all_inactive,query,20260922,AFFINITY_KD_KI,no_A_training_positive_reference,1973,854,1119,0.4328433857070451,0.4328433857070451,0.7628162063401372,0.6589218074858221,0.21735192774107384,0.6850828729281768,0.2903981264637002,0.10187667560321716,0.5305942077679551,0.30296892181162705,20,0.8,1.8482435597189697,99,0.7575757575757576,1.7502306436732666,198,0.7121212121212122,1.6452168050528706
DTIAM,all_inactive,query,20260922,AFFINITY_KD_KI,A_positive_neighbor_lt_0.3,9859,1909,7950,0.19363018561720255,0.19363018561720255,0.690056995825797,0.31823302857595115,0.20367743816303688,0.3017465626161278,0.4253535882661079,0.23635220125786163,0.5305942077679551,0.3536770979568313,99,0.48484848484848486,2.5039922535993777,493,0.40365111561866124,2.084649737498366,986,0.3438133874239351,1.7756187462611712
DTIAM,all_inactive,query,20260922,AFFINITY_KD_KI,A_positive_neighbor_ge_0.3,24468,21281,3187,0.869748242602583,0.869748242602583,0.9115599123695546,0.9840150680504877,0.0705074964772834,0.9422664053019696,0.9486866218692731,0.3881393159711327,0.5305942077679551,0.8236461675550804,245,1.0,1.1497580000939804,1224,1.0,1.1497580000939804,2447,0.9995913363302003,1.1492881357702804
DTIAM,all_inactive,query,20260922,EXPLICIT_INACTIVE,all,10649,0,10649,0.0,,,,0.21643210249889763,0.0,,0.28969856324537513,0.5305942077679551,0.38087966067895024,107,0.0,,533,0.0,,1065,0.0,
DTIAM,all_inactive,query,20260922,EXPLICIT_INACTIVE,no_A_training_positive_reference,817,0,817,0.0,,,,0.06134015320220789,0.0,,0.0587515299877601,0.5305942077679551,0.17248106608419328,9,0.0,,41,0.0,,82,0.0,
DTIAM,all_inactive,query,20260922,EXPLICIT_INACTIVE,A_positive_neighbor_lt_0.3,9556,0,9556,0.0,,,,0.19596158816530285,0.0,,0.2571159480954374,0.5305942077679551,0.36001401186091675,96,0.0,,478,0.0,,956,0.0,
DTIAM,all_inactive,query,20260922,EXPLICIT_INACTIVE,A_positive_neighbor_ge_0.3,1093,0,1093,0.0,,,,0.39540395517212,0.0,,0.5745654162854529,0.5305942077679551,0.5633061383597631,11,0.0,,55,0.0,,110,0.0,
DTIAM,all_inactive,native,20260923,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9175617596252994,0.958922973207273,0.1084566906440602,0.8610276808182482,0.9147908581285037,0.30744365628086556,0.49381855292289106,0.6910191892055203,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9985435479172735,1.4780941944526196
