endpoint_group,slice,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
Kd_only,REFRESH_NO_PRIOR_RELATION,neural_full_fit,ensemble_drug_to_target_logit,61,1,60,14,10,0.01639344262295082,1.0,1.0,61.0,,0,1,0,1.0,1.0,1,2,0.3333333333333333,1.0,1,9,0.1,1.0
Kd_only,REFRESH_NO_PRIOR_RELATION,graph_ranker,old_drug_leakage_safe_score_v10,61,1,60,14,10,0.01639344262295082,0.9333333333333333,0.2,12.2,,0,0,1,0.0,0.0,0,3,0.0,0.0,0,10,0.0,0.0
Kd_only,REFRESH_NO_PRIOR_RELATION,DTIAM_comparator,dtiam_probability,61,1,60,14,10,0.01639344262295082,0.7333333333333334,0.058823529411764705,3.5882352941176467,,0,1,0,1.0,1.0,1,1,0.5,1.0,1,4,0.2,1.0
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,SPR_current,independent_validation_rank_score,10,7,3,6,10,0.7,0.4285714285714286,0.7726190476190475,1.1037414965986394,0.5,1,6,3,0.6666666666666666,0.8571428571428571,6,3,0.6666666666666666,0.8571428571428571,7,3,0.7,1.0
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,contract_primary,biomaster_independent_borda_score,10,7,3,6,10,0.7,0.04761904761904762,0.5423469387755102,0.7747813411078718,0.0,1,5,3,0.625,0.7142857142857143,5,3,0.625,0.7142857142857143,7,3,0.7,1.0
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,neural_full_fit,ensemble_drug_to_target_logit,10,7,3,6,10,0.7,0.761904761904762,0.9129251700680272,1.304178814382896,0.5,1,6,3,0.6666666666666666,0.8571428571428571,7,3,0.7,1.0,7,3,0.7,1.0
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,graph_ranker,old_drug_leakage_safe_score_v10,10,7,3,6,10,0.7,0.1904761904761905,0.604251700680272,0.8632167152575315,0.0,1,3,3,0.5,0.42857142857142855,4,3,0.5714285714285714,0.5714285714285714,5,3,0.625,0.7142857142857143
Kd_only,REFRESH_DRUG_UNSEEN_IN_LOCAL_TRAIN,DTIAM_comparator,dtiam_probability,10,7,3,6,10,0.7,0.523809523809524,0.7738095238095237,1.1054421768707483,0.0,1,3,2,0.6,0.42857142857142855,3,2,0.6,0.42857142857142855,5,3,0.625,0.7142857142857143
Kd_Ki,ALL_MERGED,SPR_current,independent_validation_rank_score,5054,706,4348,254,203,0.13969133359715077,0.7650803599584063,0.4747990241488916,3.3989153938363996,0.8399089558712973,88,344,174,0.6640926640926641,0.48725212464589235,408,388,0.5125628140703518,0.5779036827195467,516,1020,0.3359375,0.7308781869688386
Kd_Ki,ALL_MERGED,contract_primary,biomaster_independent_borda_score,5054,706,4348,254,203,0.13969133359715077,0.8966106653184297,0.7012528324271825,5.02001673525068,0.890205924488837,88,352,77,0.8205128205128205,0.4985835694050991,436,192,0.6942675159235668,0.6175637393767706,535,496,0.518913676042677,0.7577903682719547
Kd_Ki,ALL_MERGED,neural_full_fit,ensemble_drug_to_target_logit,5054,706,4348,254,203,0.13969133359715077,0.9618133829887597,0.832487773635512,5.959480464523906,0.9252038412942284,88,438,68,0.8656126482213439,0.6203966005665722,550,171,0.7628294036061026,0.7790368271954674,643,530,0.5481670929241261,0.9107648725212465
Kd_Ki,ALL_MERGED,graph_ranker,old_drug_leakage_safe_score_v10,5054,706,4348,254,203,0.13969133359715077,0.9168773829783352,0.7056360726203221,5.051394774820266,0.8253775347086522,88,261,84,0.7565217391304347,0.3696883852691218,343,157,0.686,0.48583569405099153,468,389,0.5460910151691949,0.6628895184135978
Kd_Ki,ALL_MERGED,DTIAM_comparator,dtiam_probability,5054,706,4348,254,203,0.13969133359715077,0.6224085314207829,0.24155049956629754,1.729173122957603,0.747866820959273,88,153,86,0.6401673640167364,0.21671388101983002,222,191,0.5375302663438256,0.31444759206798867,335,512,0.3955135773317591,0.4745042492917847
