target_id,gene,comparator,total_pairs,zero_pairs,conplex_top10_cutoff,conplex_top10_zero_weight,full_spearman,nonzero_pairs,nonzero_spearman
CHEMBL2326,CA7,nesso,719,143,0.22495121,0.0,0.21985548943013614,576,0.2002772022136642
CHEMBL2326,CA7,probematch,719,143,0.22495121,0.0,0.041676864500450675,576,0.041592670985713565
CHEMBL2326,CA7,dtbind,719,143,0.22495121,0.0,0.15992775906153245,576,0.1468489595536386
CHEMBL2508,CDK6,biomaster,719,552,0.4533339,0.0,0.03629517753039163,167,0.12309097549733793
CHEMBL2508,CDK6,drugclip,719,552,0.4533339,0.0,0.12740920994377458,167,0.1794104593514551
CHEMBL2508,CDK6,dtiam,719,552,0.4533339,0.0,0.17716409430394892,167,0.041935654259848784
CHEMBL2508,CDK6,nesso,719,552,0.4533339,0.0,-0.11238041416413959,167,-0.03974288035080201
CHEMBL2508,CDK6,probematch,719,552,0.4533339,0.0,-0.06256254049562424,167,0.20551406859869004
CHEMBL2508,CDK6,dtbind,719,552,0.4533339,0.0,-0.12808292063437482,167,0.09596972997766139
CHEMBL261,CA1,biomaster,719,74,0.24009383,0.0,0.17068142043692033,645,0.08205471265971122
CHEMBL261,CA1,drugclip,719,74,0.24009383,0.0,0.04478735734890607,645,0.026266220429684985
CHEMBL261,CA1,dtiam,719,74,0.24009383,0.0,0.0756743524088811,645,0.08240481444614685
CHEMBL261,CA1,nesso,719,74,0.24009383,0.0,0.27339732138372375,645,0.20601638217406443
CHEMBL261,CA1,probematch,719,74,0.24009383,0.0,-0.23613822086494193,645,-0.17109578519456783
CHEMBL261,CA1,dtbind,719,74,0.24009383,0.0,0.2124724025050707,645,0.12224366391811813
CHEMBL262,GSK3B,biomaster,719,385,0.40318856,0.0,-0.10706949618922343,334,-0.04404231539311813
CHEMBL262,GSK3B,drugclip,719,385,0.40318856,0.0,0.10628108262057376,334,0.07467634498929228
CHEMBL262,GSK3B,dtiam,719,385,0.40318856,0.0,0.16771066635163942,334,0.15419215290195248
CHEMBL262,GSK3B,nesso,719,385,0.40318856,0.0,-0.21645594854325015,334,-0.05354570204649354
CHEMBL262,GSK3B,probematch,719,385,0.40318856,0.0,-0.2136724289634226,334,-0.06746977785361735
CHEMBL262,GSK3B,dtbind,719,385,0.40318856,0.0,-0.3903989039506725,334,-0.21177946981017165
CHEMBL2637,MAPK10,biomaster,719,321,0.35878223,0.0,-0.12198684420990501,398,0.03658299528175382
CHEMBL2637,MAPK10,drugclip,719,321,0.35878223,0.0,0.050738216479229,398,0.1591528557195827
CHEMBL2637,MAPK10,dtiam,719,321,0.35878223,0.0,0.1942201242225569,398,0.19058506620862725
CHEMBL2637,MAPK10,nesso,719,321,0.35878223,0.0,-0.2288609273872503,398,-0.12406395095721602
CHEMBL2637,MAPK10,probematch,719,321,0.35878223,0.0,-0.07745472047988011,398,-0.06275589416997167
CHEMBL2637,MAPK10,dtbind,719,321,0.35878223,0.0,-0.3183833279942436,398,-0.12983210963937547
CHEMBL3028,EGLN2,biomaster,719,308,0.1851486,0.0,-0.11105550369792919,411,-0.02343553928194518
CHEMBL3028,EGLN2,drugclip,719,308,0.1851486,0.0,0.1880223211492283,411,-0.020918387806223283
CHEMBL3028,EGLN2,dtiam,719,308,0.1851486,0.0,0.12766446313768534,411,0.009289593684631907
CHEMBL3028,EGLN2,nesso,719,308,0.1851486,0.0,0.043843448399018256,411,-0.012204286987418256
CHEMBL3028,EGLN2,probematch,719,308,0.1851486,0.0,-0.08038765458310852,411,-0.010199104382882802
CHEMBL3028,EGLN2,dtbind,719,308,0.1851486,0.0,0.05711620102636469,411,0.01978409237877062
CHEMBL3116,CDK9,biomaster,719,528,0.47250897,0.0,-0.016975000358475906,191,0.09196592030517962
CHEMBL3116,CDK9,drugclip,719,528,0.47250897,0.0,0.29734800893415547,191,0.1729516963210341
CHEMBL3116,CDK9,dtiam,719,528,0.47250897,0.0,0.194847192595505,191,0.04558089549771113
CHEMBL3116,CDK9,nesso,719,528,0.47250897,0.0,-0.055129592565359604,191,0.03497181553431669
CHEMBL3116,CDK9,probematch,719,528,0.47250897,0.0,-0.20741717737652296,191,0.09706034948588432
CHEMBL3116,CDK9,dtbind,719,528,0.47250897,0.0,-0.10844226448001484,191,0.08120374432790875
CHEMBL3117,CHKA,biomaster,719,235,0.36881548,0.0,-0.12999399546973006,484,-0.13368244086472073
CHEMBL3117,CHKA,drugclip,719,235,0.36881548,0.0,0.15784451955353207,484,-0.02494749641145177
CHEMBL3117,CHKA,dtiam,719,235,0.36881548,0.0,0.021726413115437715,484,0.15035100831309997
CHEMBL3117,CHKA,nesso,719,235,0.36881548,0.0,0.0552680398765893,484,-0.042076005822329066
CHEMBL3117,CHKA,probematch,719,235,0.36881548,0.0,-0.05997394874423793,484,-0.14444725418489818
CHEMBL3117,CHKA,dtbind,719,235,0.36881548,0.0,0.28575114364421456,484,0.06603444234806125
CHEMBL3242,CA12,biomaster,719,47,0.26074916,0.0,0.08644681369973531,672,0.047937067724100696
CHEMBL3242,CA12,drugclip,719,47,0.26074916,0.0,0.2038374126582985,672,0.16460086963337925
CHEMBL3242,CA12,dtiam,719,47,0.26074916,0.0,0.016142409743093354,672,0.021982101253556815
CHEMBL3242,CA12,nesso,719,47,0.26074916,0.0,0.24330337601414972,672,0.20508259532012815
CHEMBL3242,CA12,probematch,719,47,0.26074916,0.0,-0.021494715939382434,672,-0.011153266504064773
CHEMBL3242,CA12,dtbind,719,47,0.26074916,0.0,0.25165198206789885,672,0.18851699182678597
CHEMBL332,MMP1,biomaster,719,247,0.1548458,0.0,0.11924679644383111,472,0.10049691328561755
CHEMBL332,MMP1,drugclip,719,247,0.1548458,0.0,-0.041233071230273054,472,-0.0018829034772176031
CHEMBL332,MMP1,dtiam,719,247,0.1548458,0.0,-0.020781838233763724,472,-0.02110856182302565
CHEMBL332,MMP1,nesso,719,247,0.1548458,0.0,0.23643305583354188,472,0.10285329574868175
CHEMBL332,MMP1,probematch,719,247,0.1548458,0.0,-0.08189679851011578,472,-0.05719321451776352
CHEMBL332,MMP1,dtbind,719,247,0.1548458,0.0,0.20002060353931553,472,0.12879268582746597
CHEMBL3385,MAPK3,biomaster,719,489,0.45053154,0.0,-0.043224039616069646,230,0.1268497326897396
CHEMBL3385,MAPK3,drugclip,719,489,0.45053154,0.0,0.11172034107940312,230,0.12393227513859759
CHEMBL3385,MAPK3,dtiam,719,489,0.45053154,0.0,0.1532186116589927,230,0.14376974747397536
CHEMBL3385,MAPK3,nesso,719,489,0.45053154,0.0,-0.05768028423887236,230,-0.08119270556712646
CHEMBL3385,MAPK3,probematch,719,489,0.45053154,0.0,-0.10464299637928509,230,0.06961065552552388
CHEMBL3385,MAPK3,dtbind,719,489,0.45053154,0.0,-0.1335487273831019,230,0.04529262500607325
CHEMBL3474,PLA2G2A,biomaster,719,12,0.27393615,0.0,0.08322010087968745,707,0.07791207726894003
CHEMBL3474,PLA2G2A,drugclip,719,12,0.27393615,0.0,0.10454329114216045,707,0.07913364817476087
CHEMBL3474,PLA2G2A,dtiam,719,12,0.27393615,0.0,-0.09970206728199206,707,-0.11490538550524294
CHEMBL3474,PLA2G2A,nesso,719,12,0.27393615,0.0,0.22109281810215042,707,0.19285222357985424
CHEMBL3474,PLA2G2A,probematch,719,12,0.27393615,0.0,0.11901404624889386,707,0.12048133756186707
CHEMBL3474,PLA2G2A,dtbind,719,12,0.27393615,0.0,0.213646884076645,707,0.19751543952611236
CHEMBL3587,MAP2K1,biomaster,719,329,0.48631215,0.0,-0.0628404682449863,390,0.1388946051970406
CHEMBL3587,MAP2K1,drugclip,719,329,0.48631215,0.0,-0.21433178976662162,390,0.005567327301059381
CHEMBL3587,MAP2K1,dtiam,719,329,0.48631215,0.0,0.16319642844832316,390,0.3029229566027285
