model,target_id,requested_drugs,reused_scored_drugs,missing_scores,next_action
ConPLex,CHEMBL2074,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL208,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2084,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2085,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2099,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2118,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2120,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2121,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2146302,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2146346,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2148,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL215,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2157,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2176771,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2176839,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2176846,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2176855,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2179,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2185,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2189110,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2189121,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL220,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2208,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL221,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2216739,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL222,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2243,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
